id	EN	JA	ZH	CH	DE	ES	FR	IT
DEVIL_L0001	Jack-o'-Lantern	ジャックランタン	杰克灯笼	傑克燈籠	Jack-o’-Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Jack-o'-Lantern
DEVIL_L0002	Oshichi	オシチ	阿七	於七	Oshichi	Oshichi	Oshichi	Oshichi
DEVIL_L0003	Gdon	ドゥン	圣虎达温	達溫	Gdon	Gdon	Gdon	Gdon
DEVIL_L0004	Muspell	ムスッペル	穆斯贝尔	火焰巨人	Muspell	Muspel	Muspell	Muspell
DEVIL_L0005	Sati	サティ	娑提	娑提	Sati	Sati	Sati	Sati
DEVIL_L0006	Throne	ソロネ	座天使	座天使	Thron	Trono	Trône	Trono
DEVIL_L0007	Hitokotonushi	ヒトコトヌシ	一言主	一言主	Hitokotonushi	Hitokotonushi	Hitokotonushi	Hitokotonushi
DEVIL_L0008	Belial	ベリアル	彼列	貝利亞	Belial	Belial	Bélial	Belial
DEVIL_L0009	Jubokko	ジュボッコ	树木子	樹木子	Jubokko	Jubokko	Jubokko	Jubokko
DEVIL_L0010	Azumi	アズミ	安昙神	安曇神	Azumi	Azumi	Azumi	Azumi
DEVIL_L0011	Jack Frost	ジャックフロスト	杰克霜精	傑克霜精	Jack Frost	Jack Frost	Jack Frost	Jack Frost
DEVIL_L0012	Tarrasque	タラスク	塔拉斯克	塔拉斯克	Tarrasque	Tarrasque	Tarasque	Tarasca
DEVIL_L0013	Ukobach	ウコバク	乌科巴克	烏科巴克	Ukobach	Ukobach	Ukobach	Ukobach
DEVIL_L0014	Arahabaki	アラハバキ	荒霸吐	荒霸吐	Arahabaki	Arahabaki	Arahabaki	Arahabaki
DEVIL_L0015	Naga Raja	ナーガラジャ	那伽之王	那伽之王	Naga Raja	Naga Raja	Raja Naga	Naga Raja
DEVIL_L0016	Oyamatsumi	オオヤマツミ	大山津见	大山津見神	Oyamatsumi	Oyamatsumi	Oyamatsumi	Oyamatsumi
DEVIL_L0017	Okuninushi	オオクニヌシ	大国主	大國主	Okuninushi	Okuninushi	Okuninushi	Okuninushi
DEVIL_L0018	Yamata-no-Orochi	ヤマタノオロチ	八岐大蛇	八岐大蛇	Yamata-no-Orochi	Yamata-no-Orochi	Yamata-no-Orochi	Yamata-no-Orochi
DEVIL_L0019	Raiju	ライジュウ	雷兽	雷獸	Raiju	Raiju	Raiju	Raiju
DEVIL_L0020	Oboroguruma	オボログルマ	胧车	朧車	Oboroguruma	Oboroguruma	Oboroguruma	Oboroguruma
DEVIL_L0021	Nue	ヌエ	奴延	奴延	Nue	Nue	Nue	Nue
DEVIL_L0022	Tsuchigumo	ツチグモ	土蜘蛛	土蜘蛛	Tsuchigumo	Tsuchigumo	Tsuchigumo	Tsuchigumo
DEVIL_L0023	Omitsunu	オオミツヌ	淤美豆奴神	淤美豆奴	Omitsunu	Omitsunu	Omitsunu	Omitsunu
DEVIL_L0024	Parvati	パールヴァティ	帕尔瓦蒂	帕爾瓦蒂	Parvati	Parvati	Parvati	Parvati
DEVIL_L0025	Mishaguji	ミシャグジさま	御社宫司神	御社宮司神	Mishaguji	Mishaguji	Mishaguji	Mishaguji
DEVIL_L0026	Thor	トール	托尔	托爾	Thor	Thor	Thor	Thor
DEVIL_L0027	Agathion	アガシオン	阿珈席翁	阿珈席翁	Agathion	Agathion	Agathion	Agathion
DEVIL_L0028	Muu Shuwuu	モー・ショボー	莫索保	莫索保	Muu Shuwuu	Muu Shuwuu	Muu Shuwuu	Muu Shuwuu
DEVIL_L0029	Poltergeist	ポルターガイスト	骚灵	騷靈	Poltergeist	Poltergeist	Poltergeist	Poltergeist
DEVIL_L0030	Feng Huang	ホウオウ	凤凰	鳳凰	Feng Huang	Feng Huang	Fenghuang	Feng Huang
DEVIL_L0031	Kurama Tengu	クラマテング	鞍马天狗	鞍馬天狗	Kurama Tengu	Kurama Tengu	Kurama Tengu	Kurama Tengu
DEVIL_L0032	Power	パワー	能天使	能天使	Kraft	Potestad	Puissance	Potestà
DEVIL_L0033	Legion	レギオン	恶灵军团	惡靈軍團	Legion	Legión	Légion	Legione
DEVIL_L0034	Ichimokuren	イチモクレン	一目连	一目連	Ichimokuren	Ichimokuren	Ichimokuren	Ichimokuren
DEVIL_L0035	Anzu	アンズー	安祖	安祖	Anzu	Anzu	Anzu	Anzu
DEVIL_L0036	Sandalphon	サンダルフォン	圣德芬	聖達芬	Sandalphon	Sandalfón	Sandalphon	Sandalphon
DEVIL_L0037	Obariyon	オバリヨン	背背鬼	背負怪	Obariyon	Obariyon	Obariyon	Obariyon
DEVIL_L0038	Oni	オニ	鬼	鬼	Oni	Oni	Oni	Oni
DEVIL_L0039	Turdak	トゥルダク	吐尔达克	吐魯達克	Turdak	Turdak	Turdak	Turdak
DEVIL_L0040	Lamia	ラミア	拉弥亚	拉彌亞	Lamia	Lamia	Lamia	Lamia
DEVIL_L0041	Yomotsu-Ikusa	ヨモツイクサ	黄泉军	黃泉軍	Yomotsu-Ikusa	Yomotsu-Ikusa	Yomotsu-Ikusa	Yomotsu-Ikusa
DEVIL_L0042	Rakshasa	ラクシャーサ	罗刹	羅剎	Rakshasa	Ráksasa	Rakshasa	Rakshasa
DEVIL_L0043	Triglav	トリグラフ	特里格拉夫	特里格拉夫	Triglav	Triglav	Triglav	Triglav
DEVIL_L0044	Chernobog	チェルノボグ	切尔诺伯格	切爾諾伯格	Chernobog	Chernobog	Tchernobog	Chernobog
DEVIL_L0045	Cerberus	ケルベロス	刻耳柏洛斯	克魯貝洛斯	Zerberus	Cerbero	Cerbère	Cerbero
DEVIL_L0046	Shouten	ショウテン	圣天	聖天	Shouten	Shouten	Shouten	Shouten
DEVIL_L0047	Siegfried	ジークフリード	齐格飞	齊格菲	Siegfried	Sigfrido	Siegfried	Siegfried
DEVIL_L0048	Susano-o	スサノオ	须佐之男	須佐之男命	Susano-o	Susanoo	Susano-o	Susano-o
DEVIL_L0049	Gashadokuro	ガシャドクロ	饿者骷髅	餓者髑髏	Gashadokuro	Gashadokuro	Gashadokuro	Gashadokuro
DEVIL_L0050	Ghoul	グール	食尸鬼	食屍鬼	Ghul	Demonio	Goule	Ghoul
DEVIL_L0051	Utai-Gaikotsu	ウタイガイコツ	唱歌白骨	歌唱骸骨	Utai-Gaikotsu	Utai-Gaikotsu	Utai-Gaikotsu	Utai-Gaikotsu
DEVIL_L0052	Alp	アルプ	阿尔普	阿爾普	Alb	Alp	Alp	Alp
DEVIL_L0053	Mokoi	モコイ	莫考伊	惡靈	Mokoi	Mokoi	Mokoi	Mokoi
DEVIL_L0054	Okiku-Mushi	オキクムシ	阿菊虫	於菊蟲	Okiku-Mushi	Okiku-Mushi	Okiku-Mushi	Okiku-Mushi
DEVIL_L0055	Incubus	インキュバス	男梦魔	男夢魔	Inkubus	Íncubo	Incube	Incubo
DEVIL_L0056	Lilith	リリス	莉莉丝	莉莉絲	Lilith	Lilit	Lilith	Lilith
DEVIL_L0057	Nebiros	ネビロス	奈比洛斯	奈比洛斯	Nebiros	Naberius	Nebiros	Nebiros
DEVIL_L0058	Beelzebub	ベルゼブブ	别西卜	別西卜	Beelzebub	Belcebú	Belzébuth	Beelzebù
DEVIL_L0059	Leanan Sidhe	リャナンシー	莲南希	菈南希	Leanan Sidhe	Leanan Sidhe	Leanan sídhe	Leanan Sidhe
DEVIL_L0060	Ippon-Datara	イッポンダタラ	一本踏鞴	一本踏鞴	Ippon-Datara	Ippon-Datara	Ippon-Datara	Ippon-Datara
DEVIL_L0061	Thoth	トート	托特	圖特	Thoth	Tot	Thot	Thoth
DEVIL_L0062	Futsunushi	フツヌシ	经津主	經津主	Futsunushi	Futsunushi	Futsunushi	Futsunushi
DEVIL_L0063	Nagasunehiko	ナガスネヒコ	长髓彦	長髓彥	Nagasunehiko	Nagasunehiko	Nagasunehiko	Nagasunehiko
DEVIL_L0064	Scathach	スカアハ	斯卡哈	斯卡哈	Scathach	Scáthach	Scáthach	Scathach
DEVIL_L0065	Kudan	クダン	件	件	Kudan	Kudan	Kudan	Kudan
DEVIL_L0066	Raiho	ライホーくん	雷呵君	雷吼先生	Raiho	Raiho	Raiho	Raiho
DEVIL_L0067	Nekomata	ネコマタ	猫又	貓妖	Nekomata	Nekomata	Nekomata	Nekomata
DEVIL_L0068	Abihiko	アビヒコ	安日彦	安日彥	Abihiko	Abihiko	Abihiko	Abihiko
DEVIL_L0069	Alice	アリス	爱丽丝	愛麗絲	Alice	Alicia	Alice	Alice
DEVIL_L0070	Yoshitsune	ヨシツネ	义经	義經	Yoshitsune	Yoshitsune	Yoshitsune	Yoshitsune
DEVIL_L0071	Orthrus	オルトロス	欧特鲁斯	歐特魯斯	Orthrus	Ortro	Orthros	Orthrus
DEVIL_L0072	Legion	レギオン	恶灵军团	惡靈軍團	Legion	Legión	Légion	Legione
DEVIL_L0073	Legion	レギオン	恶灵军团	惡靈軍團	Legion	Legión	Légion	Legione
DEVIL_L0074	Legion	レギオン	恶灵军团	惡靈軍團	Legion	Legión	Légion	Legione
DEVIL_L0075	Legion	レギオン	恶灵军团	惡靈軍團	Legion	Legión	Légion	Legione
DEVIL_L0081	Jack-o'-Lantern	ジャックランタン	杰克灯笼	傑克燈籠	Jack-o’-Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Jack-o'-Lantern
DEVIL_L0082	Oshichi	オシチ	阿七	於七	Oshichi	Oshichi	Oshichi	Oshichi
DEVIL_L0083	Gdon	ドゥン	圣虎达温	達溫	Gdon	Gdon	Gdon	Gdon
DEVIL_L0084	Muspell	ムスッペル	穆斯贝尔	火焰巨人	Muspell	Muspel	Muspell	Muspell
DEVIL_L0085	Sati	サティ	娑提	娑提	Sati	Sati	Sati	Sati
DEVIL_L0086	Throne	ソロネ	座天使	座天使	Thron	Trono	Trône	Trono
DEVIL_L0087	Hitokotonushi	ヒトコトヌシ	一言主	一言主	Hitokotonushi	Hitokotonushi	Hitokotonushi	Hitokotonushi
DEVIL_L0088	Belial	ベリアル	彼列	貝利亞	Belial	Belial	Bélial	Belial
DEVIL_L0089	Jubokko	ジュボッコ	树木子	樹木子	Jubokko	Jubokko	Jubokko	Jubokko
DEVIL_L0090	Azumi	アズミ	安昙神	安曇神	Azumi	Azumi	Azumi	Azumi
DEVIL_L0091	Jack Frost	ジャックフロスト	杰克霜精	傑克霜精	Jack Frost	Jack Frost	Jack Frost	Jack Frost
DEVIL_L0092	Tarrasque	タラスク	塔拉斯克	塔拉斯克	Tarrasque	Tarrasque	Tarasque	Tarasca
DEVIL_L0093	Ukobach	ウコバク	乌科巴克	烏科巴克	Ukobach	Ukobach	Ukobach	Ukobach
DEVIL_L0094	Arahabaki	アラハバキ	荒霸吐	荒霸吐	Arahabaki	Arahabaki	Arahabaki	Arahabaki
DEVIL_L0095	Naga Raja	ナーガラジャ	那伽之王	那伽之王	Naga Raja	Naga Raja	Raja Naga	Naga Raja
DEVIL_L0096	Oyamatsumi	オオヤマツミ	大山津见	大山津見神	Oyamatsumi	Oyamatsumi	Oyamatsumi	Oyamatsumi
DEVIL_L0097	Okuninushi	オオクニヌシ	大国主	大國主	Okuninushi	Okuninushi	Okuninushi	Okuninushi
DEVIL_L0098	Yamata-no-Orochi	ヤマタノオロチ	八岐大蛇	八岐大蛇	Yamata-no-Orochi	Yamata-no-Orochi	Yamata-no-Orochi	Yamata-no-Orochi
DEVIL_L0099	Raiju	ライジュウ	雷兽	雷獸	Raiju	Raiju	Raiju	Raiju
DEVIL_L0100	Oboroguruma	オボログルマ	胧车	朧車	Oboroguruma	Oboroguruma	Oboroguruma	Oboroguruma
DEVIL_L0101	Nue	ヌエ	奴延	奴延	Nue	Nue	Nue	Nue
DEVIL_L0102	Tsuchigumo	ツチグモ	土蜘蛛	土蜘蛛	Tsuchigumo	Tsuchigumo	Tsuchigumo	Tsuchigumo
DEVIL_L0103	Omitsunu	オオミツヌ	淤美豆奴神	淤美豆奴	Omitsunu	Omitsunu	Omitsunu	Omitsunu
DEVIL_L0104	Parvati	パールヴァティ	帕尔瓦蒂	帕爾瓦蒂	Parvati	Parvati	Parvati	Parvati
DEVIL_L0105	Mishaguji	ミシャグジさま	御社宫司神	御社宮司神	Mishaguji	Mishaguji	Mishaguji	Mishaguji
DEVIL_L0106	Thor	トール	托尔	托爾	Thor	Thor	Thor	Thor
DEVIL_L0107	Agathion	アガシオン	阿珈席翁	阿珈席翁	Agathion	Agathion	Agathion	Agathion
DEVIL_L0108	Muu Shuwuu	モー・ショボー	莫索保	莫索保	Muu Shuwuu	Muu Shuwuu	Muu Shuwuu	Muu Shuwuu
DEVIL_L0109	Poltergeist	ポルターガイスト	骚灵	騷靈	Poltergeist	Poltergeist	Poltergeist	Poltergeist
DEVIL_L0110	Feng Huang	ホウオウ	凤凰	鳳凰	Feng Huang	Feng Huang	Fenghuang	Feng Huang
DEVIL_L0111	Kurama Tengu	クラマテング	鞍马天狗	鞍馬天狗	Kurama Tengu	Kurama Tengu	Kurama Tengu	Kurama Tengu
DEVIL_L0112	Power	パワー	能天使	能天使	Kraft	Potestad	Puissance	Potestà
DEVIL_L0113	Legion	レギオン	恶灵军团	惡靈軍團	Legion	Legión	Légion	Legione
DEVIL_L0114	Ichimokuren	イチモクレン	一目连	一目連	Ichimokuren	Ichimokuren	Ichimokuren	Ichimokuren
DEVIL_L0115	Anzu	アンズー	安祖	安祖	Anzu	Anzu	Anzu	Anzu
DEVIL_L0116	Sandalphon	サンダルフォン	圣德芬	聖達芬	Sandalphon	Sandalfón	Sandalphon	Sandalphon
DEVIL_L0117	Obariyon	オバリヨン	背背鬼	背負怪	Obariyon	Obariyon	Obariyon	Obariyon
DEVIL_L0118	Oni	オニ	鬼	鬼	Oni	Oni	Oni	Oni
DEVIL_L0119	Turdak	トゥルダク	吐尔达克	吐魯達克	Turdak	Turdak	Turdak	Turdak
DEVIL_L0120	Lamia	ラミア	拉弥亚	拉彌亞	Lamia	Lamia	Lamia	Lamia
DEVIL_L0121	Yomotsu-Ikusa	ヨモツイクサ	黄泉军	黃泉軍	Yomotsu-Ikusa	Yomotsu-Ikusa	Yomotsu-Ikusa	Yomotsu-Ikusa
DEVIL_L0122	Rakshasa	ラクシャーサ	罗刹	羅剎	Rakshasa	Ráksasa	Rakshasa	Rakshasa
DEVIL_L0123	Triglav	トリグラフ	特里格拉夫	特里格拉夫	Triglav	Triglav	Triglav	Triglav
DEVIL_L0124	Chernobog	チェルノボグ	切尔诺伯格	切爾諾伯格	Chernobog	Chernobog	Tchernobog	Chernobog
DEVIL_L0125	Cerberus	ケルベロス	刻耳柏洛斯	克魯貝洛斯	Zerberus	Cerbero	Cerbère	Cerbero
DEVIL_L0126	Shouten	ショウテン	圣天	聖天	Shouten	Shouten	Shouten	Shouten
DEVIL_L0127	Siegfried	ジークフリード	齐格飞	齊格菲	Siegfried	Sigfrido	Siegfried	Siegfried
DEVIL_L0128	Susano-o	スサノオ	须佐之男	須佐之男命	Susano-o	Susanoo	Susano-o	Susano-o
DEVIL_L0129	Gashadokuro	ガシャドクロ	饿者骷髅	餓者髑髏	Gashadokuro	Gashadokuro	Gashadokuro	Gashadokuro
DEVIL_L0130	Ghoul	グール	食尸鬼	食屍鬼	Ghul	Gul	Goule	Ghoul
DEVIL_L0131	Utai-Gaikotsu	ウタイガイコツ	唱歌白骨	歌唱骸骨	Utai-Gaikotsu	Utai-Gaikotsu	Utai-Gaikotsu	Utai-Gaikotsu
DEVIL_L0132	Alp	アルプ	阿尔普	阿爾普	Alb	Alp	Alp	Alp
DEVIL_L0133	Mokoi	モコイ	莫考伊	惡靈	Mokoi	Mokoi	Mokoi	Mokoi
DEVIL_L0134	Okiku-Mushi	オキクムシ	阿菊虫	於菊蟲	Okiku-Mushi	Okiku-Mushi	Okiku-Mushi	Okiku-Mushi
DEVIL_L0135	Incubus	インキュバス	男梦魔	男夢魔	Inkubus	Íncubo	Incube	Incubo
DEVIL_L0136	Lilith	リリス	莉莉丝	莉莉絲	Lilith	Lilit	Lilith	Lilith
DEVIL_L0137	Nebiros	ネビロス	奈比洛斯	奈比洛斯	Nebiros	Naberius	Nebiros	Nebiros
DEVIL_L0138	Beelzebub	ベルゼブブ	别西卜	別西卜	Beelzebub	Belcebú	Belzébuth	Beelzebù
DEVIL_L0139	Leanan Sidhe	リャナンシー	莲南希	菈南希	Leanan Sidhe	Leanan Sidhe	Leanan sídhe	Leanan Sidhe
DEVIL_L0140	Ippon-Datara	イッポンダタラ	一本踏鞴	一本踏鞴	Ippon-Datara	Ippon-Datara	Ippon-Datara	Ippon-Datara
DEVIL_L0141	Thoth	トート	托特	圖特	Thoth	Tot	Thot	Thoth
DEVIL_L0142	Futsunushi	フツヌシ	经津主	經津主	Futsunushi	Futsunushi	Futsunushi	Futsunushi
DEVIL_L0143	Nagasunehiko	ナガスネヒコ	长髓彦	長髓彥	Nagasunehiko	Nagasunehiko	Nagasunehiko	Nagasunehiko
DEVIL_L0144	Scathach	スカアハ	斯卡哈	斯卡哈	Scathach	Scáthach	Scáthach	Scathach
DEVIL_L0145	Kudan	クダン	件	件	Kudan	Kudan	Kudan	Kudan
DEVIL_L0146	Zombie	ゾンビー	僵尸	殭屍	Zombie	Zombi	Zombie	Zombi
DEVIL_L0147	Zombie Lady	レディゾンビー	女僵尸	女殭屍	Zombie-Lady	Chica zombi	Femme zombie	Donna zombi
DEVIL_L0148	Zombie Guard	ゾンビーケンペイ	僵尸宪兵	殭屍憲兵	Zombie-Wächter	Guardia zombi	Garde zombie	Guardia zombi
DEVIL_L0149	Zombie Officer	ゾンビージュンサ	僵尸巡警	殭屍巡警	Zombie-Polizist	Policía zombi	Officier zombie	Agente zombi
DEVIL_L0150	Nekomata	ネコマタ	猫又	貓妖	Nekomata	Nekomata	Nekomata	Nekomata
DEVIL_L0151	Ghoul	グール	食尸鬼	食屍鬼	Ghul	Gul	Goule	Ghoul
DEVIL_L0152	Hiruko	ヒルコ	蛭子	水蛭子	Hiruko	Hiruko	Hiruko	Hiruko
DEVIL_L0153	Raiho	ライホーくん	雷呵君	雷吼先生	Raiho	Raiho	Raiho	Raiho
DEVIL_L0154	Alice	アリス	爱丽丝	愛麗絲	Alice	Alicia	Alice	Alice
DEVIL_L0155	Red Cape	赤マント	红斗篷	紅披風	Roter Umhang	Caparroja	Caperouge	Mantello Rosso
DEVIL_L0156	Abihiko	アビヒコ	安日彦	安日彥	Abihiko	Abihiko	Abihiko	Abihiko
DEVIL_L0157	Yoshitsune	ヨシツネ	义经	義經	Yoshitsune	Yoshitsune	Yoshitsune	Yoshitsune
DEVIL_L0158	Orthrus	オルトロス	欧特鲁斯	歐特魯斯	Orthrus	Ortro	Orthros	Orthrus
DEVIL_L0160	Zombie	ゾンビー	僵尸	殭屍	Zombie	Zombi	Zombie	Zombi
DEVIL_L0161	Zombie	ゾンビー	僵尸	殭屍	Zombie	Zombi	Zombie	Zombi
DEVIL_L0162	Ukobach	ウコバク	乌科巴克	烏科巴克	Ukobach	Ukobach	Ukobach	Ukobach
DEVIL_L0163	Okiku-Mushi	オキクムシ	阿菊虫	於菊蟲	Okiku-Mushi	Okiku-Mushi	Okiku-Mushi	Okiku-Mushi
DEVIL_L0164	Tarrasque	タラスク	塔拉斯克	塔拉斯克	Tarrasque	Tarrasque	Tarasque	Tarasca
DEVIL_L0165	Gashadokuro	ガシャドクロ	饿者骷髅	餓者髑髏	Gashadokuro	Gashadokuro	Gashadokuro	Gashadokuro
DEVIL_L0166	Turdak	トゥルダク	吐尔达克	吐魯達克	Turdak	Turdak	Turdak	Turdak
DEVIL_L0167	Zombie Guard	ゾンビーケンペイ	僵尸宪兵	殭屍憲兵	Zombie-Wächter	Guardia zombi	Garde zombie	Guardia zombi
DEVIL_L0168	Chernobog	チェルノボグ	切尔诺伯格	切爾諾伯格	Chernobog	Chernobog	Tchernobog	Chernobog
DEVIL_L0169	Chernobog	チェルノボグ	切尔诺伯格	切爾諾伯格	Chernobog	Chernobog	Tchernobog	Chernobog
DEVIL_L0170	Triglav	トリグラフ	特里格拉夫	特里格拉夫	Triglav	Triglav	Triglav	Triglav
DEVIL_L0171	Anzu	アンズー	安祖	安祖	Anzu	Anzu	Anzu	Anzu
DEVIL_L0172	Zombie Officer	ゾンビージュンサ	僵尸巡警	殭屍巡警	Zombie-Polizist	Policía zombi	Officier zombie	Agente zombi
DEVIL_L0173	Hiruko	ヒルコ	蛭子	水蛭子	Hiruko	Hiruko	Hiruko	Hiruko
DEVIL_L0174	Omitsunu	オオミツヌ	淤美豆奴神	淤美豆奴	Omitsunu	Omitsunu	Omitsunu	Omitsunu
DEVIL_L0175	Raiju	ライジュウ	雷兽	雷獸	Raiju	Raiju	Raiju	Raiju
DEVIL_L0176	Yamata-no-Orochi	ヤマタノオロチ	八岐大蛇	八岐大蛇	Yamata-no-Orochi	Yamata-no-Orochi	Yamata-no-Orochi	Yamata-no-Orochi
DEVIL_L0177	Jack Frost	ジャックフロスト	杰克霜精	傑克霜精	Jack Frost	Jack Frost	Jack Frost	Jack Frost
DEVIL_L0178	Susano-o	スサノオ	须佐之男	須佐之男命	Susano-o	Susanoo	Susano-o	Susano-o
DEVIL_L0179	Jack-o'-Lantern	ジャックランタン	杰克灯笼	傑克燈籠	Jack-o’-Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Jack-o'-Lantern
DEVIL_L0180	Arahabaki	アラハバキ	荒霸吐	荒霸吐	Arahabaki	Arahabaki	Arahabaki	Arahabaki
DEVIL_L0181	Oyamatsumi	オオヤマツミ	大山津见	大山津見神	Oyamatsumi	Oyamatsumi	Oyamatsumi	Oyamatsumi
DEVIL_L0182	Power	パワー	能天使	能天使	Kraft	Potestad	Puissance	Potestà
