id	EN
ITEMHELP_L0001	Restores 120 HP to 1 ally. Can carry 99.
ITEMHELP_L0002	Restores 350 HP to 1 ally. Can carry 12.
ITEMHELP_L0003	Restores 25% of max HP to 1 ally. Can carry 24.
ITEMHELP_L0004	Restores 60% of max HP to 1 ally, with side effects. Can carry 12.
ITEMHELP_L0005	Restores full HP to 1 ally. Can carry 9.
ITEMHELP_L0006	Restores full HP to party. Can carry 9.
ITEMHELP_L0007	Moderately restores Raidou's MAG. Can carry 30.
ITEMHELP_L0008	Fully restores Raidou's MAG. Can carry 30.
ITEMHELP_L0009	(Data for downloadable content not found.)
ITEMHELP_L0012	Fully restores Raidou's HP and MAG. Can carry 9.
ITEMHELP_L0013	Cures Poison for 1 ally. Can carry 9.
ITEMHELP_L0014	Cures Mute for 1 ally. Can carry 9.
ITEMHELP_L0015	Cures Stone for 1 ally. Can carry 9.
ITEMHELP_L0016	Cures Sleep, Confuse, Charm, Dizzy, or Rage for 1 ally. Can carry 9.
ITEMHELP_L0017	Revives a demon with slightly restored HP. Can carry 9.
ITEMHELP_L0018	Revives a demon with fully restored HP. Can carry 9.
ITEMHELP_L0019	Increases Strength by 1 for 1 ally. Can carry 99.
ITEMHELP_L0020	Increases Magic by 1 for 1 ally. Can carry 99.
ITEMHELP_L0021	Increases Vitality by 1 for 1 ally. Can carry 99.
ITEMHELP_L0022	Increases Luck by 1 for 1 ally. Can carry 99.
ITEMHELP_L0023	Slightly increases a demon's Loyalty. Can carry 99.
ITEMHELP_L0024	Moderately increases a Pyro Order demon's Loyalty. Can carry 99.
ITEMHELP_L0025	Moderately increases a Frost Order demon's Loyalty. Can carry 99.
ITEMHELP_L0026	Moderately increases a Volt Order demon's Loyalty. Can carry 99.
ITEMHELP_L0027	Moderately increases a Wind Order demon's Loyalty. Can carry 99.
ITEMHELP_L0028	Moderately increases a Fury Order demon's Loyalty. Can carry 99.
ITEMHELP_L0029	Moderately increases a Pagan Order demon's Loyalty. Can carry 99.
ITEMHELP_L0030	Moderately increases a Skill Order demon's Loyalty. Can carry 99.
ITEMHELP_L0031	Moderately increases a demon's Loyalty. Can carry 99.
ITEMHELP_L0032	Greatly increases a demon's Loyalty. Can carry 99.
ITEMHELP_L0034	Increases encounter rate until the next new moon. Can carry 99.
ITEMHELP_L0035	Decreases encounter rate until the next new moon. Can carry 99.
ITEMHELP_L0036	A grass toy that is irresistible to cats. Can carry 99.
ITEMHELP_L0038	Enables instant escape from battle. Can carry 9.
ITEMHELP_L0039	A talisman said to expel evil. Can carry 9.
ITEMHELP_L0064	An ornately carved piece. Fetches a high price. Can carry 99.
ITEMHELP_L0065	Made of a special alloy. Fetches a high price. Can carry 99.
ITEMHELP_L0066	An ancient wine cup. Fetches a high price. Can carry 99.
ITEMHELP_L0067	A carving of a sacred bird. Fetches a high price. Can carry 99.
ITEMHELP_L0068	Engraved with a portrait. Fetches a high price. Can carry 99.
ITEMHELP_L0069	Rare, shining pottery. Fetches a high price. Can carry 99.
ITEMHELP_L0070	Was once widely used. Fetches a high price. Can carry 99.
ITEMHELP_L0071	An ivory statue. Fetches a high price. Can carry 99.
ITEMHELP_L0072	Contains lost knowledge. Fetches a high price. Can carry 99.
ITEMHELP_L0073	Made of shimmering gold. Fetches a high price. Can carry 99.
ITEMHELP_L0074	A rare insect. Can carry 99.
ITEMHELP_L0075	Popular among children. Can carry 99.
ITEMHELP_L0076	A popular bar snack. Demons enjoy it too. Can carry 99.
ITEMHELP_L0077	A plain old twig. There's no use for it. Can carry 99.
ITEMHELP_L0078	A garment favored by virgins long ago. Can carry 99.
ITEMHELP_L0128	Increases Strength by 3 until the next new moon.
ITEMHELP_L0129	Increases Magic by 3 until the next new moon.
ITEMHELP_L0130	Increases Vitality by 3 until the next new moon.
ITEMHELP_L0131	Increases Luck by 3 until the next new moon.
ITEMHELP_L0132	Restores 30% of max HP.
ITEMHELP_L0133	Increases Strength and Vitality by 3 until the next new moon.
ITEMHELP_L0134	Increases Magic and Luck by 3 until the next new moon.
ITEMHELP_L0135	Increases Strength by 5 until the next new moon.
ITEMHELP_L0136	Increases Magic by 5 until the next new moon.
ITEMHELP_L0137	Increases Vitality by 5 until the next new moon.
ITEMHELP_L0138	Increases Luck by 5 until the next new moon.
ITEMHELP_L0139	Restores full HP.
ITEMHELP_L0140	Increases money earned from battles until the next new moon.
ITEMHELP_L0141	Increases items dropped from battles until the next new moon.
ITEMHELP_L0142	Increases Strength, Magic, Vitality, and Luck by 5 until the next new moon.
ITEMHELP_L0145	Attack 100 | Ma +1
ITEMHELP_L0146	Attack 150 | Vi +1 | Ma +1
ITEMHELP_L0147	Attack 150 | Ma +1 | Lu +1
ITEMHELP_L0148	Attack 150 | St +2
ITEMHELP_L0149	Attack 180 | Ma +1 | Vi +1 | Lu +1
ITEMHELP_L0150	Attack 180 | Ma +2 | Lu +1
ITEMHELP_L0151	Attack 180 | St +3
ITEMHELP_L0152	Attack 210 | Ma +1 | Vi +2 | Lu +1
ITEMHELP_L0153	Attack 210 | Ma +2 | Lu +2
ITEMHELP_L0154	Attack 210 | HP +10 | St +3
ITEMHELP_L0155	Attack 240 | Ma +2 | Vi +2 | Lu +1
ITEMHELP_L0156	Attack 240 | Ma +1 | Vi +3 | Lu +1
ITEMHELP_L0157	Attack 240 | Ma +2 | Lu +3
ITEMHELP_L0158	Attack 255 | Ma +3 | Lu +2
ITEMHELP_L0159	Attack 240 | HP +20 | St +3
ITEMHELP_L0160	Attack 240 | HP +10 | St +4
ITEMHELP_L0161	Attack 270 | Ma +3 | Vi +2 | Lu +2
ITEMHELP_L0162	Attack 270 | Ma +2 | Vi +3 | Lu +2
ITEMHELP_L0163	Attack 270 | Ma +3 | Lu +4
ITEMHELP_L0164	Attack 300 | Ma +5 | Lu +4
ITEMHELP_L0165	Attack 270 | HP +30 | St +4
ITEMHELP_L0166	Attack 270 | HP +20 | St +5
ITEMHELP_L0167	Attack 300 | Ma +4 | Vi +3 | Lu +2
ITEMHELP_L0168	Attack 300 | Ma +3 | Vi +4 | Lu +2
ITEMHELP_L0169	Attack 340 | St +2 | Ma +5 | Vi +4 | Lu +2
ITEMHELP_L0170	Attack 300 | Ma +4 | Lu +5
ITEMHELP_L0171	Attack 300 | Ma +5 | Lu +4
ITEMHELP_L0172	Attack 330 | Ma +5 | Lu +6
ITEMHELP_L0173	Attack 300 | HP +30 | St +5 | Ma +1
ITEMHELP_L0174	Attack 300 | HP +20 | St +6 | Ma +1
ITEMHELP_L0175	Attack 340 | HP +30 | St +7 | Lu +3
ITEMHELP_L0176	Attack 330 | St +1 | Ma +4 | Vi +3 | Lu +3
ITEMHELP_L0177	Attack 330 | St +1 | Ma +3 | Vi +4 | Lu +3
ITEMHELP_L0178	Attack 360 | Ma +6 | Lu +7
ITEMHELP_L0179	Attack 330 | Ma +6 | Lu +5
ITEMHELP_L0180	Attack 330 | HP +30 | St +6 | Ma +2
ITEMHELP_L0181	Attack 330 | HP +20 | St +7 | Ma +2
ITEMHELP_L0182	Attack 360 | St +2 | Ma +3 | Vi +5 | Lu +3
ITEMHELP_L0183	Attack 360 | Ma +7 | Lu +6
ITEMHELP_L0184	Attack 360 | HP +30 | St +8 | Ma +2
