id	EN	JA	ZH	CH	DE	ES	FR	IT
ITEM_L0001	Medicine	傷薬	伤药	傷藥	Medizin	Medicina	Médicament	Medicina
ITEM_L0002	Ox Bezoar	牛黄丹	牛黄丹	牛黃丹	Ochsen-Bezoar	Bezoar boyante	Bézoard de bœuf	Bezoar del bue
ITEM_L0003	Life Stone	魔石	魔石	魔石	Lebensstein	Piedra vital	Pierre de vie	Pietra vitale
ITEM_L0004	Muscle Drink	マッスルドリンコ	肌肉饮料	肌肉飲料	Proteinshake	Batido de proteínas	Boisson énergisante	Bevanda energetica
ITEM_L0005	Bead	宝玉	宝玉	寶玉	Perle	Abalorio	Perle	Perlina
ITEM_L0006	Bead of Life	生玉	生玉	生玉	Perle des Lebens	Abalorio de vida	Perle de vie	Perlina vitale
ITEM_L0007	Chakra Chip	チャクラチップ	脉轮片	脈輪碎片	Chakra-Chip	Esquirla de chakra	Fragment de chakra	Scheggia di chakra
ITEM_L0008	Chakra Drop	チャクラドロップ	脉轮滴	脈輪露	Chakra-Tropfen	Gota de chakra	Goutte de chakra	Goccia di chakra
ITEM_L0009	???	？？？	？？？	？？？	???	¿?	???	???
ITEM_L0012	Soma	ソーマ	苏摩	蘇摩	Soma	Soma	Soma	Soma
ITEM_L0013	Anti-Poison	解毒符	解毒符	解毒符	Anti-Gift	Antiveneno	Anti-poison	Anti-veleno
ITEM_L0014	Anti-Mute	解封符	解封符	解封符	Anti-Stumm	Antimudez	Anti-mutisme	Anti-silenzio
ITEM_L0015	Anti-Stone	解石符	解石符	解石符	Anti-Stein	Antipetrificación	Anti-pétrification	Anti-pietra
ITEM_L0016	Anti-Mind	鎮心符	镇心符	鎮心符	Anti-Verstand	Antimente	Anti-mental	Anti-mente
ITEM_L0017	Jin Dan	金丹	金丹	金丹	Jin Dan	Jin Dan	Jin Dan	Jin Dan
ITEM_L0018	Balm of Life	反魂香	返魂香	返魂香	Balsam des Lebens	Bálsamo vital	Baume de vie	Balsamo vitale
ITEM_L0019	St Incense	力の香	力之香	力之香	St-Räucherstäbchen	Incienso de fuerza	Encens de Fo	Incenso Fz
ITEM_L0020	Ma Incense	魔力の香	魔之香	魔力之香	Ma-Räucherstäbchen	Incienso de magia	Encens de Ma	Incenso Ma
ITEM_L0021	Vi Incense	耐力の香	耐之香	耐力之香	Vi-Räucherstäbchen	Incienso de vitalidad	Encens de Vi	Incenso Vi
ITEM_L0022	Lu Incense	運の香	运之香	運之香	Lu-Räucherstäbchen	Incienso de suerte	Encens de Ch	Incenso Fr
ITEM_L0023	"Mansaku" Sake	清酒まんさく	清酒万作	清酒萬作	Mansaku-Sake	Sake mansaku	Saké « Mansaku »	Sakè "Mansaku"
ITEM_L0024	"Homura" Sake	銘酒ほむら	铭酒烈焰	銘酒焰	Homura-Sake	Sake homura	Saké « Homura »	Sakè "Homura"
ITEM_L0025	"Fubuki" Sake	銘酒ふぶき	铭酒吹雪	銘酒吹雪	Fubuki-Sake	Sake fubuki	Saké « Fubuki »	Sakè "Fubuki"
ITEM_L0026	"Raiden" Sake	銘酒らいでん	铭酒雷电	銘酒雷電	Raiden-Sake	Sake raiden	Saké « Raiden »	Sakè "Raiden"
ITEM_L0027	"Arashi" Sake	銘酒あらし	铭酒暴风	銘酒嵐	Arashi-Sake	Sake arashi	Saké « Arashi »	Sakè "Arashi"
ITEM_L0028	"Gouriki" Sake	銘酒ごうりき	铭酒刚力	銘酒剛力	Gouriki-Sake	Sake gouriki	Saké « Gouriki »	Sakè "Gouriki"
ITEM_L0029	"Yamiyo" Sake	銘酒やみなで	铭酒暗抚	銘酒闇撫	Yamiyo-Sake	Sake yamiyo	Saké « Yamiyo »	Sakè "Yamiyo"
ITEM_L0030	"Takumi" Sake	銘酒たくみ	铭酒巧匠	銘酒匠	Takumi-Sake	Sake takumi	Saké « Takumi »	Sakè "Takumi"
ITEM_L0031	"Shishiou" Sake	濁酒からじし	浊酒唐狮子	濁酒唐獅子	Shishiou-Sake	Sake shishiou	Saké « Shishiou »	Sakè "Shishiou"
ITEM_L0032	"Kotetsu" Sake	秘蔵濁酒まさむね	秘藏浊酒正宗	秘藏濁酒正宗	Kotetsu-Sake	Sake kotetsu	Saké « Kotetsu »	Sakè "Kotetsu"
