id	EN	JA	ZH	CH	DE	ES	FR	IT
QUEST_TITLE_L0001	Purge the Aril Rifts	「ザクロ」を祓え	祓除“石榴”	祓除「石榴」	Säubere die Arillus-Risse	Purgar las grietas zakuro	Purger les fissures arillées	Purifica i Varchi Arillo
QUEST_TITLE_L0002	Crying for Help (Pt. 1)	子供の涙を見過ごすな①	别忽视孩子的眼泪①	童稚之淚不容忽視①	Ein Hilferuf (Teil 1)	Pidiendo ayuda (parte 1)	Appel à l'aide (partie 1)	Un grido d'aiuto (parte 1)
QUEST_TITLE_L0003	A "Special Case"?	変わった依頼？	特殊委托？	奇怪的委託？	Ein „besonderer Fall“?	¿Un caso especial?	Un cas « spécial » ?	Un "caso speciale"?
QUEST_TITLE_L0004	Eyes on the Prize	褒美を得てみせよ	获得奖励吧	獲得獎勵吧	Am Ball bleiben	A por el premio	Cap sur la récompense	Punta ai premi
QUEST_TITLE_L0005	Intensive Training	特訓だ	特训	接受特訓吧	Intensives Training	Entrenamiento intensivo	Entraînement intensif	Allenamento intensivo
QUEST_TITLE_L0006	Stubborn as a Demon	懲りない悪魔	不长记性的恶魔	學不乖的惡魔	Stur wie ein Dämon	Terco como un demonio	Têtu comme un démon	Testardo come un demone
QUEST_TITLE_L0007	Swordsmithing (Pt. 1)	刀鍛冶の後進育成①	培育晚辈刀匠①	培育刀匠後進①	Schwerter schmieden (Teil 1)	Forja de espadas (parte 1)	La forge de l'épée (partie 1)	Mastro di spade (parte 1)
QUEST_TITLE_L0008	Respect for the Elderly	お年寄りを敬え	尊敬老人	敬老尊賢	Den Älteren helfen	Respeto a los Mayores	Le respect des anciens	Rispettare gli anziani
QUEST_TITLE_L0009	Voice of the Animals	動物の声を聞け	倾听动物的声音	傾聽動物心聲吧	Stimme der Tiere	La voz de los animales	La voix des animaux	La voce degli animali
QUEST_TITLE_L0010	That Narumi... (Pt. 1)	鳴海の奴め……①	鸣海那家伙……①	鳴海這廝……①	Immer dieser Narumi .... (Teil 1)	Ese Narumi… (parte 1)	Sacré Narumi... (partie 1)	Quel Narumi... (parte 1)
QUEST_TITLE_L0011	The Treasure Hoard	小島の秘宝調査	调查小岛上的秘宝	調查小島的秘寶	Der Schatzhort	La cámara del tesoro	Le trésor	Il tesoro
QUEST_TITLE_L0012	Feeling Watched	隙間から視線が	来自缝隙的视线	來自夾縫的視線	Der Beobachter	Blanco de miradas	Sous surveillance	Sentirsi osservati
QUEST_TITLE_L0013	Not All Demons Fight	悪魔の話も聞いてやれ	听听恶魔的请求	也傾聽惡魔心聲吧	Nicht alle Dämonen sind Feinde	No todos los demonios luchan	À l'écoute des démons	Non tutti i demoni combattono
QUEST_TITLE_L0014	Crying for Help (Pt. 2)	子供の涙を見過ごすな②	别忽视孩子的眼泪②	童稚之淚不容忽視②	Ein Hilferuf (Teil 2)	Pidiendo ayuda (parte 2)	Appel à l'aide (partie 2)	Un grido d'aiuto (parte 2)
QUEST_TITLE_L0015	Slay the Demon Forces	悪魔の軍勢を殲滅なさい	歼灭恶魔军团	殲滅惡魔軍	Besiege die dämonischen Kräfte	Derrota a las fuerzas demoníacas	Sus aux forces démoniaques	Eliminare le forze demoniache
QUEST_TITLE_L0016	A Demon Kingdom	悪魔の王國	恶魔王国	惡魔王國	Ein Königreich der Dämonen	Un reino para demonios	Le royaume des démons	Un regno demoniaco
QUEST_TITLE_L0017	That Narumi... (Pt. 2)	鳴海の奴め……②	鸣海那家伙……②	鳴海這廝……②	Immer dieser Narumi .... (Teil 2)	Ese Narumi… (parte 2)	Sacré Narumi... (partie 2)	Quel Narumi... (parte 2)
QUEST_TITLE_L0018	Swordsmithing (Pt. 2)	刀鍛冶の後進育成②	培育晚辈刀匠②	培育刀匠後進②	Schwerter schmieden (Teil 2)	Forja de espadas (parte 2)	La forge de l'épée (partie 2)	Mastro di spade (parte 2)
QUEST_TITLE_L0019	Enter Hayataro	ハヤタロウ 現る	早太郎现身	早太郎 現身	Hayataros Auftritt	Hayataro al ataque	Hayataro	Arriva Hayataro
QUEST_TITLE_L0020	That Narumi... (Pt. 3)	鳴海の奴め……③	鸣海那家伙……③	鳴海這廝……③	Immer dieser Narumi .... (Teil 3)	Ese Narumi… (parte 3)	Sacré Narumi... (partie 3)	Quel Narumi... (parte 3)
QUEST_TITLE_L0021	That Narumi... (Pt. 4)	鳴海の奴め……④	鸣海那家伙……④	鳴海這廝……④	Immer dieser Narumi .... (Teil 4)	Ese Narumi… (parte 4)	Sacré Narumi... (partie 4)	Quel Narumi... (parte 4)
QUEST_TITLE_L0022	Peeping Prohibited	覗き魔を許すな	不要放过偷窥狂魔	不能放任偷窺狂	Belästigen verboten	Prohibido espiar	Voyeurisme interdit	Vietato spiare
QUEST_TITLE_L0023	Yoshitsune's Test	ヨシツネ殿の腕試し	义经考验身手	義經閣下的試探	Yoshitsunes Test	La prueba de Yoshitsune	Le test de Yoshitsune	La prova di Yoshitsune
QUEST_TITLE_L0024	Bandmates Wanted	バンドメンバー募集	招募乐队成员	招募樂團成員	Bandmitglieder gesucht	Se buscan músicos	Cherche musiciens	Cercasi compagni di gruppo
QUEST_TITLE_L0025	Indulge the Tourist	観光客をもてなそう	款待游客	招待觀光客	Der Tourist	Agasaja al turista	Pour le tourisme	Aiutare il turista
QUEST_TITLE_L0026	A Kuzunoha Custom	葛葉の恒例行事	葛叶的例行课题	葛葉的例行公事	Ein Kuzunoha-Brauch	Una costumbre de Kuzunoha	Coutume Kuzunoha	Un'usanza dei Kuzunoha
QUEST_TITLE_L0027	Trial of a Hundred Demons (Pt. 1)	百鬼夜行 現る（第一幕）	百鬼夜行出现（第一幕）	百鬼夜行 顯現（第一幕）	Prüfung der Hundert Dämonen (Teil 1)	Prueba de los cien demonios (parte 1)	Épreuve des cent démons (partie 1)	Ordalia dei Cento Demoni (parte 1)
QUEST_TITLE_L0028	Indiscriminate Support	悪魔とて救え	恶魔也要救	惡魔亦救	Volle Unterstützung	Apoyo indiscriminado	Aide inconditionnelle	Supporto incondizionato
QUEST_TITLE_L0029	Enter Kudan	クダン 現る	件现身	件 現身	Kudans Auftritt	Kudan al ataque	Kudan	Arriva Kudan
QUEST_TITLE_L0030	Demon Demonstration	悪魔のデモ 発生	发生恶魔游行	惡魔示威 發起	Dämonendemonstration	Manifestación de demonios	Démonstration démoniaque	Dimostrazione demoniaca
QUEST_TITLE_L0031	Hello...?	もしもし？	喂喂？	喂？	Hallo ...?	¿Hola?	Salut... ?	Pronto...?
QUEST_TITLE_L0032	Visit Kiyoshi (Pt. 1)	事後調査・大道寺清①	事后调查·大道寺清①	事後調查．大道寺清①	Sieh nach Kiyoshi (Teil 1)	Visita a Kiyoshi (parte 1)	Visite à Kiyoshi (partie 1)	Visita a Kiyoshi (parte 1)
QUEST_TITLE_L0033	Visit Denpachi (Pt. 1)	事後調査・飯田伝八①	事后调查·饭田传八①	事後調查．飯田傳八①	Sieh nach Denpachi (Teil 1)	Visita a Denpachi (parte 1)	Visite à Denpachi (partie 1)	Visita a Denpachi (parte 1)
QUEST_TITLE_L0034	Trial of a Hundred Demons (Pt. 2)	百鬼夜行 現る（第二幕）	百鬼夜行出现（第二幕）	百鬼夜行 顯現（第二幕）	Prüfung der Hundert Dämonen (Teil 2)	Prueba de los cien demonios (parte 2)	Épreuve des cent démons (partie 2)	Ordalia dei Cento Demoni (parte 2)
QUEST_TITLE_L0035	The Prince of Darkness	闇の王子 現る	暗之王子现身	暗黑王子 現身	Der Prinz der Dunkelheit	El príncipe de la oscuridad	Le prince des ténèbres	Il principe delle tenebre
QUEST_TITLE_L0036	HERE, FOR YOU	コレ　ヤル	这个 给你	這個　給你	ICH HAB WAS FÜR DICH	UN REGALO	POUR VOUS	ECCO, PER TE
QUEST_TITLE_L0037	Visit Kiyoshi (Pt. 2)	事後調査・大道寺清②	事后调查·大道寺清②	事後調查．大道寺清②	Sieh nach Kiyoshi (Teil 2)	Visita a Kiyoshi (parte 2)	Visite à Kiyoshi (partie 2)	Visita a Kiyoshi (parte 2)
QUEST_TITLE_L0038	Visit Denpachi (Pt. 2)	事後調査・飯田伝八②	事后调查·饭田传八②	事後調查．飯田傳八②	Sieh nach Denpachi (Teil 2)	Visita a Denpachi (parte 2)	Visite à Denpachi (partie 2)	Visita a Denpachi (parte 2)
QUEST_TITLE_L0039	Trial of a Hundred Demons (Pt. 3)	百鬼夜行 現る（第三幕）	百鬼夜行出现（第三幕）	百鬼夜行 顯現（第三幕）	Prüfung der Hundert Dämonen (Teil 3)	Prueba de los cien demonios (parte 3)	Épreuve des cent démons (partie 3)	Ordalia dei Cento Demoni (parte 3)
QUEST_TITLE_L0040	Scars of the Recession	不況の傷跡か	萧条的伤痕？	經濟蕭條的創傷	Folgen der Rezession	Cicatrices de la recesión	Victimes de la crise	Segni della recessione
QUEST_TITLE_L0041	A Theoretical Request	悪魔が欲しいセオリーです	就结论而言想要恶魔	想要惡魔的理論	Ein theoretischer Auftrag	Una petición teórica	Requête théorique	Una richiesta teorica
QUEST_TITLE_L0042	Swordsmithing (Pt. 3)	刀鍛冶の後進育成③	培育晚辈刀匠③	培育刀匠後進③	Schwerter schmieden (Teil 3)	Forja de espadas (parte 3)	La forge de l'épée (partie 3)	Mastro di spade (parte 3)
QUEST_TITLE_L0043	The Final Act	深淵の王 現る（終幕）	深渊之王现身（最终幕）	深淵之王 現身（終幕）	Der letzte Akt	El acto final	Dernier acte	L'atto finale
QUEST_TITLE_L0044	A Transcendent God	超越せし闘神を討て	讨伐超越万物之斗神	討伐超脫的鬥神	Ein transzendenter Gott	Un dios trascendental	Un dieu transcendant	Una divinità superiore
QUEST_TITLE_L0045	A New Hero Emerges?	新ヒーロー 現る？	新英雄现身？	新英雄 現身？	Ein neuer Held steigt auf?	¿El surgimiento de un nuevo héroe?	L'émergence d'un héros ?	Un nuovo eroe?
QUEST_TITLE_L0050	No.	No.	No.	No.	Nr.	No.	N°	No.
