id	EN
SKILLHELP_L0000	No skill
SKILLHELP_L0001	Light Fire attack to 1 target | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0002	Heavy Fire attack to 1 target | Area effect | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0003	Medium Fire attack to a medium area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0004	Heavy Fire attack to a large area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0005	Medium Fire attack in a three-way spread | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0006	Heavy Fire attack to 1 target | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0007	Light Fire attack | Penetrating effect | Multi-hit | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0008	Heavy Fire attack to 1 target | Area effect | Ignores resistances | <SKL_17>: <V 0>
SKILLHELP_L0016	Light Ice attack to 1 target | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0017	Heavy Ice attack to 1 target | Area effect | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0018	Medium Ice attack to a medium area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0019	Heavy Ice attack to a large area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0020	Medium Ice attack in a three-way spread | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0021	Heavy Ice attack to 1 target | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0022	Light Ice attack | Penetrating effect | Multi-hit | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0023	Heavy Ice attack to 1 target | Area effect | Ignores resistances | <SKL_17>: <V 0>
SKILLHELP_L0032	Light Electric attack to 1 target | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0033	Heavy Electric attack to 1 target | Area effect | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0034	Medium Electric attack to a medium area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0035	Heavy Electric attack to a large area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0036	Medium Electric attack in a three-way spread | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0037	Heavy Electric attack to 1 target | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0038	Light Electric attack | Penetrating effect | Multi-hit | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0039	Heavy Electric attack to 1 target | Area effect | Ignores resistances | <SKL_17>: <V 0>
SKILLHELP_L0048	Light Force attack to 1 target | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0049	Heavy Force attack to 1 target | Area effect | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0050	Medium Force attack to a medium area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0051	Heavy Force attack to a large area around self | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0052	Medium Force attack in a three-way spread | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0053	Heavy Force attack to 1 target | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0054	Light Force attack | Penetrating effect | Multi-hit | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0055	Heavy Force attack to 1 target | Area effect | Ignores resistances | <SKL_17>: <V 0>
SKILLHELP_L0056	Medium Force attack in a three-way spread | 2-5 additional damage ticks | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0064	Heavy Almighty attack to a medium area around self | <SKL_17>: <V 0>
SKILLHELP_L0065	Severe Almighty attack to a massive area around self | <SKL_17>: <V 0>
SKILLHELP_L0080	Death attack to 1 target | Halves target's HP | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0081	Death attack to a medium area around self | Halves target's HP | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0082	Death attack to a medium area around self | Moderate chance to instakill | MAG: <V 1>
SKILLHELP_L0096	Light Mind attack to a medium area around self | Moderate chance to inflict Charm | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0097	Light Mind attack to a medium area around self | Moderate chance to inflict Sleep | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0098	Light Mind attack to a medium area around self | Moderate chance to inflict Confuse | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0099	Light Mind attack to a medium area around self | Moderate chance to inflict Mute | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0100	Light Mind attack to a medium area around self | Low chance to inflict Stone | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0112	Slightly restores HP to 1 ally | MAG: <V 1>
SKILLHELP_L0113	Moderately restores HP to 1 ally | MAG: <V 1>
SKILLHELP_L0114	Fully restores HP to 1 ally | MAG: <V 1>
SKILLHELP_L0115	Slightly restores HP to party | MAG: <V 1>
SKILLHELP_L0116	Heals ailments except Stun and other special ailments | MAG: <V 1>
SKILLHELP_L0117	Temporarily grants light HP regeneration for 1 ally | MAG: <V 1>
SKILLHELP_L0118	Revives 1 ally with slightly restored HP | MAG: <V 1>
SKILLHELP_L0119	Revives 1 ally with fully restored HP | MAG: <V 1>
SKILLHELP_L0120	Temporarily grants moderate HP regeneration for 1 ally | MAG: <V 1>
SKILLHELP_L0121	Moderately restores HP to party | MAG: <V 1>
SKILLHELP_L0128	Raises physical attack power of party until battle ends | MAG: <V 1>
SKILLHELP_L0129	Raises magic attack power of party until battle ends | MAG: <V 1>
SKILLHELP_L0130	Raises defense power of party until battle ends | MAG: <V 1>
SKILLHELP_L0131	Temporarily greatly raises physical attack power of party | MAG: <V 1>
SKILLHELP_L0132	Temporarily greatly raises magic defense power of party | MAG: <V 1>
SKILLHELP_L0133	Temporarily greatly raises physical defense power of party | MAG: <V 1>
SKILLHELP_L0134	Dispels stat buffs on all foes | MAG: <V 1>
SKILLHELP_L0144	Raidou's sword thrust
SKILLHELP_L0145	Raidou's combo, first hit
SKILLHELP_L0146	Raidou's combo, second hit
SKILLHELP_L0147	Raidou's combo, third hit
SKILLHELP_L0148	Raidou's charge attack
SKILLHELP_L0149	Light Physical attack to 1 target
SKILLHELP_L0150	Light Physical attack to 1 target | Multi-hit | Low chance to inflict Dizzy | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0151	Heavy Physical attack to 1 target | Low chance to inflict Dizzy | <SKL_17>: <V 0> | MAG: <V 1>
SKILLHELP_L0152	Medium Physical attack to a large area around self | Low chance to inflict Dizzy | <SKL_17>: <V 0> | MAG: <V 1>
