id	EN	JA	ZH	CH	DE	ES	FR	IT
SKILL_L0001	Agi	アギ	亚基	亞基	Agi	Agi	Agi	Agi
SKILL_L0002	Agidyne	アギダイン	亚基达因	亞基達因	Agidyne	Agidyne	Agidyne	Agidyne
SKILL_L0003	Maragi	マハ・ラギ	玛哈·拉基	瑪哈．拉基	Maragi	Maragi	Maragi	Maragi
SKILL_L0004	Maragidyne	マハ・ラギダイン	玛哈·拉基达因	瑪哈．拉基達因	Maragidyne	Maragidyne	Maragidyne	Maragidyne
SKILL_L0005	Blaze	砲火	炮火	砲火	Flammen	Llamarada	Embrasement	Fulgore
SKILL_L0006	Hellfire	地獄の業火	地狱业火	地獄業火	Höllenfeuer	Fuego del averno	Feu de l'enfer	Fuoco infernale
SKILL_L0007	Fire Breath	ファイアブレス	火焰吐息	火焰之息	Feueratem	Aliento ígneo	Souffle de feu	Soffio ardente
SKILL_L0008	Pyro Sign	紅蓮印	红莲印	紅蓮印	Pyrozeichen	Presagio ígneo	Symbole de flamme	Segno fiammante
SKILL_L0016	Bufu	ブフ	布芙	布芙	Bufu	Bufu	Bufu	Bufu
SKILL_L0017	Bufudyne	ブフダイン	布芙达因	布芙達因	Bufudyne	Bufudyne	Bufudyne	Bufudyne
SKILL_L0018	Mabufu	マハ・ブフ	玛哈·布芙	瑪哈．布芙	Mabufu	Mabufu	Mabufu	Mabufu
SKILL_L0019	Mabufudyne	マハ・ブフダイン	玛哈·布芙达因	瑪哈．布芙達因	Mabufudyne	Mabufudyne	Mabufudyne	Mabufudyne
SKILL_L0020	Frostbite	雪華	雪华	雪花	Erfrierung	Hipotermia	Gelures	Gelone
SKILL_L0021	Cocytus	コキュートス	悲叹冥河	悲嘆冥河	Kokytos	Cocito	Cocyte	Cocito
SKILL_L0022	Glacial Blast	絶対零度	绝对零度	絕對零度	Gletscherstoß	Estallido glacial	Explosion glaciale	Urto glaciale
SKILL_L0023	Frost Sign	銀氷印	银冰印	銀冰印	Frostzeichen	Presagio gélido	Symbole de givre	Segno glaciale
SKILL_L0032	Zio	ジオ	吉欧	吉歐	Zio	Zio	Zio	Zio
SKILL_L0033	Ziodyne	ジオダイン	吉欧达因	吉歐達因	Ziodyne	Ziodyne	Ziodyne	Ziodyne
SKILL_L0034	Mazio	マハ・ジオ	玛哈·吉欧	瑪哈．吉歐	Mazio	Mazio	Mazio	Mazio
SKILL_L0035	Maziodyne	マハ・ジオダイン	玛哈·吉欧达因	瑪哈．吉歐達因	Maziodyne	Maziodyne	Maziodyne	Maziodyne
SKILL_L0036	Spark	飛電	飞电	飛電	Funken	Chispa	Étincelle	Scintilla
SKILL_L0037	Bolt Storm	大放電	大放电	大放電	Bolzensturm	Tormenta eléctrica	Orage d'éclairs	Tempesta di lampi
SKILL_L0038	Shock Wave	ショックウェーブ	震荡波	脈衝波浪	Schockwelle	Onda eléctrica	Onde de choc	Onda d'urto
SKILL_L0039	Volt Sign	雷電印	雷电印	雷電印	Stromzeichen	Presagio voltaico	Symbole de volt	Segno voltaico
SKILL_L0048	Zan	ザン	赞	贊	Zan	Zan	Zan	Zan
SKILL_L0049	Zandyne	ザンダイン	赞达因	贊達因	Zandyne	Zandyne	Zandyne	Zandyne
