en	desc
UNUSED	UNUSED
B-Hawaii Frost	One of the "shaved ice" subspecies of Jack Frost created by Dr. Thrill. Its official name is "Blue Hawaii Frost." Having sought asylum in Japan, Dr. Thrill was soon exposed to a great deal of Japanese culture, and, upon buying a variety of sentai masks and shaved ice at a summer festival, was inspired to create this variation of Jack Frost. Whether or not they actually taste like "Blue Hawaii" has yet to be determined... though admittedly, what "Blue Hawaii" even tastes like is a mystery in itself.
Melon Frost	One of the "shaved ice" subspecies of Jack Frost created by the brilliant Dr. Thrill. Having sought asylum in Japan, Dr. Thrill was soon exposed to a great deal of Japanese culture, and, upon buying a variety of sentai masks and shaved ice at a summer festival, was inspired to create this variation of Jack Frost. Whether or not they actually taste like melon has yet to be determined.
Lemon Frost	One of the "shaved ice" subspecies of Jack Frost created by the brilliant Dr. Thrill. Having sought asylum in Japan, Dr. Thrill was soon exposed to a great deal of Japanese culture, and, upon buying a variety of sentai masks and shaved ice at a summer festival, was inspired to create this variation of Jack Frost. Whether or not they actually taste like lemon has yet to be determined.
Strawberry Frost	One of the "shaved ice" subspecies of Jack Frost created by the brilliant Dr. Thrill. Having sought asylum in Japan, Dr. Thrill was soon exposed to a great deal of Japanese culture, and, upon buying a variety of sentai masks and shaved ice at a summer festival, was inspired to create this variation of Jack Frost. Whether or not they actually taste like strawberry has yet to be determined.
Milk-kin Frost	One of the "shaved ice" subspecies of Jack Frost created by Dr. Thrill. Its official name is "Milk Kintoki Frost." Having sought asylum in Japan, Dr. Thrill was soon exposed to a great deal of Japanese culture, and, upon buying a variety of sentai masks and shaved ice at a summer festival, was inspired to create this variation of Jack Frost. They seem a touch classier than their more fruity counterparts, but, as usual, whether they actually taste like milk kintoki has yet to be determined.
Ara Mitama	One of the four great aspects of Shinto that shapes all souls. Ara Mitama is commonly contrasted with Nigi Mitama, where it is depicted as a raging power that appears during times of war and disaster. There are various theories concerning its role. Some claim it holds the power to negate things, while others say it holds the powers of "bravery, growth, and endeavors." It has been said that there have also been times when a divine spirit is divided into both an Ara Mitama and a Nigi Mitama, the Sumoyoshi Sanjin being a notable example.
Nigi Mitama	One of the four great aspects of Shinto that shapes all souls, the Nigi Mitama is said to have a calm demeanor. It is also said that an Ara Mitama becomes a Nigi Mitama once it's calmed down. There are several theories regarding the Nigi Mitama's role, as it has been said to lead things in a positive direction or even grant the powers of "relations, calmness, and sociability."
Kusi Mitama	One of the four great aspects of Shinto that shapes all souls. Like the other Mitama, many theories have been developed regarding its role. Its supernatural powers have been said to cause miracles, unify things that were once broken, and even grant one the powers of "wisdom, skill, and observation." Scholar Motoori Norinaga believed that the names Kushi Mitama, Saki Mitama, or Nigi Mitama represented functions rather than individual spirits.
Saki Mitama	One of the four great aspects of Shinto that shapes all souls. There are a number of theories claiming that its name refers to its role as a soul, many of which also claim that the Saki Mitama is known to grant successful hunts, hold the power to split things apart, or even aid one in the realms of "love, profit, and growth."
Masakado	A general who declared himself the new emperor of Japan but fell to Hidesato Fujiwara and Sadamori Taira soon after. He was quickly enshrined as a means of quelling his vengeful spirit, causing him to later become known as the protector god of Kanto. According to the Otogizoshi, he stood over 6'10", had a head, arms, and legs of gold, and had two pupils in his left eye. His body was made entirely of iron, save for his one weak point, his temple.
Shiva	The great god who governs both the destruction and creation of the world. He is the most worshiped god in Hinduism alongside Vishnu. It is said that he purifies the world through destruction, only to later rebuild it anew, and though he casts his terrible wrath against the demons, he is also known to bless his followers. Shiva has been depicted in many ways, but the most common is for him to have four hands, one face, and three eyes. He wields a trident, or trishula, and his third eye is said to emit a ray of light that destroys all it touches.
Sandalphon	Metatron's twin brother in Judeo-Christian lore. He is said to make garlands of prayers written in Hebrew and present them to God as tribute. Sandalphon is also known as the master of heavenly song and often regarded as the "dark angel" to Metatron's "light angel."
Fortuna	The Roman goddess of luck, she spins the Wheel of Fortune and is believed to have originally been a fertility goddess. Her Greek counterpart is Tyche.
Loki	Reappearing in Devil Summoner form. A Norse deity, known as a trickster who clashes with the other gods. Though his parents are giants, enemies of the gods, he joined the pantheon as Odin's blood brother. Due to his countless evil deeds, such as the murder of Beldr, he was eventually punished with imprisonment in a cave. He is fated to be released on the day of Ragnarok, when the world will end and he will battle the gods.
Norn	The goddesses of fate in Norse myth. They live below the roots of Yggdrasil and weave the threads of fate by which even the gods are bound.
Saturnus	The Roman god of agriculture commonly identified with Cronus. He ate his children in an attempt to prevent destiny but nonetheless was overthrown as fate foretold.
Baal	The chief Semitic god. Bearing a name that means "Lord," or "owner," he was revered as a god of fertility in addition to being known as the god of Canaan and both brother and consort to the goddess Anat. Many demons, such as Bael, Beelzebub, Belphegor, and Berith are believed to be derivations of Baal. There were even instances of him being worshiped in the very same temples as Yahweh (YHVH) in times long since passed.
Zaou-Gongen	The repeller of evil found by En-no-Ozunu at Kinpussen. Ozunu first perceived the god during his 1000 days of training to save the chaotic world. Buddha, Guanyin, and Maitreya had appeared to Ozunu before this, but it was only Zaou-Gongen who convinced him that the world could be saved.
Huang Long	One of the holy dragons of Chinese lore, the Golden Dragon appears in times of great fortune or joy. His dominion over the earth extends to the four gods Qing Long, Baihu, Xuanwu, and Zhuque.
Futsunushi	The Nihonshoki sword deity who pacified Ashihara-no-Nakatsukuni. His name comes from "futsu," the fashion in which things are cut, and "nushi," a term meaning, "nature as a god."
Thor	The Norse god of thunder and fertility whose strength is incomparable. He is a heroic and honest god worshiped mainly by farmers and is primarily known for defeating the giants. He wields Mjolnir, a hammer that returns to its owner after being thrown. He and the World Serpent, Jormungandr, are fated to kill each other at Ragnarok.
Kali	The Black One, a symbol of death and destruction. She is said to be another face of Parvati, Shiva's consort. Wearing a necklace of human heads, she wields numerous bloody swords, one for each of her many arms. It is said that when Durga, another form of Parvati, was fighting the Asuras, she summoned Kali and defeated the Asura army in an instant.
