id	en	jp	cn	tw	ko	gr	es	fr	it
NAKAMA_000	Dummy Enemy	ダミーエネミー	DUMMY敌人	DUMMY敵人	DUMMY 에너미	Gegnerattrappe	Enemigo de pega	Mannequin ennemi	Nemico fantoccio
NAKAMA_001	B Hawaii Frost	Bハワイフロスト	B夏威夷霜精	B夏威夷霜精	B하와이 프로스트	Blue-Hawaii-Frost	Frost hawaiano azul	B Hawaii Frost	Frost B Hawaii
NAKAMA_002	Melon Frost	メロンフロスト	蜜瓜霜精	哈密瓜霜精	멜론 프로스트	Melonen-Frost	Frost melón	Melon Frost	Frost Melone
NAKAMA_003	Lemon Frost	レモンフロスト	柠檬霜精	檸檬霜精	레몬 프로스트	Zitronen-Frost	Frost limón	Lemon Frost	Frost Limone
NAKAMA_004	Strawberry Frost	いちごフロスト	草莓霜精	草莓霜精	딸기 프로스트	Erdbeer-Frost	Frost fresa	Strawberry Frost	Frost Fragola
NAKAMA_005	Milk-kin Frost	ミルきんフロスト	奶豆霜精	奶金霜精	밀킹 프로스트	Milch-Kin-Frost	Frost kintoki crema	Milk-Kin Frost	Frost Milk-Kin
NAKAMA_006	Ara Mitama	アラミタマ	荒魂	荒魂	아라미타마	Ara Mitama	Ara Mitama	Ara Mitama	Ara Mitama
NAKAMA_007	Nigi Mitama	ニギミタマ	和魂	和魂	니기미타마	Nigi Mitama	Nigi Mitama	Nigi Mitama	Nigi Mitama
NAKAMA_008	Kushi Mitama	クシミタマ	奇魂	奇魂	쿠시미타마	Kushi Mitama	Kushi Mitama	Kushi Mitama	Kushi Mitama
NAKAMA_009	Saki Mitama	サキミタマ	幸魂	幸魂	사키미타마	Saki Mitama	Saki Mitama	Saki Mitama	Saki Mitama
NAKAMA_010	Masakado	マサカド	将门	將門	마사카도	Masakado	Masakado	Masakado	Masakado
NAKAMA_011	Shiva	シヴァ	湿婆	濕婆	시바	Shiva	Shiva	Shiva	Shiva
NAKAMA_012	Sandalphon	サンダルフォン	圣德芬	聖達芬	산달폰	Sandalphon	Sandalfón	Sandalphon	Sandalphon
NAKAMA_013	Fortuna	フォルトゥナ	福尔图娜	福圖娜	포르투나	Fortuna	Fortuna	Fortuna	Fortuna
NAKAMA_014	Loki	ロキ	洛基	洛基	로키	Loki	Loki	Loki	Loki
NAKAMA_015	Norn	ノルン	诺伦	諾倫	노른	Nornen	Nornas	Norne	Norn
NAKAMA_016	Saturnus	サトゥルヌス	萨图尔努斯	薩圖爾努斯	사투루누스	Saturnus	Saturno	Saturne	Saturno
NAKAMA_017	Baal	バアル	巴力	巴力	바알	Baal	Baal	Baal	Baal
NAKAMA_018	Zaou-Gongen	ザオウゴンゲン	藏王权现	藏王權現	자오우곤겐	Zaou-Gongen	Zaou-Gongen	Zaou-Gongen	Zaou-Gongen
NAKAMA_019	Huang Long	コウリュウ	黄龙	黃龍	황룡	Huang Long	Huang Long	Huang Long	Huang Long
NAKAMA_020	Futsunushi	フツヌシ	经津主	經津主	후츠누시	Futsunushi	Futsunushi	Futsunushi	Futsunushi
NAKAMA_021	Thor	トール	托尔	托爾	토르	Thor	Thor	Thor	Thor
NAKAMA_022	Kali	カーリー	迦梨	迦梨	칼리	Kali	Kali	Kali	Kali
NAKAMA_023	Titania	ティターニア	缇坦妮雅	蒂妲妮亞	티타니아	Titania	Titania	Titania	Titania
NAKAMA_024	Oberon	オベロン	奥伯隆	奧伯隆	오베론	Oberon	Oberón	Obéron	Oberon
NAKAMA_025	Lilith	リリス	莉莉丝	莉莉絲	릴리스	Lilith	Lilit	Lilith	Lilith
NAKAMA_026	Xuanwu	ゲンブ	玄武	玄武	현무	Xuanwu	Xuanwu	Xuanwu	Xuanwu
NAKAMA_027	Kudlak	クドラク	库德拉克	古德拉克	쿠드라크	Kudlak	Kudlak	Kudlak	Kudlak
NAKAMA_028	Rangda	ランダ	兰达	蘭達	랑다	Rangda	Rangda	Rangda	Rangda
NAKAMA_029	Scathach	スカアハ	斯卡哈	斯卡哈	스카아하	Scathach	Scáthach	Scáthach	Scathach
NAKAMA_030	Qing Long	セイリュウ	青龙	青龍	청룡	Qing Long	Qing Long	Qing Long	Qing Long
NAKAMA_031	Girimekhala	ギリメカラ	基力梅卡拉	基力梅卡拉	기리메칼라	Girimekhala	Girimekhala	Girimekhala	Girimekhala
NAKAMA_032	Barong	バロン	巴隆	巴隆	바롱	Barong	Barong	Barong	Barong
NAKAMA_033	Fafnir	ファフニール	法夫纳	法夫納	파프니르	Fafnir	Fafnir	Fáfnir	Fafnir
NAKAMA_034	Nezha Taizi	ナタタイシ	哪吒太子	哪吒太子	나타태자	Nezha Taizi	Nezha Taizi	Nezha Taizi	Nezha Taizi
NAKAMA_035	Kresnik	クルースニク	克雷斯尼克	克雷斯尼克	크레스니크	Kresnik	Kresnik	Kresnik	Kresnik
