id	en	jp	cn	tw	ko	gr	es	fr	it
RACE_000	--	――	——	――	――	--	--	--	--
RACE_001	Genma	幻魔	幻魔	幻魔	환마	Genma	Genma	Genma	Genma
RACE_002	Avatar	神獣	神兽	神獸	신수	Avatar	Avatar	Avatar	Avatar
RACE_003	Holy	聖獣	圣兽	聖獸	성수	Heilig	Sacro	Légende	Santo
RACE_004	Yoma	妖魔	妖魔	妖魔	요마	Yoma	Yoma	Yoma	Yoma
RACE_005	Fairy	妖精	妖精	妖精	요정	Fee	Hada	Fée	Fata
RACE_006	Beast	魔獣	魔兽	魔獸	마수	Bestie	Bestia	Bête	Bestia
RACE_007	Jirae	地霊	地灵	地靈	지령	Jirae	Jirae	Jirae	Jirae
RACE_008	Night	夜魔	夜魔	夜魔	야마	Nacht	Nocturno	Nocturne	Oscuro
RACE_009	Femme	鬼女	鬼女	鬼女	귀녀	Femme	Fémina	Femme	Megera
RACE_010	Jaki	邪鬼	邪鬼	邪鬼	사귀	Jaki	Jaki	Jaki	Jaki
RACE_011	Rumor	怪異	怪异	怪異	괴이	Rumor	Rumor	Rumeur	Rumor
RACE_012	Wilder	妖獣	妖兽	妖獸	요수	Wilder	Salvaje	Sauvage	Selvaggio
RACE_013	Fallen	堕天使	堕天使	墮天使	타천사	Gefallen	Caído	Déchu	Caduto
RACE_014	Avian	霊鳥	灵鸟	靈鳥	영조	Vogel	Aviar	Oiseau	Aligero
RACE_015	Dragon	龍神	龙神	龍神	용신	Drache	Dragón	Dragon	Drago
RACE_016	Divine	天使	天使	天使	천사	Göttlich	Divino	Divinité	Divino
RACE_017	Snake	龍王	龙王	龍王	용왕	Schlange	Serpiente	Serpent	Ofide
RACE_018	Raptor	凶鳥	凶鸟	凶鳥	흉조	Raptor	Rapaz	Raptor	Rapace
RACE_019	Drake	邪龍	邪龙	邪龍	사룡	Drake	Drake	Drac	Draghetto
RACE_020	Herald	大天使	大天使	大天使	대천사	Herold	Heraldo	Messager	Araldo
RACE_021	Kishin	鬼神	鬼神	鬼神	귀신	Kishin	Kishin	Kishin	Kishin
RACE_022	Vile	邪神	邪神	邪神	악신	Schändlich	Vil	Néfaste	Infame
RACE_023	Tyrant	魔王	魔王	魔王	마왕	Tyrann	Tirano	Tyran	Tiranno
RACE_024	Deity	魔神	魔神	魔神	마신	Gottheit	Deidad	Déité	Nume
RACE_025	Megami	女神	女神	女神	여신	Megami	Megami	Megami	Megami
RACE_026	Fury	破壊神	破坏神	破壞神	파괴신	Zorn	Furia	Furie	Furia
RACE_027	Lady	地母神	地母神	地母神	지모신	Lady	Dama	Dame	Dama
RACE_028	Hero	英雄	英雄	英雄	영웅	Held	Héroe	Héros	Eroe
RACE_029	Reaper	死神	死神	死神	사신	Reaper	Segador	Faucheur	Mietitore
RACE_030	Element	精霊	精灵	精靈	정령	Element	Elemental	Élément	Elementale
RACE_031	Mitama	御魂	御魂	御魂	미타마	Mitama	Mitama	Mitama	Mitama
RACE_032	Cyber	電霊	电灵	電靈	전령	Cyber	Cíber	Cyber	Cyber
RACE_033	Zoma	造魔	造魔	造魔	조마	Zoma	Zoma	Zoma	Zoma
RACE_034	Human	人間	人类	人類	인간	Mensch	Humano	Humain	Umano
RACE_035	Summoner	召喚師	召唤师	召喚師	소환사	Beschwörer	Invocador	Invocateur	Evocatore
RACE_036	??	？？	？？	？？	??	??	??	??	??
RACE_037	ルーン最大	ルーン最大	符文最大	符文最大	룬 최대	Runen-Maximum	Runa Máx	Rune Max	Max rune
