id	en	jp	cn	tw	ko	gr	es	fr	it
ER01_TITLE	Phantom of the Night	ミッドナイト・ファントム	Midnight Phantom	午夜魅影	미드나이트 팬텀	Phantom der Nacht	Fantasma de la noche	Fantôme de minuit	Fantasma di mezzanotte
ER02_TITLE	Girl's Night Out	ロンリーナイト・ガール	Lonely Night Girl	Lonely Night Girl	론리 나이트 걸	Auf und davon	Noche de diversión	Soirée d'une fille solitaire	Ragazza sola nella notte
ER35_TITLE	Night of the Living Snowman	バッド・ナイト	Bad Night	Bad Night	배드 나이트	Schwarzer Schnee	La noche del muñeco de nieve viviente	L'abominable bonhomme de neige	Una brutta nottata
ER03_TITLE	Dark Night Rises	グローリー・ナイトメア	Glory Nightmare	Glory Nightmare	글로리 나이트메어	Glorreiche Finsternis	La noche oscura renace	L'ascension de la nuit noire	L'ascesa della notte oscura
ER04_TITLE	Does Aion Dream of Electric Sheep?	Aionは夢を見るか？	Aion会做梦吗？	Aion也會做夢嗎？	Aion은 꿈을 꾸는가?	Wovon träumt Aion?	¿Sueña Aion con ovejas eléctricas?	Aion rêve-t-il de moutons électriques	Aion sogna pecore elettriche?
ER05_TITLE	Story of Your Love	愚かな愛の物語	盲目之爱的故事	愛你一生的故事	어리석은 사랑 이야기	Die liebe Liebe	La historia de tu amor	L'histoire d'un amour insensé	Una storia di amore folle
ER06_TITLE	Hopes, Dreams, and Aion	Aionと夢を見る	和Aion一起做梦	和Aion一起做夢	Aion과 꿈을 꾸다	Hoffnungen, Träume, Aion	Esperanzas, sueños y Aion	Rêver avec Aion	Speranze, sogni e Aion
ER07_TITLE	Merch Search	捜して変身グッズ	找到变身道具	尋找變身周邊	변신 굿즈를 찾아줘	Spielzeugsuche	Rescate a un juguete	Folie des produits dérivés	Trova il merchandise del supereroe
ER08_TITLE	Raiders of the Lost Gift	失われたプレゼント	失落的礼物	禮物奇兵	잃어버린 선물	Das verlorene Geschenk	En busca del regalo perdido	Les aventuriers du cadeau perdu	I predatori del regalo perduto
ER09_TITLE	Priceless Treasure	たった1つの宝物	独一无二的宝物	唯一的寶物	단 하나뿐인 보물	Unbezahlbarer Schatz	Un tesoro muy preciado	Le seul et unique trésor	Il solo e unico tesoro
ER10_TITLE	A Necklace, A Movie, and Me	ぼくと映画とネックレス	我和电影和项链	我與電影與項鍊	나와 영화와 목걸이	Die Suche nach einer Halskette	Un collar, una peli y yo	Moi, des films et un collier	Io, i film e la collana
ER11_TITLE	An Earring, A Memory, and Me	ぼくと記憶とイヤリング	我和过去和耳环	我與記憶與耳環	나와 기억과 귀걸이	Die Suche nach dem Ohrring	Un pendiente, una anécdota y yo	Moi, souvenirs et boucle d'oreille	Io, i ricordi e l'orecchino
ER12_TITLE	A Brooch, A Fresh Start, and Me	ぼくとブローチと再始動	我和胸针和再起	我與胸針與重啟	나와 브로치와 재시동	Die Suche nach einer Brosche	Un broche, un comienzo nuevo y yo	Moi, une broche et un nouveau départ	Io, un nuovo inizio e la spilla
ER13_TITLE	Money Makes the World Go Round	金は天下の回り物	贫富轮流转	天下貧富無常	돈은 있다가도 없는 것	Geld regiert die Welt	Poderoso caballero es don Dinero	L'argent va et vient	Il denaro va e viene
ER14_TITLE	All's Fair in Love and Commerce	金の切れ目が縁の切れ目	钱断情亦断	沒錢緣也盡	돈뿐인 관계	Alles erlaubt	En el amor y el comercio, todo vale	Tant que l'argent va, tout va	Ori e amori
ER15_TITLE	A Woman of Many Faces	渡る世間に彼女あり	人间自有真情在	莉娜溫情在人間	그녀가 있어 살 만합니다	Eine Frau mit vielen Gesichtern	Una mujer polifacética	Une femme aux multiples visages	Una donna dai mille volti
ER16_TITLE	The Gunsmith	賢銃職人	贤枪工匠	熟槍的專家	무기 장인	Der Waffenschmied	La armera	L'artisane armurière	Armaiolo
ER17_TITLE	Master and Apprentice	獅子相承	狮子相承	獅徒相承	사자상승	Meister und Lehrling	Maestra y aprendiz	De maître à apprentie	Da maestra ad apprendista
ER18_TITLE	Light at the End of the Tunnel	雲外蒼天	云散月明	得過者便化為龍	운외창천	Licht am Ende des Tunnels	La luz al final del túnel	La lumière au-delà des nuages	La luce dietro le nuvole
ER19_TITLE	Mock the Invisible World	VICTOR	VICTOR	VICTOR	VICTOR	Verspotte die unsichtbare Welt	Parodiar el mundo invisible	Transcender l'invisible	Schernisci il Mondo Invisibile
ER20_TITLE	Accursed Creator	INTEREST	INTEREST	INTEREST	INTEREST	Verfluchter Schöpfer	Creador maldito	Créateur maudit	Creatore maledetto
ER21_TITLE	Deepest Mysteries of Creation	CLUE	CLUE	CLUE	CLUE	Tiefste Rätsel der Schöpfung	Enigmas de la creación	Insondables mystères de la création	Misteri più profondi della Creazione
ER22_TITLE	...Scientist	END OF...	END OF……	END OF……	END OF…	... Wissenschaftler	...Científico	Réponse scientifique	... Scienziato
ER23_TITLE	A Christmas Memory	クリスマスの思ひで	圣诞追忆	追憶那次聖誕節	크리스마스의 추억	Last Christmas	Un recuerdo de Navidad	Souvenirs de Noël	Ricordi di Natale
ER24_TITLE	The Heartbreaker	怪しいアイツ	可疑的家伙	那個可疑的傢伙	수상한 그 녀석	Der Herzensbrecher	El rompecorazones	Le bourreau des cœurs	Rubacuori
ER25_TITLE	A Wintry Friend	おねえちゃんのために	为了大姐姐	為了姐姐	언니를 위해	Wintergefährten	Amigas de invierno	Pour ma sœur	Un'amica per l'inverno
ER26_TITLE	A New Hee-Home: Part 1	家を探すホ　一の巻	寻找住处吼　卷一	找個家吼　一之卷	집을 찾자호 제1권	Eine neue Hi-Heimat, Teil 1	Un nuevo-jo hogar	Un nouveau-ho foyer, partie I	In cerca di una casa, oh! - Parte 1
ER27_TITLE	A New Hee-Home: Part 2	家を探すホ　二の巻	寻找住处吼　卷二	找個家吼　二之卷	집을 찾자호 제2권	Eine neue Hi-Heimat, Teil 2	Un nuevo-jo hogar 2	Un nouveau-ho foyer, partie II	In cerca di una casa, oh! - Parte 2
ER28_TITLE	A New Hee-Home: Part 3	家を探すホ　三の巻	寻找住处吼　卷三	找個家吼　三之卷	집을 찾자호 제3권	Eine neue Hi-Heimat, Teil 3	Un nuevo-jo hogar 3	Un nouveau-ho foyer, partie III	In cerca di una casa, oh! - Parte 3
ER29_TITLE	A New Hee-Home: Part 4	家を探すホ　四の巻	寻找住处吼　卷四	找個家吼　四之卷	집을 찾자호 제4권	Eine neue Hi-Heimat, Teil 4	Un nuevo-jo hogar 4	Un nouveau-ho foyer, partie IV	In cerca di una casa, oh! - Parte 4
ER30_TITLE	A New Hee-Home: Part 5	家を探すホ　五の巻	寻找住处吼　卷五	找個家吼　五之卷	집을 찾자호 제5권	Eine neue Hi-Heimat, Teil 5	Un nuevo-jo hogar 5	Un nouveau-ho foyer, partie V	In cerca di una casa, oh! - Parte 5
ER31_TITLE	The Wolf Who Cried Wolf	オホカミ少年	狼神少年	說惡魔來了的狼男孩	늑대 소년	Wer einmal lügt, dem glaubt man nicht	El lobo que gritó lobo	Le loup qui criait au loup	Al lupo! Al lupo!
ER32_TITLE	The Wolf Who Cried Wolf Again	オホカミ少年リターンズ	狼神少年归来	說惡魔來了的狼男孩二部曲	늑대 소년 리턴즈	... wenn er auch die Wahrheit spricht?	El regreso del lobo que gritó lobo	Le loup qui criait au loup revient	Al lupo! Al lupo! - Il ritorno
ER33_TITLE	Vengeance Claimed	復讐するは彼にあり	复仇在他	復仇在他	그에게는 복수뿐	Alte Rechnungen	Venganza cumplida	Vengeance assouvie	Brama di vendetta
ER34_TITLE	Many Birds, One Stone	珍鳥、空を舞う	珍鸟，翱翔天际	鴆鳥振翅高飛	진조, 하늘을 날다	Schräge Vögel	Extraños pájaros en el cielo	Oiseaux de malheur	Tanti piccioni con una fava
ER36_TITLE	Curiosity Shopper	イージー・コレクター	逍遥收藏家	逍遙收藏家	이지 컬렉터	Sammlerstück	Coleccionista para todo	Bon acheteur	Acquirente facile
ER37_TITLE	Mad Dog	アンガー・ドッグ	丧家怒犬	敗犬之怒	앵거 독	Alte Wunden	Perro rabioso	Chien fou	Rabbia e potere
ER38_TITLE	Lady on the Mind	意中の女	心上女人	心中女子	좋아하는 여자	Verlorene Liebesmüh	La carta de amor	Femme idéale	Mai arrendersi
ER39_TITLE	The Little Sister	リトル・シスター	小妹妹	小妹	리틀 시스터	Die kleine Schwester	Hermanita	La petite sœur	La sorella minore
ER40_TITLE	Farewell, My Love	愛しき人にさよならを	再见，爱人	再見，吾愛	사랑스러운 사람에게 이별을	Die kleine Seejungfrau	Adiós al amor	Adieu, mon amour	Addio, amore mio
ER41_TITLE	Requiem for a G	レクイエムを捧ぐ	献上镇魂曲	獻上鎮魂曲	진혼곡을 바치다	Requiem für einen Rapper	Réquiem por un rapero	Réquiem pour un G	Un requiem per te
ER42_TITLE	Close My Eyes and Think of You	瞳を閉じて君を想う	闭上眼睛思念你	輕閉雙眼想起了你	눈을 감고 너를 생각한다	In Gedanken stets bei dir	Cierro los ojos y pienso en ti	Fermer les yeux et penser à toi	Chiudo gli occhi e penso a te
ER43_TITLE	Fatal Countdown	死へのカウントダウン	通向死亡的倒计时	往死亡的倒數計時	죽음의 카운트다운	Tödlicher Countdown	Cuenta atrás letal	Compte à rebours fatal	Conto alla rovescia letale
ER44_TITLE	Vanity, Calamity, Humanity	才・災・差異	才·灾·差异	天才與天災之別	재능, 재앙, 차이	Genie, Manie, Philanthropie	Vanidad, calamidad y humanidad	Vanité, Calamité, Humanité	Vanità, calamità, umanità
ER45_TITLE	Academics Wanted	知識自慢求ム	求招博学者	徵求知識專家	척척박사 구함	Dämonenexperten gesucht	Maestros de lo oculto	Experts recherchés	Cercasi eruditi
ER46_TITLE	Academics Wanted (Again)	再度、知識自慢求ム	再次求招博学者	再次徵求知識專家	척척박사 구함 2	Dämonenexperten gesucht, 2. Runde	Expertos de lo oculto	Experts recherchés (encore)	Cercasi eruditi, di nuovo
ER47_TITLE	Academics Wanted (Yes, Again)	三度、知識自慢求ム	三次求招博学者	三度徵求知識專家	척척박사 구함 3	Dämonenexperten gesucht ... 3. Runde	Catedráticos de lo oculto	Experts recherchés (oui, encore)	Cercasi eruditi, di nuovo, parte 2
ER48_TITLE	That Which Lurks in Shadow	その闇に潜むもの	潜藏黑暗之物	潛伏於黑暗的	어둠에 숨은 것	Was im Dunkeln lauert	Acechando en la oscuridad	Ce qui rôde dans l'ombre	Nell'ombra
ER49_TITLE	That Which Thirsts for Blood	その命を狙うもの	索取性命之物	盯上其性命的	목숨을 노리는 것	Was nach Blut dürstet	Sediento de sangre	La sanguinaire	Sete di sangue
ER50_TITLE	That Which Lies Ahead	その先に待つもの	前方等待之物	在前方等待的	저편에서 기다리는 것	Was vor uns liegt	Amenaza a la espera	L'annoncé	Ciò che verrà
ER51_TITLE	Glory Days	過ぎ去りし栄光	过去的荣耀	逝去的榮耀	지나간 영광	Vergangener Glanz	Días de gloria	Gloire d'antan	Giorni di gloria
ER52_TITLE	Mistiqal Maiden	彼女はマショウの女の子	她是魔晶少女	魔晶少女	그녀는 마성의 여성	Kristallkunde	Una doncella mística	Arcanyx mania	Una ragazza magica
ER91_TITLE	Rumors of a Summoner	ウワサのサマナー	传闻中的召唤师	傳聞中的召喚師	소문의 서머너	Ein Beschwörer geht um	Una historia de invocadores	Invocatrice mystère	L'evocatrice misteriosa
ER92_TITLE	Problem Child	問題児	问题儿童	問題兒童	문제아	Problemkind	Chica problemática	Enfant difficile	Ragazza problematica
ER93_TITLE	Unforgettable	忘れられない人	难以忘怀的人	女孩無法忘懷的人	잊을 수 없는 사람	Unvergessen	Inolvidable	Inoubliable	Indimenticabile
ER94_TITLE	A Girl's Resolve	彼女の決意	她的决心	女孩的決心	그녀의 결의	Fest entschlossen	Una chica decidida	Fille déterminée	Determinazione
ER95_TITLE	Last Stop	終着駅	终点站	女孩的終點站	종착역	Die letzte Station	La última parada	Terminus	L'ultima tappa
ER96_TITLE	Nana's Lonely Heart	ひとりぼっちのナナ	孤零零的七奈	孤獨一人的七奈	외톨이 나나	Nanas einsames Herz	La solitaria Nana	Nana la solitaire	Il cuore solitario di Nana
ER97_TITLE	A Homecoming	帰りたい場所	想回去的地方	想回去的地方	돌아가고 싶은 장소	Heimkehr	Un lugar llamado hogar	Un bon chez-soi	Ritorno a casa
ER81_TITLE	Hachigaya Seido Crackdown	八ヶ谷西堂掃討戦	八谷西堂扫荡战	八谷西堂掃蕩戰	하치가야 서당 소탕전	Aufräumen im Seido von Hachigaya	Problemas en el Seido	Répression d'Hachigaya Seido	Giro di vite al Seido
ER82_TITLE	Hachigaya Hokudo Crackdown	八ヶ谷北堂掃討戦	八谷北堂扫荡战	八谷北堂掃蕩戰	하치가야 북당 소탕전	Aufräumen im Hokudo von Hachigaya	Problemas en el Hokudo	Répression d'Hachigaya Hokudo	Giro di vite all'Hokudo
ER83_TITLE	Tribute and Worship	大神拝謁之探索	大神拜谒之探索	謁見大神之探索	위대한 신 알현 탐색	Audienz mit einem Gott	Ofrendas a los Okami	Offrande et prière de l'Okami	Culti e tributi divini
