id	en
ITEMACSINFO_00	防御力10, リンゴ専用
ITEMACSINFO_01	防御力10, アロウ専用
ITEMACSINFO_02	防御力10, サイゾー専用
ITEMACSINFO_03	防御力11, ミレディ専用
ITEMACSINFO_04	防御力14 
ITEMACSINFO_05	防御力12, STR+4
ITEMACSINFO_06	防御力11, AGI+4
ITEMACSINFO_07	防御力12, MP+30
ITEMACSINFO_08	防御力18
ITEMACSINFO_09	防御力15, INT+5
ITEMACSINFO_10	防御力15
ITEMACSINFO_11	防御力16, 毒･麻痺･畏縮･爆弾になりにくくなる
ITEMACSINFO_12	防御力22
ITEMACSINFO_13	防御力18, STR+7
ITEMACSINFO_14	防御力26
ITEMACSINFO_15	防御力23, HP+150
ITEMACSINFO_16	防御力23, MP+80
ITEMACSINFO_17	防御力25, 睡眠･封印･放心･目標になりにくくなる
ITEMACSINFO_18	防御力25, AGI+5, LUK+5
ITEMACSINFO_19	防御力30
ITEMACSINFO_20	防御力28, STR+7, VIT+8
ITEMACSINFO_21	防御力35
ITEMACSINFO_22	防御力31, INT+7, AGI+8
ITEMACSINFO_23	防御力32, HP+160, MP+80
ITEMACSINFO_24	防御力36, 銃撃属性と衝撃属性に対する回避率が上昇する
ITEMACSINFO_25	防御力40
ITEMACSINFO_26	防御力36, 物理属性と火炎属性に対する回避率が上昇する
ITEMACSINFO_27	防御力37, STR+5, AGI+5, LUK+5
ITEMACSINFO_28	防御力45
ITEMACSINFO_29	防御力42, HP+170, STR+8
ITEMACSINFO_30	防御力41, AGI+12
ITEMACSINFO_31	防御力50
ITEMACSINFO_32	防御力48, INT+8, MP90
ITEMACSINFO_33	防御力47, HP+220
ITEMACSINFO_34	防御力48, 氷結属性と電撃属性と魔力属性に対する回避率が上昇する
ITEMACSINFO_35	防御力54
ITEMACSINFO_36	防御力51, MP+120
ITEMACSINFO_37	防御力53, 全属性に対する回避率が上昇する
ITEMACSINFO_38	防御力61, HP160, INT+12  リンゴ専用
ITEMACSINFO_39	防御力55, VIT+12, LUK+10  アロウ専用
ITEMACSINFO_40	防御力62, STR+12, AGI+10  ミレディ専用
ITEMACSINFO_41	防御力60, MP+180, HP+100  サイゾー専用
ITEMACSINFO_42	防御力55, 全ての状態異常に対する回避率が上昇する
ITEMACSINFO_43	防御力64
ITEMACSINFO_44	防御力68
ITEMACSINFO_45	防御力66, 全能力+9
ITEMACSINFO_46	防御力72
ITEMACSINFO_47	防御力75, STR+10, LUK+10, VIT+10  男性専用
ITEMACSINFO_48	防御力58, MP+75, INT+8, AGI+8  女性専用
ITEMACSINFO_49	防御力80, STR+15, 即死攻撃に対する耐性を得る  リンゴ専用
ITEMACSINFO_50	防御力80, VIT+15, 物理属性に対して中確率で反撃する  アロウ専用
ITEMACSINFO_51	防御力80, INT+15, 行動するたびにMPが一定量回復する  ミレディ専用
ITEMACSINFO_52	防御力80, AGI+15, 最大HPがそこそこ上昇する サイゾー専用
ITEMACSINFO_53	防御力20, VIT+4, AGI+4, サイゾー専用
ITEMACSINFO_54	防御力19, MP+30, INT+4, アロウ専用
ITEMACSINFO_55	防御力33, STR+7, VIT+7, リンゴ専用
ITEMACSINFO_56	防御力30, HP+140, AGI+7, ミレディ専用
ITEMACSINFO_57	防御力27, LUK+8, 毒･麻痺･畏縮･爆弾になりにくくなる
ITEMACSINFO_58	防御力17, LUKとAGIが上昇する
ITEMACSINFO_59	防御力42, INTとVITが上昇する
ITEMACSINFO_60	防御力48, VITとLUKが上昇する
ITEMACSINFO_61	防御力, ｱｸｾｻﾘ説明061
ITEMACSINFO_62	防御力, ｱｸｾｻﾘ説明062
ITEMACSINFO_63	防御力, ｱｸｾｻﾘ説明063
ITEMACSINFO_64	防御力, ｱｸｾｻﾘ説明064
ITEMACSINFO_65	防御力, ｱｸｾｻﾘ説明065
ITEMACSINFO_66	防御力, ｱｸｾｻﾘ説明066
ITEMACSINFO_67	防御力, ｱｸｾｻﾘ説明067
ITEMACSINFO_68	防御力, ｱｸｾｻﾘ説明068
ITEMACSINFO_69	防御力, ｱｸｾｻﾘ説明069
ITEMACSINFO_70	防御力, ｱｸｾｻﾘ説明070
ITEMACSINFO_71	防御力, ｱｸｾｻﾘ説明071
ITEMACSINFO_72	防御力, ｱｸｾｻﾘ説明072
ITEMACSINFO_73	防御力, ｱｸｾｻﾘ説明073
ITEMACSINFO_74	防御力, ｱｸｾｻﾘ説明074
ITEMACSINFO_75	防御力, ｱｸｾｻﾘ説明075
ITEMACSINFO_76	防御力, ｱｸｾｻﾘ説明076
ITEMACSINFO_77	防御力, ｱｸｾｻﾘ説明077
ITEMACSINFO_78	防御力, ｱｸｾｻﾘ説明078
ITEMACSINFO_79	防御力, ｱｸｾｻﾘ説明079
ITEMACSINFO_80	防御力15, 毒にかかりにくくなる
ITEMACSINFO_81	防御力24, MP+60, INT+5
ITEMACSINFO_82	防御力22, LUK+6  リンゴ専用
ITEMACSINFO_83	防御力30, VIT+7, 物理属性に対する回避率が上昇する  アロウ専用
ITEMACSINFO_84	防御力58, INT+6, AGI+6, LUK+6
