id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMCOSNAME_00	Fractal Form	フラクタルシェイプ	分形	分靈型態	프랙털 셰이프	Fraktale Form	Forma fractal	Forme de fractal	Modello frattale
ITEMACSNAME_01	Yasogami Uniform	八十神高校制服	八十神高中校服	八十神高校制服	야소가미 고등학교 교복	Yasogami-Uniform	Uniforme de Yasogami	Uniforme de Yasogami	Uniforme Yasogami
ITEMACSNAME_02	Shujin Uniform	秀尽学園制服	秀尽学园校服	秀盡學園制服	슈진 고등학교 교복	Shujin-Uniform	Uniforme de Shujin	Uniforme de Shujin	Uniforme Shujin
ITEMACSNAME_03	Phantom Suit	ファントムスーツ	幻影装	幻影裝	팬텀 슈트	Phantom-Anzug	Atuendo fantasma	Tenue de fantôme	Abito Fantasma
ITEMACSNAME_04	Nemissa's Outfit	ネミッサの衣装	妮米莎的服装	Nemissa的服裝	네밋사 의상	Nemissas Outfit	Atuendo de Nemissa	Tenue de Nemissa	Completo Nemissa
ITEMACSNAME_05	Raidou's Outfit	ライドウの衣装	雷道的服装	雷道的服裝		Raidous Outfit	Atuendo de Raidou	Tenue de Raidou	Completo Raidou
ITEMACSNAME_06	Samurai Uniform	サムライ制服	武士制服	武士制服	사무라이 제복	Samurai-Uniform	Uniforme de samurái	Tenue de samouraï	Uniforme samurai
ITEMACSNAME_07	Colorless Camisole	モノクロキャミソール	黑白吊带泳装	單色調小可愛	흑백 캐미솔	Geo-Hemdchen	Bañador monocromo	Caraco uni	Costume monocolore
ITEMACSNAME_08	Mary's Maid Frock	メアリ風メイド服	玛丽风女仆装	瑪麗風格的女僕裝	메리의 메이드복	Dienstmädchen-Outfit	Atuendo de sirvienta	Tenue de gouvernante	Completo da maid
ITEMACSNAME_09	衣装9	衣装9	服装9		의상9	衣装9	衣装9	衣装9	衣装9
ITEMACSNAME_10	Horned Devil	ホーンドデビル	犄角恶魔	尖角惡魔	혼드 데빌	Gehörnter Teufel	Diablo cornudo	Diable à corne	Diavolo cornato
ITEMACSNAME_11	Yasogami Uniform	八十神高校制服	八十神高中校服	八十神高校制服	야소가미 고등학교 교복	Yasogami-Uniform	Uniforme de Yasogami	Uniforme de Yasogami	Uniforme Yasogami
ITEMACSNAME_12	Shujin Uniform	秀尽学園制服	秀尽学园校服	秀盡學園制服	슈진 고등학교 교복	Shujin-Uniform	Uniforme de Shujin	Uniforme de Shujin	Uniforme Shujin
ITEMACSNAME_13	Pirate Armor	パイレーツアーマー	海盗护甲	海盜護甲	파이러츠 아머	Piratenrüstung	Armadura pirata	Armure de pirate	Armatura da pirata
ITEMACSNAME_14	Hacker Hero	SH主人公の衣装	SH主角的服装	SH主人公的服裝	SH 주인공 의상	Soul-Hacker-Outfit	Héroe hacker	Tenue de Soul Hacker	Completo Hacker
ITEMACSNAME_15	Raido's Outfit	ライドウの衣装	雷道的服装	雷道的服裝		Raidous Outfit	Atuendo de Raidou	Tenue de Raidou	Completo Raidou
ITEMACSNAME_16	Samurai Uniform	サムライ制服	武士制服	武士制服	사무라이 제복	Samurai-Uniform	Uniforme de samurái	Tenue de samouraï	Uniforme samurai
ITEMACSNAME_17	Surfer Threads	アクティブサーファー	动感冲浪者	積極衝浪者	액티브 서퍼	Surfer-Klamotten	Atuendo surfero	Surfeur en action	Costume da surfista
ITEMACSNAME_18	衣装18	衣装18	服装18		의상18	衣装18	衣装18	衣装18	衣装18
ITEMACSNAME_19	衣装19	衣装19			의상19	衣装19	衣装19	衣装19	衣装19
ITEMACSNAME_20	Belle Époque	ベルエポック	美好年代	美好年代	벨 에포크	Belle Époque	Belle époque	Belle Époque	Belle Époque
ITEMACSNAME_21	Yasogami Uniform	八十神高校制服	八十神高中校服	八十神高校制服	야소가미 고등학교 교복	Yasogami-Uniform	Uniforme de Yasogami	Uniforme de Yasogami	Uniforme Yasogami
ITEMACSNAME_22	Shujin Uniform	秀尽学園制服	秀尽学园校服	秀盡學園制服	슈진 고등학교 교복	Shujin-Uniform	Uniforme de Shujin	Uniforme de Shujin	Uniforme Shujin
ITEMACSNAME_23	Princely Attire	プリンススーツ	王子装	王子裝	프린스 슈트	Prinzenkleidung	Atuendo principesco	Tenue de prince	Abito principe
ITEMACSNAME_24	K. Kuzunoha's Outfit	葛葉キョウジの衣装	葛叶狂司的服装	葛葉狂司的服裝	쿠즈노하 쿄지 의상	K. Kuzunohas Outfit	Traje de K. Kuzunoha	Tenue de Kuzunoha	Completo K. Kuzunoha
ITEMACSNAME_25	Taisho Suit	大正スーツ	大正西服	大正套裝		Taisho-Anzug	Traje antiguo	Costard de Taisho	Abito Taisho
ITEMACSNAME_26	Samurai Uniform	サムライ制服	武士制服	武士制服	사무라이 제복	Samurai-Uniform	Uniforme de samurái	Tenue de samouraï	Uniforme samurai
ITEMACSNAME_27	Urban Flair	アーバンムード	都市心情	都會情調	어반 무드	City-Style	Ropa moderna	Style citadin	Stile urbano
ITEMACSNAME_28	衣装28	衣装28			의상28	衣装28	衣装28	衣装28	衣装28
ITEMACSNAME_29	衣装29	衣装29			의상29	衣装29	衣装29	衣装29	衣装29
ITEMACSNAME_30	Femme Fatale	ファムファタール	致命女郎	命魅紅顏	팜 파탈	Femme Fatale	Mujer fatal	Femme Fatale	Femme fatale
ITEMACSNAME_31	Yasogami Uniform	八十神高校制服	八十神高中校服	八十神高校制服	야소가미 고등학교 교복	Yasogami-Uniform	Uniforme de Yasogami	Uniforme de Yasogami	Uniforme Yasogami
ITEMACSNAME_32	Shujin Uniform	秀尽学園制服	秀尽学园校服	秀盡學園制服	슈진 고등학교 교복	Shujin-Uniform	Uniforme de Shujin	Uniforme de Shujin	Uniforme Shujin
ITEMACSNAME_33	Red Latex	レッドラバースーツ	红色胶皮紧身衣	紅色橡膠緊身衣	레드 러버 슈트	Roter Latexanzug	Látex rojo	Tenue en latex rouge	Abito latex rosso
ITEMACSNAME_34	Detective's Aide	探偵助手の衣装	侦探助手的服装	偵探助手的服裝	탐정 조수 의상	Detektivassistentin	Ayudante de detective	Tenue de détective	Assistente detective
ITEMACSNAME_35	Taisho Suit	大正スーツ	大正西服	大正套裝		Taisho-Anzug	Traje antiguo	Costard de Taisho	Abito Taisho
ITEMACSNAME_36	Samurai Uniform	サムライ制服	武士制服	武士制服	사무라이 제복	Samurai-Uniform	Uniforme de samurái	Tenue de samouraï	Uniforme samurai
ITEMACSNAME_37	Botanical Pareo	ボタニカルパレオ	分体式植物纹泳装	花草圖案沙灘裙泳裝	보태니컬 파레오	Blumenmuster-Pareo	Pareo floreado	Paréo floral	Pareo a fiori
ITEMACSNAME_38	衣装38	衣装38			의상38	衣装38	衣装38	衣装38	衣装38
ITEMACSNAME_39	衣装39	衣装39			의상39	衣装39	衣装39	衣装39	衣装39
ITEMACSNAME_40	衣装40	衣装40			의상40	衣装40	衣装40	衣装40	衣装40
ITEMACSNAME_41	衣装41	衣装41			의상41	衣装41	衣装41	衣装41	衣装41
ITEMACSNAME_42	衣装42	衣装42			의상42	衣装42	衣装42	衣装42	衣装42
ITEMACSNAME_43	衣装43	衣装43			의상43	衣装43	衣装43	衣装43	衣装43
ITEMACSNAME_44	衣装44	衣装44			의상44	衣装44	衣装44	衣装44	衣装44
ITEMACSNAME_45	衣装45	衣装45			의상45	衣装45	衣装45	衣装45	衣装45
ITEMACSNAME_46	衣装46	衣装46			의상46	衣装46	衣装46	衣装46	衣装46
ITEMACSNAME_47	衣装47	衣装47			의상47	衣装47	衣装47	衣装47	衣装47
ITEMACSNAME_48	衣装48	衣装48			의상48	衣装48	衣装48	衣装48	衣装48
ITEMACSNAME_49	衣装49	衣装49			의상49	衣装49	衣装49	衣装49	衣装49
ITEMACSNAME_50	衣装50	衣装50			의상50	衣装50	衣装50	衣装50	衣装50
ITEMACSNAME_51	衣装51	衣装51			의상51	衣装51	衣装51	衣装51	衣装51
ITEMACSNAME_52	衣装52	衣装52			의상52	衣装52	衣装52	衣装52	衣装52
ITEMACSNAME_53	衣装53	衣装53			의상53	衣装53	衣装53	衣装53	衣装53
ITEMACSNAME_54	衣装54	衣装54			의상54	衣装54	衣装54	衣装54	衣装54
ITEMACSNAME_55	衣装55	衣装55			의상55	衣装55	衣装55	衣装55	衣装55
ITEMACSNAME_56	衣装56	衣装56			의상56	衣装56	衣装56	衣装56	衣装56
ITEMACSNAME_57	衣装57	衣装57			의상57	衣装57	衣装57	衣装57	衣装57
ITEMACSNAME_58	衣装58	衣装58			의상58	衣装58	衣装58	衣装58	衣装58
ITEMACSNAME_59	衣装59	衣装59			의상59	衣装59	衣装59	衣装59	衣装59
ITEMACSNAME_60	衣装60	衣装60			의상60	衣装60	衣装60	衣装60	衣装60
ITEMACSNAME_61	衣装61	衣装61			의상61	衣装61	衣装61	衣装61	衣装61
ITEMACSNAME_62	衣装62	衣装62			의상62	衣装62	衣装62	衣装62	衣装62
ITEMACSNAME_63	衣装63	衣装63			의상63	衣装63	衣装63	衣装63	衣装63
ITEMACSNAME_64	衣装64	衣装64			의상64	衣装64	衣装64	衣装64	衣装64
ITEMACSNAME_65	衣装65	衣装65			의상65	衣装65	衣装65	衣装65	衣装65
ITEMACSNAME_66	衣装66	衣装66			의상66	衣装66	衣装66	衣装66	衣装66
ITEMACSNAME_67	衣装67	衣装67			의상67	衣装67	衣装67	衣装67	衣装67
ITEMACSNAME_68	衣装68	衣装68			의상68	衣装68	衣装68	衣装68	衣装68
ITEMACSNAME_69	衣装69	衣装69			의상69	衣装69	衣装69	衣装69	衣装69
ITEMACSNAME_70	衣装70	衣装70			의상70	衣装70	衣装70	衣装70	衣装70
ITEMACSNAME_71	衣装71	衣装71			의상71	衣装71	衣装71	衣装71	衣装71
ITEMACSNAME_72	衣装72	衣装72			의상72	衣装72	衣装72	衣装72	衣装72
ITEMACSNAME_73	衣装73	衣装73			의상73	衣装73	衣装73	衣装73	衣装73
ITEMACSNAME_74	衣装74	衣装74			의상74	衣装74	衣装74	衣装74	衣装74
ITEMACSNAME_75	衣装75	衣装75			의상75	衣装75	衣装75	衣装75	衣装75
ITEMACSNAME_76	衣装76	衣装76			의상76	衣装76	衣装76	衣装76	衣装76
ITEMACSNAME_77	衣装77	衣装77			의상77	衣装77	衣装77	衣装77	衣装77
ITEMACSNAME_78	衣装78	衣装78			의상78	衣装78	衣装78	衣装78	衣装78
ITEMACSNAME_79	衣装79	衣装79			의상79	衣装79	衣装79	衣装79	衣装79
ITEMACSNAME_80	衣装80	衣装80			의상80	衣装80	衣装80	衣装80	衣装80
ITEMACSNAME_81	衣装81	衣装81			의상81	衣装81	衣装81	衣装81	衣装81
ITEMACSNAME_82	衣装82	衣装82			의상82	衣装82	衣装82	衣装82	衣装82
ITEMACSNAME_83	衣装83	衣装83			의상83	衣装83	衣装83	衣装83	衣装83
ITEMACSNAME_84	衣装84	衣装84			의상84	衣装84	衣装84	衣装84	衣装84
ITEMACSNAME_85	衣装85	衣装85			의상85	衣装85	衣装85	衣装85	衣装85
ITEMACSNAME_86	衣装86	衣装86			의상86	衣装86	衣装86	衣装86	衣装86
ITEMACSNAME_87	衣装87	衣装87			의상87	衣装87	衣装87	衣装87	衣装87
ITEMACSNAME_88	衣装88	衣装88			의상88	衣装88	衣装88	衣装88	衣装88
ITEMACSNAME_89	衣装89	衣装89			의상89	衣装89	衣装89	衣装89	衣装89
ITEMACSNAME_90	衣装90	衣装90			의상90	衣装90	衣装90	衣装90	衣装90
ITEMACSNAME_91	衣装91	衣装91			의상91	衣装91	衣装91	衣装91	衣装91
ITEMACSNAME_92	衣装92	衣装92			의상92	衣装92	衣装92	衣装92	衣装92
ITEMACSNAME_93	衣装93	衣装93			의상93	衣装93	衣装93	衣装93	衣装93
ITEMACSNAME_94	衣装94	衣装94			의상94	衣装94	衣装94	衣装94	衣装94
ITEMACSNAME_95	衣装95	衣装95			의상95	衣装95	衣装95	衣装95	衣装95
ITEMACSNAME_96	衣装96	衣装96			의상96	衣装96	衣装96	衣装96	衣装96
ITEMACSNAME_97	衣装97	衣装97			의상97	衣装97	衣装97	衣装97	衣装97
ITEMACSNAME_98	衣装98	衣装98			의상98	衣装98	衣装98	衣装98	衣装98
ITEMACSNAME_99	衣装99	衣装99			의상99	衣装99	衣装99	衣装99	衣装99
