id	en
ITEMMANAINFO_000	ダミー魔晶の説明文 Dummy
ITEMMANAINFO_001	Increases Fire skills' power by 10%
ITEMMANAINFO_002	Increases Fire skills' power by 15%
ITEMMANAINFO_003	Increases Fire skills' power by 20%
ITEMMANAINFO_004	Increases Fire skills' power by 25%
ITEMMANAINFO_005	Increases Fire skills' power by 30%
ITEMMANAINFO_006	Increases Fire skills' power by 35%
ITEMMANAINFO_007	Increases Fire skills' power by 40%
ITEMMANAINFO_008	Increases Fire skills' power by 45%
ITEMMANAINFO_009	Increases Fire skills' power by 50%
ITEMMANAINFO_010	Increases Fire skills' power by 60%
ITEMMANAINFO_011	Increases Fire skills' power by 65%
ITEMMANAINFO_012	Increases Fire skills' power by 70%
ITEMMANAINFO_013	Decreases MP cost of Fire skills by 5%
ITEMMANAINFO_014	Decreases MP cost of Fire skills by 10%
ITEMMANAINFO_015	Decreases MP cost of Fire skills by 15%
ITEMMANAINFO_016	Decreases MP cost of Fire skills by 20%
ITEMMANAINFO_017	Decreases MP cost of Fire skills by 25%
ITEMMANAINFO_018	Decreases MP cost of Fire skills by 30%
ITEMMANAINFO_019	Decreases MP cost of Fire skills by 35%
ITEMMANAINFO_020	Decreases MP cost of Fire skills by 40%
ITEMMANAINFO_021	Decreases MP cost of Fire skills by 50%
ITEMMANAINFO_022	Increases Fire skills' power when striking a weakness by 40%
ITEMMANAINFO_023	Increases Fire skills' power when striking a weakness by 45%
ITEMMANAINFO_024	Increases Fire skills' power when striking a weakness by 60%
ITEMMANAINFO_025	Increases Fire skills' power when striking a weakness by 65%
ITEMMANAINFO_026	Increases Fire skills' power when striking a weakness by 70%
ITEMMANAINFO_027	Increases Fire skills' power when striking a weakness by 75%
ITEMMANAINFO_028	Increases Fire skills' power when striking a weakness by 90%
ITEMMANAINFO_029	Increases Fire skills' power when striking a weakness by 95%
ITEMMANAINFO_030	Increases Fire skills' power when striking a weakness by 100%
ITEMMANAINFO_031	Increases Fire skills' power by 50%, but MP cost increases by 50%
ITEMMANAINFO_032	Increases Fire skills' power by 60%, but MP cost increases by 50%
ITEMMANAINFO_033	Increases Fire skills' power by 80%, but MP cost increases by 50%
ITEMMANAINFO_034	Low chance of Fire skills also inflicting Seal on the enemy
ITEMMANAINFO_035	Chance of Fire skills triggering critical hits against the enemy
ITEMMANAINFO_036	Fire skills ignore enemy's Resist/Null/Drain affinities
ITEMMANAINFO_037	Doubles Stack count added when striking an enemy's Fire weakness
ITEMMANAINFO_038	Increases Ice skills' power by 10%
ITEMMANAINFO_039	Increases Ice skills' power by 15%
ITEMMANAINFO_040	Increases Ice skills' power by 20%
ITEMMANAINFO_041	Increases Ice skills' power by 25%
ITEMMANAINFO_042	Increases Ice skills' power by 30%
ITEMMANAINFO_043	Increases Ice skills' power by 35%
ITEMMANAINFO_044	Increases Ice skills' power by 40%
ITEMMANAINFO_045	Increases Ice skills' power by 45%
ITEMMANAINFO_046	Increases Ice skills' power by 50%
ITEMMANAINFO_047	Increases Ice skills' power by 60%
ITEMMANAINFO_048	Increases Ice skills' power by 65%
ITEMMANAINFO_049	Increases Ice skills' power by 70%
ITEMMANAINFO_050	Decreases MP cost of Ice skills by 5%
ITEMMANAINFO_051	Decreases MP cost of Ice skills by 10%
ITEMMANAINFO_052	Decreases MP cost of Ice skills by 15%
ITEMMANAINFO_053	Decreases MP cost of Ice skills by 20%
ITEMMANAINFO_054	Decreases MP cost of Ice skills by 25%
ITEMMANAINFO_055	Decreases MP cost of Ice skills by 30%
ITEMMANAINFO_056	Decreases MP cost of Ice skills by 35%
ITEMMANAINFO_057	Decreases MP cost of Ice skills by 40%
ITEMMANAINFO_058	Decreases MP cost of Ice skills by 50%
ITEMMANAINFO_059	Increases Ice skills' power when striking a weakness by 40%
ITEMMANAINFO_060	Increases Ice skills' power when striking a weakness by 45%
ITEMMANAINFO_061	Increases Ice skills' power when striking a weakness by 60%
ITEMMANAINFO_062	Increases Ice skills' power when striking a weakness by 65%
ITEMMANAINFO_063	Increases Ice skills' power when striking a weakness by 70%
ITEMMANAINFO_064	Increases Ice skills' power when striking a weakness by 75%
ITEMMANAINFO_065	Increases Ice skills' power when striking a weakness by 90%
ITEMMANAINFO_066	Increases Ice skills' power when striking a weakness by 95%
ITEMMANAINFO_067	Increases Ice skills' power when striking a weakness by 100%
ITEMMANAINFO_068	Increases Ice skills' power by 50%, but MP cost increases by 50%
ITEMMANAINFO_069	Increases Ice skills' power by 60%, but MP cost increases by 50%
ITEMMANAINFO_070	Increases Ice skills' power by 80%, but MP cost increases by 50%
ITEMMANAINFO_071	Low chance of Ice skills also inflicting Sleep on the enemy
