id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMMANANAME_000	ダミー	ダミー	DUMMY	DUMMY	DUMMY	ダミー	ダミー	ダミー	ダミー
ITEMMANANAME_001	Fire Augment I	火炎威力アップⅠ	火焰威力提升Ⅰ	火焰威力提升I	화염 위력 상승I	Feuerstärkung I	Poder fuego I	Effet feu I	Aumento Fuoco 1
ITEMMANANAME_002	Fire Augment II	火炎威力アップⅡ	火焰威力提升Ⅱ	火焰威力提升II	화염 위력 상승II	Feuerstärkung II	Poder fuego II	Effet feu II	Aumento Fuoco 2
ITEMMANANAME_003	Fire Augment III	火炎威力アップⅢ	火焰威力提升Ⅲ	火焰威力提升III	화염 위력 상승III	Feuerstärkung III	Poder fuego III	Effet feu III	Aumento Fuoco 3
ITEMMANANAME_004	Fire Augment IV	火炎威力アップⅣ	火焰威力提升Ⅳ	火焰威力提升IV	화염 위력 상승IV	Feuerstärkung IV	Poder fuego IV	Effet feu IV	Aumento Fuoco 4
ITEMMANANAME_005	Fire Augment V	火炎威力アップⅤ	火焰威力提升Ⅴ	火焰威力提升V	화염 위력 상승V	Feuerstärkung V	Poder fuego V	Effet feu V	Aumento Fuoco 5
ITEMMANANAME_006	Fire Augment VI	火炎威力アップⅥ	火焰威力提升Ⅵ	火焰威力提升VI	화염 위력 상승VI	Feuerstärkung VI	Poder fuego VI	Effet feu VI	Aumento Fuoco 6
ITEMMANANAME_007	Fire Augment VII	火炎威力アップⅦ	火焰威力提升Ⅶ	火焰威力提升VII	화염 위력 상승VII	Feuerstärkung VII	Poder fuego VII	Effet feu VII	Aumento Fuoco 7
ITEMMANANAME_008	Fire Augment VIII	火炎威力アップⅧ	火焰威力提升Ⅷ	火焰威力提升VIII	화염 위력 상승VIII	Feuerstärkung VIII	Poder fuego VIII	Effet feu VIII	Aumento Fuoco 8
ITEMMANANAME_009	Fire Augment IX	火炎威力アップⅨ	火焰威力提升Ⅸ	火焰威力提升IX	화염 위력 상승IX	Feuerstärkung IX	Poder fuego IX	Effet feu IX	Aumento Fuoco 9
ITEMMANANAME_010	Fire Augment X	火炎威力アップⅩ	火焰威力提升Ⅹ	火焰威力提升X	화염 위력 상승X	Feuerstärkung X	Poder fuego X	Effet feu X	Aumento Fuoco 10
ITEMMANANAME_011	Fire Augment XI	火炎威力アップⅪ	火焰威力提升Ⅺ	火焰威力提升XI	화염 위력 상승XI	Feuerstärkung XI	Poder fuego XI	Effet feu XI	Aumento Fuoco 11
ITEMMANANAME_012	Fire Augment XII	火炎威力アップⅫ	火焰威力提升Ⅻ	火焰威力提升XII	화염 위력 상승XII	Feuerstärkung XII	Poder fuego XII	Effet feu XII	Aumento Fuoco 12
ITEMMANANAME_013	Fire Arcana I	火炎MPダウンⅠ	火焰MP消耗降低Ⅰ	火焰MP降低I	화염 MP 감소I	Feuer-Arkana I	Arcana fuego I	Réduction PM feu I	Arcana Fuoco 1
ITEMMANANAME_014	Fire Arcana II	火炎MPダウンⅡ	火焰MP消耗降低Ⅱ	火焰MP降低II	화염 MP 감소II	Feuer-Arkana II	Arcana fuego II	Réduction PM feu II	Arcana Fuoco 2
ITEMMANANAME_015	Fire Arcana III	火炎MPダウンⅢ	火焰MP消耗降低Ⅲ	火焰MP降低III	화염 MP 감소III	Feuer-Arkana III	Arcana fuego III	Réduction PM feu III	Arcana Fuoco 3
ITEMMANANAME_016	Fire Arcana IV	火炎MPダウンⅣ	火焰MP消耗降低Ⅳ	火焰MP降低IV	화염 MP 감소IV	Feuer-Arkana IV	Arcana fuego IV	Réduction PM feu IV	Arcana Fuoco 4
ITEMMANANAME_017	Fire Arcana V	火炎MPダウンⅤ	火焰MP消耗降低Ⅴ	火焰MP降低V	화염 MP 감소V	Feuer-Arkana V	Arcana fuego V	Réduction PM feu V	Arcana Fuoco 5
ITEMMANANAME_018	Fire Arcana VI	火炎MPダウンⅥ	火焰MP消耗降低Ⅵ	火焰MP降低VI	화염 MP 감소VI	Feuer-Arkana VI	Arcana fuego VI	Réduction PM feu VI	Arcana Fuoco 6
ITEMMANANAME_019	Fire Arcana VII	火炎MPダウンⅦ	火焰MP消耗降低Ⅶ	火焰MP降低VII	화염 MP 감소VII	Feuer-Arkana VII	Arcana fuego VII	Réduction PM feu VII	Arcana Fuoco 7
ITEMMANANAME_020	Fire Arcana VIII	火炎MPダウンⅧ	火焰MP消耗降低Ⅷ	火焰MP降低VIII	화염 MP 감소VIII	Feuer-Arkana VIII	Arcana fuego VIII	Réd. PM feu VIII	Arcana Fuoco 8
ITEMMANANAME_021	Fire Arcana IX	火炎MPダウンⅨ	火焰MP消耗降低Ⅸ	火焰MP降低IX	화염 MP 감소IX	Feuer-Arkana IX	Arcana fuego IX	Réduction PM feu IX	Arcana Fuoco 9
ITEMMANANAME_022	Fire Boost I	火炎ブースターⅠ	火焰强化Ⅰ	火焰強化I	화염 부스터I	Feuer-Boost I	Potencia fuego I	Boost feu I	Potenzia Fuoco 1
ITEMMANANAME_023	Fire Boost II	火炎ブースターⅡ	火焰强化Ⅱ	火焰強化II	화염 부스터II	Feuer-Boost II	Potencia fuego II	Boost feu II	Potenzia Fuoco 2
ITEMMANANAME_024	Fire Boost III	火炎ブースターⅢ	火焰强化Ⅲ	火焰強化III	화염 부스터III	Feuer-Boost III	Potencia fuego III	Boost feu III	Potenzia Fuoco 3
ITEMMANANAME_025	Fire Boost IV	火炎ブースターⅣ	火焰强化Ⅳ	火焰強化IV	화염 부스터IV	Feuer-Boost IV	Potencia fuego IV	Boost feu IV	Potenzia Fuoco 4
ITEMMANANAME_026	Fire Boost V	火炎ブースターⅤ	火焰强化Ⅴ	火焰強化V	화염 부스터V	Feuer-Boost V	Potencia fuego V	Boost feu V	Potenzia Fuoco 5
ITEMMANANAME_027	Fire Boost VI	火炎ブースターⅥ	火焰强化Ⅵ	火焰強化VI	화염 부스터VI	Feuer-Boost VI	Potencia fuego VI	Boost feu VI	Potenzia Fuoco 6
ITEMMANANAME_028	Fire Boost VII	火炎ブースターⅦ	火焰强化Ⅶ	火焰強化VII	화염 부스터VII	Feuer-Boost VII	Potencia fuego VII	Boost feu VII	Potenzia Fuoco 7
ITEMMANANAME_029	Fire Boost VIII	火炎ブースターⅧ	火焰强化Ⅷ	火焰強化VIII	화염 부스터VIII	Feuer-Boost VIII	Potencia fuego VIII	Boost feu VIII	Potenzia Fuoco 8
ITEMMANANAME_030	Fire Boost IX	火炎ブースターⅨ	火焰强化Ⅸ	火焰強化IX	화염 부스터IX	Feuer-Boost IX	Potencia fuego IX	Boost feu IX	Potenzia Fuoco 9
ITEMMANANAME_031	Fire Burst I	火炎バーストⅠ	火焰爆发Ⅰ	火焰爆發I	화염 버스트I	Feuerschub I	Explosión fuego I	Élan feu I	Impeto Fuoco 1
