id	en
ITEMMATINFO_000	＜主な入手場所：湾岸倉庫東区画＞物理属性COMPの強化に用いられるレベル1素材
ITEMMATINFO_001	＜主な入手場所：中央地区放棄路線＞物理属性COMPの強化に用いられるレベル2素材
ITEMMATINFO_002	＜主な入手場所：第14号放棄路線＞物理属性COMPの強化に用いられるレベル3素材
ITEMMATINFO_003	＜主な入手場所：緒崎ホープタワー＞物理属性COMPの強化に用いられるレベル4素材
ITEMMATINFO_004	＜主な入手場所：湾岸倉庫西区画＞物理属性COMPの強化に用いられるレベル5素材
ITEMMATINFO_005	＜主な入手場所：24区都庁ビル＞物理属性COMPの強化に用いられるレベル6素材
ITEMMATINFO_006	＜主な入手場所：八ヶ谷錬成場・深部＞物理属性COMPの強化に用いられるレベル7素材
ITEMMATINFO_007	＜主な入手場所：湾岸倉庫東区画＞銃撃属性COMPの強化に用いられるレベル1素材
ITEMMATINFO_008	＜主な入手場所：中央地区放棄路線＞銃撃属性COMPの強化に用いられるレベル2素材
ITEMMATINFO_009	＜主な入手場所：第14号放棄路線＞銃撃属性COMPの強化に用いられるレベル3素材
ITEMMATINFO_010	＜主な入手場所：緒崎ホープタワー＞銃撃属性COMPの強化に用いられるレベル4素材
ITEMMATINFO_011	＜主な入手場所：湾岸倉庫西区画＞銃撃属性COMPの強化に用いられるレベル5素材
ITEMMATINFO_012	＜主な入手場所：24区都庁ビル＞銃撃属性COMPの強化に用いられるレベル6素材
ITEMMATINFO_013	＜主な入手場所：八ヶ谷錬成場・深部＞銃撃属性COMPの強化に用いられるレベル7素材
ITEMMATINFO_014	＜主な入手場所：なし＞COMPの魔晶適性を開放するのに用いられる素材
ITEMMATINFO_015	＜主な入手場所：中央地区放棄路線　もう一カ所設計＞COMPの魔晶適性強化に用いられる低級素材
ITEMMATINFO_016	＜主な入手場所：第14号放棄路線　もう一カ所設計＞COMPの魔晶適性強化に用いられる中級素材
ITEMMATINFO_017	＜主な入手場所：緒崎ホープタワー　もう一カ所設計＞COMPの魔晶適性強化に用いられる上級素材
ITEMMATINFO_018	＜主な入手場所：なし＞COMPの魔晶適性強化に用いられる最上級素材
ITEMMATINFO_019	＜主な入手場所：なし＞コマンダースキルの習得に用いられる素材
ITEMMATINFO_020	＜主な入手場所：なし＞COMPの魔晶装備枠を増やすのに用いられる素材
ITEMMATINFO_021	＜持っている敵：リスキーエネミー全般＞サマナーの能力を強化する香との交換に用いられる素材
ITEMMATINFO_022	＜持っている敵：LV45以上のリスキーエネミー＞サマナーの能力を強化する香との交換に用いられる素材
ITEMMATINFO_023	魔晶との交換に用いられる素材
ITEMMATINFO_024	＜主な入手場所：湾岸倉庫東区画＞＜持っている敵：ドアマース／イナバシロウサギ＞
ITEMMATINFO_025	＜主な入手場所：ソウルマトリクス　アロウエリア1層＞＜持っている敵：オンモラキ＞
ITEMMATINFO_026	＜主な入手場所：ソウルマトリクス　アロウエリア1層＞＜持っている敵：チロンヌプ＞
ITEMMATINFO_027	＜主な入手場所：ソウルマトリクス　アロウエリア1層＞＜持っている敵：モコイ＞
ITEMMATINFO_028	＜主な入手場所：ソウルマトリクス　アロウエリア1層＞＜持っている敵：グレムリン＞
ITEMMATINFO_029	＜主な入手場所：ソウルマトリクス　アロウエリア1層＞＜持っている敵：バイコーン＞
ITEMMATINFO_030	＜主な入手場所：中央地区放棄路線＞＜持っている敵：マーメイド＞
ITEMMATINFO_031	＜主な入手場所：中央地区放棄路線＞＜持っている敵：コロポックル＞
ITEMMATINFO_032	＜主な入手場所：中央地区放棄路線＞＜持っている敵：チョトンダ＞
ITEMMATINFO_033	＜主な入手場所：中央地区放棄路線＞＜持っている敵：マッドガッサー＞
ITEMMATINFO_034	＜主な入手場所：中央地区放棄路線＞＜持っている敵：ジャックフロスト＞
ITEMMATINFO_035	＜主な入手場所：中央地区放棄路線＞＜持っている敵：エンジェル＞
ITEMMATINFO_036	＜主な入手場所：中央地区放棄路線＞＜持っている敵：ハルパス＞
ITEMMATINFO_037	＜主な入手場所：中央地区放棄路線＞＜持っている敵：セイリュウ＞
ITEMMATINFO_038	＜主な入手場所：中央地区放棄路線＞＜持っている敵：マカミ＞
ITEMMATINFO_039	＜主な入手場所：中央地区放棄路線＞＜持っている敵：チン＞
ITEMMATINFO_040	＜主な入手場所：中央地区放棄路線＞＜持っている敵：ザントマン＞
ITEMMATINFO_041	＜主な入手場所：中央地区放棄路線＞＜持っている敵：ホウオウ＞
ITEMMATINFO_042	＜主な入手場所：中央地区放棄路線＞＜持っている敵：コッパテング＞
ITEMMATINFO_043	＜主な入手場所：中央地区放棄路線＞＜持っている敵：ロア＞
ITEMMATINFO_044	＜主な入手場所：中央地区放棄路線＞＜持っている敵：ノズチ＞
ITEMMATINFO_045	＜主な入手場所：中央地区放棄路線＞＜持っている敵：バグス＞
ITEMMATINFO_046	＜主な入手場所：第14号放棄路線＞＜持っている敵：ジャックランタン＞
ITEMMATINFO_047	＜主な入手場所：第14号放棄路線＞＜持っている敵：イヌガミ＞
ITEMMATINFO_048	＜主な入手場所：第14号放棄路線＞＜持っている敵：クラマテング＞
ITEMMATINFO_049	＜主な入手場所：第14号放棄路線＞＜持っている敵：シーサー＞
ITEMMATINFO_050	＜主な入手場所：第14号放棄路線＞＜持っている敵：リャナンシー＞
ITEMMATINFO_051	＜主な入手場所：第14号放棄路線＞＜持っている敵：アンドラス＞
ITEMMATINFO_052	＜主な入手場所：第14号放棄路線＞＜持っている敵：ターボばあちゃん＞
ITEMMATINFO_053	＜主な入手場所：第14号放棄路線＞＜持っている敵：アークエンジェル＞
ITEMMATINFO_054	＜主な入手場所：第14号放棄路線＞＜持っている敵：コダマ＞
ITEMMATINFO_055	＜主な入手場所：第14号放棄路線＞＜持っている敵：リリム＞
ITEMMATINFO_056	＜主な入手場所：第14号放棄路線＞＜持っている敵：ヤタガラス＞
ITEMMATINFO_057	＜主な入手場所：第14号放棄路線＞＜持っている敵：バジリスク＞
ITEMMATINFO_058	＜主な入手場所：第14号放棄路線＞＜持っている敵：モー・ショボー＞
ITEMMATINFO_059	＜主な入手場所：第14号放棄路線＞＜持っている敵：ゲンブ＞
ITEMMATINFO_060	＜主な入手場所：第14号放棄路線＞＜持っている敵：イッポンダタラ＞
ITEMMATINFO_061	＜主な入手場所：湾岸倉庫東区画＞＜持っている敵：ツチグモ＞
