id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMMATNAME_000	Demon Ore	魔鉄鉱	魔铁矿	魔鐵礦	마철광	Dämonenerz	Mineral vil	Fer démonique	Minerale demoniaco
ITEMMATNAME_001	Prime Demon Ore	魔鉄鉱･上	魔铁矿·上	魔鐵礦．上	상급 마철광	Gutes Dämonenerz	Mineral vil superior	Fer démonique (sup.)	Minerale eccellente
ITEMMATNAME_002	True Demon Ore	魔鉄鉱･真	魔铁矿·真	魔鐵礦．真	진 마철광	Echtes Dämonenerz	Mineral vil auténtico	Fer démonique (vér.)	Minerale autentico
ITEMMATNAME_003	Demon Alloy	魔合金	魔合金	魔合金	마합금	Dämonenlegierung	Aleación vil	Aloi démonique	Lega demoniaca
ITEMMATNAME_004	Prime Demon Alloy	魔合金･上	魔合金·上	魔合金．上	상급 마합금	Gute Dämonenlegierung	Aleación vil superior	Aloi démonique (sup.)	Lega eccellente
ITEMMATNAME_005	True Demon Alloy	魔合金･真	魔合金·真	魔合金．真	진 마합금	Echte Dämonenlegierung	Aleación vil auténtica	Aloi démonique (vér.)	Lega autentica
ITEMMATNAME_006	Perfect Demon Alloy	魔合金･極	魔合金·极	魔合金．極	극 마합금	Perfekte Dämonenlegierung	Aleación vil pura	Aloi démonique (ultime)	Lega definitiva
ITEMMATNAME_007	Nitrium	ニトリウム	硝石	鈉硝石	니트리움	Nitrium	Nitrio	Nitrium	Nitrio
ITEMMATNAME_008	Prime Nitrium	ニトリウム･上	硝石·上	鈉硝石．上	상급 니트리움	Gutes Nitrium	Nitrio superior	Nitrium (supérieur)	Nitrio eccellente
ITEMMATNAME_009	True Nitrium	ニトリウム･真	硝石·真	鈉硝石．真	진 니트리움	Echtes Nitrium	Nitrio auténtico	Nitrium (véritable)	Nitrio autentico
ITEMMATNAME_010	Nitrodite	ニトロダイト	硝化合金	硝基礦	니트로다이트	Nitrodit	Nitrodita	Nitrodite	Nitrodite
ITEMMATNAME_011	Prime Nitrodite	ニトロダイト･上	硝化合金·上	硝基礦．上	상급 니트로다이트	Gutes Nitrodit	Nitrodita superior	Nitrodite (supérieur)	Nitrodite eccellente
ITEMMATNAME_012	True Nitrodite	ニトロダイト･真	硝化合金·真	硝基礦．真	진 니트로다이트	Echtes Nitrodit	Nitrodita auténtica	Nitrodite (véritable)	Nitrodite autentica
ITEMMATNAME_013	Perfect Nitrodite	ニトロダイト･極	硝化合金·极	硝基礦．極	극 니트로다이트	Perfektes Nitrodit	Nitrodita pura	Nitrodite (ultime)	Nitrodite definitiva
ITEMMATNAME_014	Unlock Chip	アンロックチップ	解锁芯片	解鎖晶片	언록 칩	Freischalt-Chip	Chip de desbloqueo	Puce de déverrouillage	Sblocca chip
ITEMMATNAME_015	Pirated Chip	海賊版強化チップ	盗版强化芯片	盜版強化晶片	불법 강화칩	Geklauter Chip	Chip de mejora pirata	Puce d'amélio. piratée	Chip piratato
