id	en
ITEMMEALINFO_00	Gain more EXP in battle when your level is lower than your enemy's.
ITEMMEALINFO_01	Allies' HP recovers as you explore a dungeon.
ITEMMEALINFO_02	Makes demon negotiation easier by lowering the rank of the demon's demands.
ITEMMEALINFO_03	Increases HP healing effects for allies in battle.
ITEMMEALINFO_04	Increases critical rate for allies' attacks.
ITEMMEALINFO_05	Allies' HP recovers as you explore a dungeon.
ITEMMEALINFO_06	Gain more EXP in battle when your level is lower than your enemy's.
ITEMMEALINFO_07	Gain more EXP in battle when your level is lower than your enemy's.
ITEMMEALINFO_08	Gain more EXP in battle when your level is lower than your enemy's.
ITEMMEALINFO_09	Allies' MP recovers as you explore a dungeon.
ITEMMEALINFO_10	Items and money are more frequently found during Demon Recon.
ITEMMEALINFO_11	Demon allies heal you more often, and materials are more frequently found during Demon Recon.
ITEMMEALINFO_12	Lowers the chance of being afflicted with any status ailment.
ITEMMEALINFO_13	Increases Bonus Attack damage.
ITEMMEALINFO_14	Allies' MP recovers as you explore a dungeon.
ITEMMEALINFO_15	Allows you to see the resistance of one affinity for an enemy, minus that of a select few enemies.
ITEMMEALINFO_16	Risky Enemies appear more often, and deal less damage for first 3 turns of battle.
ITEMMEALINFO_17	Risky Enemies appear more often, and have weakened defenses for first turn of battle.
ITEMMEALINFO_18	Risky Enemies appear more often, and your Aim/Dodge improves against them for first turn of battle.
ITEMMEALINFO_19	Extends the effects of Map Skills.
ITEMMEALINFO_20	Makes it harder for enemies to detect you while exploring a dungeon.
ITEMMEALINFO_21	Recovers an ally's MP once during battle upon low MP.
ITEMMEALINFO_22	Increases allies' evasion.
ITEMMEALINFO_23	Increases allies' hit rate. Multihit skills will often trigger more hits.
ITEMMEALINFO_24	Makes it easier to scout demons during Demon Recon.
ITEMMEALINFO_25	Strengthens allies' stats after 3 turns of battle have passed from the start of a battle.
ITEMMEALINFO_26	Increases the likelihood of a tandem skill activating during a sabbath.
ITEMMEALINFO_27	Increases EXP gained from battles.
ITEMMEALINFO_28	Increases money earned from battles.
ITEMMEALINFO_29	Increases the chance of encountering a rare enemy while exploring a dungeon.
ITEMMEALINFO_30	Increases allies' MAX HP.
ITEMMEALINFO_31	Increases allies' MAX MP.
ITEMMEALINFO_32	Increases INT. The higher the original INT, the greater the increase.
ITEMMEALINFO_33	食べ物 説明033
ITEMMEALINFO_34	食べ物 説明034
ITEMMEALINFO_35	食べ物 説明035
ITEMMEALINFO_36	食べ物 説明036
ITEMMEALINFO_37	食べ物 説明037
ITEMMEALINFO_38	食べ物 説明038
ITEMMEALINFO_39	食べ物 説明039
ITEMMEALINFO_40	食べ物 説明040
ITEMMEALINFO_41	食べ物 説明041
ITEMMEALINFO_42	食べ物 説明042
ITEMMEALINFO_43	食べ物 説明043
ITEMMEALINFO_44	食べ物 説明044
ITEMMEALINFO_45	食べ物 説明045
ITEMMEALINFO_46	食べ物 説明046
ITEMMEALINFO_47	食べ物 説明047
ITEMMEALINFO_48	食べ物 説明048
ITEMMEALINFO_49	食べ物 説明049
ITEMMEALINFO_50	食べ物 説明050
ITEMMEALINFO_51	食べ物 説明051
ITEMMEALINFO_52	食べ物 説明052
ITEMMEALINFO_53	食べ物 説明053
ITEMMEALINFO_54	食べ物 説明054
ITEMMEALINFO_55	食べ物 説明055
ITEMMEALINFO_56	食べ物 説明056
ITEMMEALINFO_57	食べ物 説明057
ITEMMEALINFO_58	食べ物 説明058
ITEMMEALINFO_59	食べ物 説明059
ITEMMEALINFO_60	食べ物 説明060
ITEMMEALINFO_61	食べ物 説明061
ITEMMEALINFO_62	食べ物 説明062
ITEMMEALINFO_63	食べ物 説明063
ITEMMEALINFO_64	食べ物 説明064
ITEMMEALINFO_65	食べ物 説明065
ITEMMEALINFO_66	食べ物 説明066
ITEMMEALINFO_67	食べ物 説明067
ITEMMEALINFO_68	食べ物 説明068
ITEMMEALINFO_69	食べ物 説明069
ITEMMEALINFO_70	食べ物 説明070
ITEMMEALINFO_71	食べ物 説明071
ITEMMEALINFO_72	食べ物 説明072
ITEMMEALINFO_73	食べ物 説明073
ITEMMEALINFO_74	食べ物 説明074
ITEMMEALINFO_75	食べ物 説明075
ITEMMEALINFO_76	食べ物 説明076
ITEMMEALINFO_77	食べ物 説明077
ITEMMEALINFO_78	食べ物 説明078
ITEMMEALINFO_79	食べ物 説明079
ITEMMEALINFO_80	食べ物 説明080
ITEMMEALINFO_81	食べ物 説明081
ITEMMEALINFO_82	食べ物 説明082
ITEMMEALINFO_83	食べ物 説明083
ITEMMEALINFO_84	食べ物 説明084
ITEMMEALINFO_85	食べ物 説明085
ITEMMEALINFO_86	食べ物 説明086
ITEMMEALINFO_87	食べ物 説明087
ITEMMEALINFO_88	食べ物 説明088
ITEMMEALINFO_89	食べ物 説明089
ITEMMEALINFO_90	食べ物 説明090
ITEMMEALINFO_91	食べ物 説明091
ITEMMEALINFO_92	食べ物 説明092
ITEMMEALINFO_93	食べ物 説明093
ITEMMEALINFO_94	食べ物 説明094
ITEMMEALINFO_95	食べ物 説明095
ITEMMEALINFO_96	食べ物 説明096
ITEMMEALINFO_97	食べ物 説明097
ITEMMEALINFO_98	食べ物 説明098
ITEMMEALINFO_99	食べ物 説明099
