id	en
ITEMUSEINFO_00	ダミー
ITEMUSEINFO_01	Restores 80 HP to 1 ally.
ITEMUSEINFO_02	Restores 200 HP to 1 ally.
ITEMUSEINFO_03	Restores 40 MP to 1 ally.
ITEMUSEINFO_04	Cures Sleep/Seal/Daze/Target for 1 ally.
ITEMUSEINFO_05	Cures Poison/Paralysis/Dread/Bomb for 1 ally.
ITEMUSEINFO_06	Revives 1 ally with a small amount of HP.
ITEMUSEINFO_07	Increases 1 ally's Attack for <tags=''33''g=''1'' type=''Turn'' value=''3''> turns.
ITEMUSEINFO_08	Increases 1 ally's Defense for <tags=''33''g=''1'' type=''Turn'' value=''3''> turns.
ITEMUSEINFO_09	Increases 1 ally’s Aim/Dodge for <tags=''33''g=''1'' type=''Turn'' value=''3''> turns.
ITEMUSEINFO_10	Nullifies buffs on 1 enemy.
ITEMUSEINFO_11	Nullifies debuffs on 1 ally.
ITEMUSEINFO_12	Guarantees the party escape from battles, save for select special encounters.
ITEMUSEINFO_13	Restores 200 HP to all allies.
ITEMUSEINFO_14	Restores 80 MP to all allies.
ITEMUSEINFO_15	Repels 1 Physical attack for 1 ally. Can't coexist with a Magic repel effect.
ITEMUSEINFO_16	Repels 1 non-Almighty Magic attack for 1 ally. Can't coexist with a Physical repel effect. 
ITEMUSEINFO_17	Restores a small amount of HP for 1 ally.
ITEMUSEINFO_18	Fully heals 1 ally.
ITEMUSEINFO_19	Fully heals 1 ally's HP and cures them of all status ailments other than KO.
ITEMUSEINFO_20	Restores a small amount of MP for 1 ally.
ITEMUSEINFO_21	Fully restores MP for 1 ally.
ITEMUSEINFO_22	Revives 1 ally with half HP.
ITEMUSEINFO_23	Revives 1 ally with full HP.
ITEMUSEINFO_24	Fully restores HP for all allies.
ITEMUSEINFO_25	Fully restores MP for all allies.
ITEMUSEINFO_26	Fully restores HP and MP for all allies.
ITEMUSEINFO_27	Cures Sleep/Seal/Daze/Target for all allies.
ITEMUSEINFO_28	Cures Poison/Paralysis/Dread/Bomb for all allies.
ITEMUSEINFO_29	Repels 1 Physical attack for all allies. Can't coexist with a Magic repel effect.
ITEMUSEINFO_30	Repels 1 non-Almighty Magic attack for all allies. Can't coexist with a Physical repel effect. 
ITEMUSEINFO_31	Increases all allies' Attack for <tags=''33''g=''1'' type=''Turn'' value=''3''> turns.
