id	en	jp	cn	tw	ko	gr	es	fr	it
ITEMUSENAME_00	ダミー	ダミー		DUMMY		ダミー	ダミー	ダミー	ダミー
ITEMUSENAME_01	Medicine	傷薬	伤药	傷藥	상처약	Medikament	Medicina	Médicament	Medicina
ITEMUSENAME_02	Natural Ointment	生薬軟膏	生药软膏	天然藥膏	한방 연고	Natursalbe	Ungüento natural	Onguents naturels	Unguenti naturali
ITEMUSENAME_03	Chakra Powder	チャクラパウダー	脉轮干粉	脈輪乾粉	차크라 파우더	Chakra-Pulver	Polvo de chakra	Poudre Chakra	Polvere di chakra
ITEMUSENAME_04	Patra Water	パトラ水	帕特拉水	帕特拉水	파트라수	Patra-Wasser	Agua Patra	Eau de Patra	Acqua di Patra
ITEMUSENAME_05	Lourdes Water	ルルド水	卢尔德水	盧爾德水	루르드수	Lourdes-Wasser	Agua de Lurdes	Eau de Lourdes	Acqua di Lourdes
ITEMUSENAME_06	Recarm Cigarette	リカームシガレット	利卡姆卷烟	利卡姆菸	리캄 시거렛	Recarm-Zigarette	Cigarrillo Recarm	Cigarette Recarm	Sigaretta Recarm
ITEMUSENAME_07	Tarukaja Jelly	タル･カジャゼリー	塔尔·卡加果冻	塔爾．卡加果凍	타루카쟈 젤리	Tarukaja-Gelee	Gelatina Tarukaja	Gelée de Tarukaja	Gelatina Tarukaja
ITEMUSENAME_08	Rakukaja Jelly	ラク･カジャゼリー	拉库·卡加果冻	拉庫．卡加果凍	라쿠카쟈 젤리	Rakukaja-Gelee	Gelatina Rakukaja	Gelée de Rakukaja	Gelatina Rakukaja
ITEMUSENAME_09	Sukukaja Jelly	スク･カジャゼリー	斯库·卡加果冻	斯庫．卡加果凍	스쿠카쟈 젤리	Sukukaja-Gelee	Gelatina Sukukaja	Gelée de Sukukaja	Gelatina Sukukaja
ITEMUSENAME_10	Dekaja Mist	デ･カジャミスト	迪·卡加喷雾	迪．卡加果凍	데카쟈 미스트	Dekaja-Spray	Bruma Dekaja	Brume de Dekaja	Spray Dekaja
ITEMUSENAME_11	Dekunda Mist	デ･クンダミスト	迪·坤达喷雾	迪．坤達果凍	데쿤다 미스트	Dekunda-Spray	Bruma Dekunda	Brume de Dekunda	Spray Dekunda
ITEMUSENAME_12	Trafuri Bomb	トラフーリボム	特拉芙里炸弹	特拉芙里炸彈	트라프리 봄	Trafuri-Bombe	Bomba Trafuri	Bombe Trafuri	Bomba Trafuri
ITEMUSENAME_13	Herb Sake	ハーブ酒	香草酒	香草酒	허브주	Kräuter-Sake	Sake de hierbas	Saké herbal	Sake alle erbe
ITEMUSENAME_14	Magical Bottle	魔法ビン	保温瓶	魔法瓶	마법병	Magische Flasche	Botella mágica	Bouteille magique	Bottiglia magica
ITEMUSENAME_15	Repel Sticker	反射ステッカー	反弹贴纸	反彈貼紙	반사 스티커	Spiegelnder Sticker	Pegatina repelente	Étiquette de renvoi	Adesivo riflettente
ITEMUSENAME_16	Penguin Doll	ペンギン人形	企鹅玩偶	企鵝人偶	펭귄 인형	Pinguinfigur	Muñeco de pingüino	Poupée pingouin	Pinguino
ITEMUSENAME_17	Life Stone	魔石	魔石	魔石	마석	Lebensstein	Piedra vital	Pierre de vie	Pietra vitale
ITEMUSENAME_18	Bead	宝玉	宝玉	寶玉	보옥	Heilperle	Abalorio	Perle	Perlina
ITEMUSENAME_19	Soma	ソーマ	苏摩	蘇摩	소마	Soma	Soma	Soma	Soma
ITEMUSENAME_20	Chakra Drop	チャクラドロップ	脉轮露	脈輪露	차크라 드롭	Chakra-Tropfen	Gota de chakra	Goutte Chakra	Goccia di chakra
ITEMUSENAME_21	Chakra Pot	チャクラポット	脉轮壶	脈輪壺	차크라 포트	Chakra-Topf	Bote de chakra	Fiole Chakra	Giara di chakra
ITEMUSENAME_22	Revival Bead	地返しの玉	返地玉	返地玉	소생의 구슬	Auferstehungsperle	Abal. resurreción	Perle de renaissance	Perlina rigenerante
ITEMUSENAME_23	Balm of Life	反魂香	返魂香	返魂香	반혼향	Lebensbalsam	Bálsamo de vida	Baume de vie	Balsamo vitale
ITEMUSENAME_24	Bead Chain	宝玉輪	宝玉环	寶玉環	보옥륜	Heilperlenkette	Cadena de abalorios	Chaîne de perles	Catena di perline
ITEMUSENAME_25	グレイトチャクラ	グレイトチャクラ	宏伟脉轮	宏偉脈輪	그레이트 차크라	グレイトチャクラ	グレイトチャクラ	グレイトチャクラ	グレイトチャクラ
ITEMUSENAME_26	生玉	生玉	生玉	生玉	생옥	生玉	生玉	生玉	生玉
ITEMUSENAME_27	Me Patra Ball	メ･パトラ珠	梅·帕特拉珠	梅．帕特拉珠	메파트라 보주	Me-Patra-Perle	Perla Me Patra	Boule Me Patra	Perla Me Patra
ITEMUSENAME_28	Me Lourdes Ball	メ･ルルド珠	梅·卢尔德珠	梅．盧爾德珠	메루르드 보주	Me-Lourdes-Perle	Perla Me Lurdes	Boule Me Lourdes	Perla Me Lourdes
