id	en
SKILLINFO_DUM_000	ｺﾏﾝﾄﾞﾀﾞﾐｰの説明
SKILLINFO_COM_000	Weak Fire damage to 1 enemy.
SKILLINFO_COM_001	Medium Fire damage to 1 enemy.
SKILLINFO_COM_002	Heavy Fire damage to 1 enemy.
SKILLINFO_COM_003	Weak Fire damage to all enemies.
SKILLINFO_COM_004	Medium Fire damage to all enemies.
SKILLINFO_COM_005	Heavy Fire damage to all enemies.
SKILLINFO_COM_006	2-4 weak bursts of Fire damage to multiple enemies.
SKILLINFO_COM_007	2-4 medium bursts of Fire damage to multiple enemies.
SKILLINFO_COM_008	4 medium bursts of Fire damage to multiple enemies.
SKILLINFO_COM_009	火炎枠スキルの説明文
SKILLINFO_COM_010	Weak Ice damage to 1 enemy.
SKILLINFO_COM_011	Medium Ice damage to 1 enemy.
SKILLINFO_COM_012	Heavy Ice damage to 1 enemy.
SKILLINFO_COM_013	Weak Ice damage to all enemies.
SKILLINFO_COM_014	Medium Ice damage to all enemies.
SKILLINFO_COM_015	Heavy Ice damage to all enemies.
SKILLINFO_COM_016	2-4 weak bursts of Ice damage to multiple enemies.
SKILLINFO_COM_017	2-4 medium bursts of Ice damage to multiple enemies.
SKILLINFO_COM_018	氷結枠の説明文
SKILLINFO_COM_019	氷結枠の説明文
SKILLINFO_COM_020	Weak Electricity damage to 1 enemy.
SKILLINFO_COM_021	Medium Electricity damage to 1 enemy.
SKILLINFO_COM_022	Heavy Electricity damage to 1 enemy.
SKILLINFO_COM_023	Weak Electricity damage to all enemies.
SKILLINFO_COM_024	Medium Electricity damage to all enemies.
SKILLINFO_COM_025	Heavy Electricity damage to all enemies.
SKILLINFO_COM_026	2-4 weak bursts of Electricity damage to multiple enemies.
SKILLINFO_COM_027	2-4 medium bursts of Electricity damage to multiple enemies.
SKILLINFO_COM_028	電撃枠の説明文
SKILLINFO_COM_029	電撃枠の説明文
SKILLINFO_COM_030	Weak Force damage to 1 enemy.
SKILLINFO_COM_031	Medium Force damage to 1 enemy.
SKILLINFO_COM_032	Heavy Force damage to 1 enemy.
SKILLINFO_COM_033	Weak Force damage to all enemies.
SKILLINFO_COM_034	Medium Force damage to all enemies.
SKILLINFO_COM_035	Heavy Force damage to all enemies.
SKILLINFO_COM_036	2-4 weak bursts of Force damage to multiple enemies.
SKILLINFO_COM_037	2-4 medium bursts of Force damage to multiple enemies.
SKILLINFO_COM_038	衝撃枠の説明文
SKILLINFO_COM_039	衝撃枠の説明文
SKILLINFO_COM_040	Weak Almighty damage to 1 enemy. Drains target's HP.
SKILLINFO_COM_041	Medium Almighty damage to 1 enemy. Drains target's HP.
SKILLINFO_COM_042	Weak Almighty damage to all enemies.
SKILLINFO_COM_043	Medium Almighty damage to all enemies.
SKILLINFO_COM_044	Heavy Almighty damage to all enemies.
SKILLINFO_COM_045	Drains MP from 1 enemy. Almighty affinity.
SKILLINFO_COM_046	万能枠の説明文
SKILLINFO_COM_047	万能枠の説明文
SKILLINFO_COM_048	万能枠の説明文
SKILLINFO_COM_049	万能枠の説明文
SKILLINFO_COM_050	Weak Physical damage to 1 enemy.
SKILLINFO_COM_051	Medium Physical damage to 1 enemy.
SKILLINFO_COM_052	Heavy Physical damage to 1 enemy.
SKILLINFO_COM_053	Weak Physical damage to all enemies.
SKILLINFO_COM_054	Medium Physical damage to all enemies.
SKILLINFO_COM_055	Heavy Physical damage to all enemies.
SKILLINFO_COM_056	2-4 weak bursts of Physical damage to multiple enemies.
SKILLINFO_COM_057	2-4 medium bursts of Physical damage to multiple enemies.
SKILLINFO_COM_058	4 heavy bursts of Physical damage to multiple enemies.
SKILLINFO_COM_059	Weak Physical damage to 1 enemy. Lowers target's Defense.
SKILLINFO_COM_060	Deals Physical damage to 1 enemy with power based on user's current HP, then drops user's HP to 1.
SKILLINFO_COM_061	Weak Physical damage to 1 enemy. Drains target's HP.
SKILLINFO_COM_062	Medium Physical damage to 1 enemy. Lowers target's Aim/Dodge.
SKILLINFO_COM_063	Weak Physical damage to all enemies. Medium chance of inflicting Poison.
SKILLINFO_COM_064	2 hits of weak Physical damage to 1 enemy.
SKILLINFO_COM_065	Heavy Physical damage to 1 enemy. Boosted with higher Stack count.
SKILLINFO_COM_066	Weak Physical damage to 1 enemy. Lowers target's Attack.
SKILLINFO_COM_067	Weak Physical damage to 1 enemy. High Critical Rate, but low Hit Rate.
SKILLINFO_COM_068	Medium Physical damage to 1 enemy. If it's a killing blow, adds 1 to the Stack.
SKILLINFO_COM_069	Medium Physical damage to 1 enemy. High chance of inflicting Faint.
SKILLINFO_COM_070	Medium Physical damage to all enemies. Lowers targets' Aim/Dodge.
SKILLINFO_COM_071	Heavy Physical damage to all enemies.
SKILLINFO_COM_072	Heavy Physical damage to all enemies.
SKILLINFO_COM_073	物理枠の説明文
SKILLINFO_COM_074	物理枠の説明文
SKILLINFO_COM_075	物理枠の説明文
SKILLINFO_COM_076	物理枠の説明文
SKILLINFO_COM_077	物理枠の説明文
SKILLINFO_COM_078	物理枠の説明文
SKILLINFO_COM_079	物理枠の説明文
SKILLINFO_COM_080	Weak Gunfire damage to 1 enemy. High Critical Rate.
SKILLINFO_COM_081	Medium Gunfire damage to 1 enemy.
SKILLINFO_COM_082	Heavy Gunfire damage to 1 enemy.
