id	en	jp	cn	tw	ko	gr	es	fr	it
NAME_000	ダミー	ダミー	DUMMY	DUMMY	DUMMY	ダミー	ダミー	ダミー	ダミー
NAME_001	Stock Expansion I	ストック枠拡張Ⅰ	仲魔存储扩张Ⅰ	擴張Stock數I	스톡 슬롯 확장I	Platzerweiterung I	Amp. repertorio I	Expansion I	Riserva extra 1
NAME_002	Stock Expansion II	ストック枠拡張Ⅱ	仲魔存储扩张Ⅱ	擴張Stock數II	스톡 슬롯 확장II	Platzerweiterung II	Amp. repertorio II	Expansion II	Riserva extra 2
NAME_003	Stock Expansion III	ストック枠拡張Ⅲ	仲魔存储扩张Ⅲ	擴張Stock數III	스톡 슬롯 확장III	Platzerweiterung III	Amp. repertorio III	Expansion III	Riserva extra 3
NAME_004	Conversion	コンバート	转换	轉換	컨버트	Umwandeln	Conversión	Conversion	Conversione
NAME_005	Master Conversion	マスターコンバート	广域转换	主控轉換	마스터 컨버트	Meister-Umwandeln	Conversión maestra	Conversion maître	Conversione totale
NAME_006	Damage Condenser	ダメージ圧縮	伤害压缩	傷害壓縮	대미지 압축	Schadenslenkung	Acumulador de daño	Compression	Danni condensati
NAME_007	Shield Deployment	プロテクト展開	防护展开	防護啟動	프로텍트 전개	Schutzschild	Maniobra protectora	Protection	Assetto difensivo
NAME_008	Overclock	クロックアップ	高速化	時脈提升	클록 업	Übertakten	Sobreaceleración	Surrégime	Overclocking
NAME_009	Stack Optimization	スタック最適化	堆叠优化	Stack最佳化	스택 최적화	Kombo-Optimierung	Optimizar combo	Optimisation combo	Ottimizza combo
NAME_010	MP Optimization	MP最適化	MP优化	MP最佳化	MP 최적화	MP-Optimierung	Optimizar PM	Optimisation des PM	Ottimizzazione PM
NAME_011	Auto-Repair	リカバリー	复原	還原	리커버리	Autom. Erneuerung	Autorreparación	Réparation auto	Recupero
NAME_012	Ailment Purge	異常摘出	异常摘除	排除異常	이상 적출	Statuseff.-Läuterung	Purga de alteración	Purge d'altération	Purifica alterazione
NAME_013	Turn Extension	ターン拡張	回合扩张	回合延伸	턴 확장	Zugverlängerung	Ampliar turno	Extension de tour	Estensione supporto
NAME_014	Reboot	リブート	重启	重新啟動	리부트	Neustart	Reinicio	Redémarrage	Riavvio
NAME_015	Demon EXP I	仲魔経験値アップⅠ	仲魔经验值提升Ⅰ	仲魔經驗值提升I	동료악마 경험치 업I	Dämonen-ERF I	EXP demoníaca I	EXP démon + I	ESP demoni 1
NAME_016	Demon EXP II	仲魔経験値アップⅡ	仲魔经验值提升Ⅱ	仲魔經驗值提升II	동료악마 경험치 업II	Dämonen-ERF II	EXP demoníaca II	EXP démon + II	ESP demoni 2
NAME_017	Demon EXP III	仲魔経験値アップⅢ	仲魔经验值提升Ⅲ	仲魔經驗值提升III	동료악마 경험치 업III	Dämonen-ERF III	EXP demoníaca III	EXP démon + III	ESP demoni 3
NAME_101	ATK+3	攻撃力+3	攻击力+3	攻擊力+3	공격력+3	ANG+3	ATQ+3	ATQ+3	ATT +3
NAME_102	ATK+4	攻撃力+4	攻击力+4	攻擊力+4	공격력+4	ANG+4	ATQ+4	ATQ+4	ATT +4
NAME_103	ATK+4	攻撃力+4	攻击力+4	攻擊力+4	공격력+4	ANG+4	ATQ+4	ATQ+4	ATT +4
NAME_104	ATK+5	攻撃力+5	攻击力+5	攻擊力+5	공격력+5	ANG+5	ATQ+5	ATQ+5	ATT +5
NAME_105	ATK+5	攻撃力+5	攻击力+5	攻擊力+5	공격력+5	ANG+5	ATQ+5	ATQ+5	ATT +5
NAME_106	ATK+5	攻撃力+5	攻击力+5	攻擊力+5	공격력+5	ANG+5	ATQ+5	ATQ+5	ATT +5
NAME_107	ATK+5	攻撃力+5	攻击力+5	攻擊力+5	공격력+5	ANG+5	ATQ+5	ATQ+5	ATT +5
NAME_108	ATK+6	攻撃力+6	攻击力+6	攻擊力+6	공격력+6	ANG+6	ATQ+6	ATQ+6	ATT +6
NAME_109	ATK+6	攻撃力+6	攻击力+6	攻擊力+6	공격력+6	ANG+6	ATQ+6	ATQ+6	ATT +6
NAME_110	ATK+6	攻撃力+6	攻击力+6	攻擊力+6	공격력+6	ANG+6	ATQ+6	ATQ+6	ATT +6
NAME_111	ATK+6	攻撃力+6	攻击力+6	攻擊力+6	공격력+6	ANG+6	ATQ+6	ATQ+6	ATT +6
NAME_112	ATK+7	攻撃力+7	攻击力+7	攻擊力+7	공격력+7	ANG+7	ATQ+7	ATQ+7	ATT +7
NAME_113	ATK+7	攻撃力+7	攻击力+7	攻擊力+7	공격력+7	ANG+7	ATQ+7	ATQ+7	ATT +7
NAME_114	ATK+7	攻撃力+7	攻击力+7	攻擊力+7	공격력+7	ANG+7	ATQ+7	ATQ+7	ATT +7
NAME_115	ATK+7	攻撃力+7	攻击力+7	攻擊力+7	공격력+7	ANG+7	ATQ+7	ATQ+7	ATT +7
NAME_116	ATK+7	攻撃力+7	攻击力+7	攻擊力+7	공격력+7	ANG+7	ATQ+7	ATQ+7	ATT +7
NAME_117	Mistique Slot Install	魔晶スロット増設	魔晶槽增设	增設魔晶插槽	마정 슬롯 증설	Arkristall-Steckplatz	Instalar expansión	Installation d'Arc.	Monta slot Magicrist.
NAME_118	Extra Mistique Slot I	魔晶スロット拡張Ⅰ	魔晶槽扩张Ⅰ	擴張魔晶插槽I	마정 슬롯 확장I	Arkristall-Slot I	Expansión myst. I	Ext d'Arcanyx I	Extra Magicrist. 1
NAME_119	Extra Mistique Slot II	魔晶スロット拡張Ⅱ	魔晶槽扩张Ⅱ	擴張魔晶插槽II	마정 슬롯 확장II	Arkristall-Slot II	Expansión myst. II	Ext d'Arcanyx II	Extra Magicrist. 2
