m_DropID	m_JudgeNum	m_FixItem00	m_FixNum00	m_FixItem01	m_FixNum01	m_FixItem02	m_FixNum02	m_FixItem03	m_FixNum03	m_FixExp	m_DropItem00	m_DropPer00	m_StealFlag00	m_DropItem01	m_DropPer01	m_StealFlag01	m_DropItem02	m_DropPer02	m_StealFlag02	m_DropItem03	m_DropPer03	m_StealFlag03	m_DropItem04	m_DropPer04	m_StealFlag04	m_DropItem05	m_DropPer05	m_StealFlag05	m_DropItem06	m_DropPer06	m_StealFlag06	m_DropItem07	m_DropPer07	m_StealFlag07	m_DropItem08	m_DropPer08	m_StealFlag08	m_DropItem09	m_DropPer09	m_StealFlag09
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	105	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	106	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	1	0	0	0	0	0	0	0	0	0	102	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	1	0	0	0	0	0	0	0	0	0	102	15	0	1125	40	0	113	15	0	1101	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	1	0	0	0	0	0	0	0	0	0	102	15	0	1162	45	0	118	10	0	1108	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1	0	0	0	0	0	0	0	0	0	102	7	0	118	5	0	106	2	0	113	2	0	105	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	1	1101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	1	0	0	0	0	0	0	0	0	0	102	7	0	118	5	0	106	2	0	113	2	0	105	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	1	0	0	0	0	0	0	0	0	0	102	7	0	118	5	0	123	5	0	106	2	0	105	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	1	0	0	0	0	0	0	0	0	0	118	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	1	1162	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1103	1	1125	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1104	1	1130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	1	1108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1106	1	1101	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	1	0	0	0	0	0	0	0	0	0	102	8	0	118	7	0	105	2	0	106	2	0	113	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	1	0	0	0	0	0	0	0	0	0	102	8	0	118	5	0	105	2	0	105	3	0	113	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	1	0	0	0	0	0	0	0	0	0	118	10	0	123	7	0	105	2	0	105	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	1	0	0	0	0	0	0	0	0	0	1122	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	1	177	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	1	0	0	0	0	0	0	0	0	0	102	15	0	1125	35	0	106	15	0	1101	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	1	0	0	0	0	0	0	0	0	0	118	20	0	1126	45	0	1108	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	1	0	0	0	0	0	0	0	0	0	110	25	0	1127	60	0	113	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209	1	0	0	0	0	0	0	0	0	0	118	25	0	1128	40	0	106	15	0	106	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	1	0	0	0	0	0	0	0	0	0	1129	40	0	1101	20	0	1108	15	0	123	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
211	1	0	0	0	0	0	0	0	0	0	118	15	0	1130	45	0	132	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	1	0	0	0	0	0	0	0	0	0	102	7	0	118	5	0	105	2	0	121	3	0	106	3	0	113	3	0	0	0	0	0	0	0	0	0	0	0	0	0
213	1	0	0	0	0	0	0	0	0	0	118	10	0	105	2	0	121	3	0	106	3	0	123	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1201	1	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	1	1219	1	1120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1203	1	1127	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1204	1	1126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1205	1	1120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	1	1116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	1	1129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1301	1	168	1	1251	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1302	1	1120	1	1146	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
