m_EnemyID	m_CharaID	m_NkmID	m_NameLabel	m_WeaponRID	m_WeaponLID	m_ModelScale	m_EffectScale	m_AiID	m_Level	m_EnemyBaseHp	m_EnemyBaseMp	m_EnemyBaseStr	m_EnemyBaseInt	m_EnemyBaseVit	m_EnemyBaseAgi	m_EnemyBaseLuk	m_Rune	m_GunAttr	m_GunParam	m_PhysicalAttr	m_PhysicalParam	m_FireAttr	m_FireParam	m_IceAttr	m_IceParam	m_ThunderAttr	m_ThunderParam	m_ZanAttr	m_ZanParam	m_BstAttr	m_BstParam	m_BannouAttr	m_BannouParam	m_NormalAttackID	m_Exp	m_Money	m_BulletExp	m_Drop	m_Sexuality	m_Speciality	m_CmpFlag_RegistLibrary	m_BtlFlag_NoPursuit	m_BtlFlag_NoInterrupt	m_BtlFlag_KneeDead	m_BtlFlag_NoDying	m_BtlFlag_StuckDead	m_BtlFlag_LastStand	m_BtlFlag_HideLevel	m_ActCount	m_DevilTone	m_DevilVoice	m_SaveDataID	m_IsMatEmissionColor	m_MatEmissionColorR	m_MatEmissionColorG	m_MatEmissionColorB	m_MatEmissionColorA
0	0	0	None	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3001	9001	1	NAKAMA_001	0	0	0.8	0.7	1	16	155	100	18	28	20	27	20	30	4	100	4	100	5	150	0	100	4	100	4	100	3	50	4	100	3000	68	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3002	9002	2	NAKAMA_002	0	0	0.8	0.7	1	9	122	75	10	21	15	16	21	30	4	100	4	100	5	150	0	100	4	100	2	0	4	100	4	100	3000	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3003	9003	3	NAKAMA_003	0	0	0.8	0.7	1	21	225	105	25	28	35	23	30	30	4	100	4	100	5	150	0	100	2	0	4	100	4	100	4	100	3000	113	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3004	9004	4	NAKAMA_004	0	0	0.8	0.7	1	26	274	120	40	21	37	32	28	30	4	100	4	100	5	150	0	100	2	0	4	100	4	100	4	100	3000	168	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3005	9005	5	NAKAMA_005	0	0	0.8	0.7	1	31	296	115	23	44	40	43	40	30	5	150	5	150	2	0	0	100	4	100	4	100	4	100	4	100	3000	235	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3006	9006	6	NAKAMA_006	0	0	1	1	1	33	306	100	1	1	1	1	1	31	4	100	4	100	3	50	4	100	4	100	5	150	4	100	4	100	3000	265	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	27	0	0	0	0	0	0
3007	9007	7	NAKAMA_007	0	0	1	1	1	38	305	121	1	1	1	1	1	31	4	100	4	100	4	100	3	50	5	150	4	100	4	100	4	100	3000	347	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	27	0	0	0	0	0	0
3008	9008	8	NAKAMA_008	0	0	1	1	1	41	450	225	1	1	1	1	1	31	4	100	4	100	5	150	4	100	4	100	3	50	4	100	4	100	3000	402	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	27	0	0	0	0	0	0
3009	9009	9	NAKAMA_009	0	0	1	1	1	46	470	235	1	1	1	1	1	31	4	100	4	100	4	100	5	150	3	50	4	100	4	100	4	100	3000	502	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	27	0	0	0	0	0	0
3010	9014	10	NAKAMA_010	0	0	1	1	1	62	721	375	1	1	1	1	1	28	5	150	2	0	3	50	3	50	3	50	3	50	4	100	4	100	3000	896	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0
3011	9023	11	NAKAMA_011	0	0	1.2	1	1	85	890	430	1	1	1	1	1	26	4	100	0	100	0	100	4	100	0	100	4	100	4	100	4	100	3000	1663	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0
3012	9027	12	NAKAMA_012	0	0	1	1.2	1	50	680	330	1	1	1	1	1	20	5	150	4	100	3	50	4	100	4	100	2	0	3	50	4	100	3001	590	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0
3013	9031	13	NAKAMA_013	0	0	1	1	1	17	180	102	12	39	22	25	25	25	4	100	4	100	5	150	3	50	4	100	3	50	5	150	4	100	3000	76	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	0
3014	9035	14	NAKAMA_014	0	0	1	1	1	54	710	345	1	1	1	1	1	23	4	100	4	100	5	150	3	50	3	50	0	100	4	100	4	100	3000	685	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
3015	9036	15	NAKAMA_015	0	0	1	1	1	86	860	460	1	1	1	1	1	25	1	100	5	150	4	100	4	100	4	100	1	100	4	100	4	100	3000	1702	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	0
3016	9040	16	NAKAMA_016	0	0	1	1	1	70	745	388	1	1	1	1	1	22	4	100	4	100	0	100	5	150	5	150	2	0	4	100	4	100	3000	1136	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	12	0	0	0	0	0	0
