rankType	itemId1	itemWeight1	itemId2	itemWeight2	itemId3	itemWeight3	itemId4	itemWeight4	itemId5	itemWeight5	itemId6	itemWeight6	itemId7	itemWeight7	itemId8	itemWeight8
0	602	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	603	20	604	10	0	0	0	0	0	0	0	0	0	0	0	0
2	605	30	616	20	606	15	617	10	0	0	0	0	0	0	0	0
3	607	30	618	20	608	15	619	10	0	0	0	0	0	0	0	0
4	609	30	620	20	610	15	621	10	0	0	0	0	0	0	0	0
5	611	30	612	20	613	15	622	10	0	0	0	0	0	0	0	0
6	604	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	623	30	624	10	0	0	0	0	0	0	0	0	0	0	0	0
8	625	30	626	20	632	15	635	10	0	0	0	0	0	0	0	0
9	627	30	628	20	633	15	636	10	0	0	0	0	0	0	0	0
10	629	30	630	20	631	15	634	10	637	10	638	10	0	0	0	0
11	639	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	640	20	641	10	0	0	0	0	0	0	0	0	0	0	0	0
13	642	30	653	20	643	15	654	10	0	0	0	0	0	0	0	0
14	644	30	655	20	645	15	656	10	0	0	0	0	0	0	0	0
15	646	30	657	20	647	15	658	10	0	0	0	0	0	0	0	0
16	648	30	649	20	650	15	659	10	0	0	0	0	0	0	0	0
17	641	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	660	30	661	10	0	0	0	0	0	0	0	0	0	0	0	0
19	662	30	663	20	669	15	672	10	0	0	0	0	0	0	0	0
20	664	30	665	20	670	15	673	10	0	0	0	0	0	0	0	0
21	666	30	667	20	668	15	671	10	674	10	675	10	0	0	0	0
22	676	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	677	20	678	10	0	0	0	0	0	0	0	0	0	0	0	0
24	679	30	690	20	680	15	691	10	0	0	0	0	0	0	0	0
25	681	30	692	20	682	15	693	10	0	0	0	0	0	0	0	0
26	683	30	694	20	684	15	695	10	0	0	0	0	0	0	0	0
27	685	30	686	20	687	15	696	10	0	0	0	0	0	0	0	0
28	678	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	697	30	698	10	0	0	0	0	0	0	0	0	0	0	0	0
30	699	30	700	20	706	15	709	10	0	0	0	0	0	0	0	0
31	701	30	702	20	707	15	710	10	0	0	0	0	0	0	0	0
32	703	30	704	20	705	15	708	10	711	10	712	10	0	0	0	0
33	713	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	714	20	715	10	0	0	0	0	0	0	0	0	0	0	0	0
35	716	30	727	20	717	15	728	10	0	0	0	0	0	0	0	0
36	718	30	729	20	719	15	730	10	0	0	0	0	0	0	0	0
37	720	30	731	20	721	15	732	10	0	0	0	0	0	0	0	0
38	722	30	723	20	724	15	733	10	0	0	0	0	0	0	0	0
39	715	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	734	30	735	10	0	0	0	0	0	0	0	0	0	0	0	0
41	736	30	737	20	743	15	746	10	0	0	0	0	0	0	0	0
42	738	30	739	20	744	15	747	10	0	0	0	0	0	0	0	0
43	740	30	741	20	742	15	745	10	748	10	749	10	0	0	0	0
44	750	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	751	20	752	10	0	0	0	0	0	0	0	0	0	0	0	0
46	753	30	764	20	754	15	765	10	0	0	0	0	0	0	0	0
47	755	30	766	20	756	15	767	10	0	0	0	0	0	0	0	0
48	757	30	768	20	758	15	769	10	0	0	0	0	0	0	0	0
49	759	30	760	20	761	15	770	10	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	771	30	772	20	773	10	0	0	0	0	0	0	0	0	0	0
56	774	30	785	20	775	15	786	10	0	0	0	0	0	0	0	0
57	776	30	787	20	777	15	788	10	0	0	0	0	0	0	0	0
58	778	30	789	20	779	15	790	10	0	0	0	0	0	0	0	0
59	780	30	781	20	782	15	791	10	0	0	0	0	0	0	0	0
60	773	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	775	15	786	10	0	0	0	0	0	0	0	0	0	0	0	0
62	793	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	794	30	792	10	0	0	0	0	0	0	0	0	0	0	0	0
64	795	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	796	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	797	30	801	10	0	0	0	0	0	0	0	0	0	0	0	0
67	798	30	802	10	0	0	0	0	0	0	0	0	0	0	0	0
68	799	30	803	10	0	0	0	0	0	0	0	0	0	0	0	0
69	799	30	803	10	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	806	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	807	30	809	10	0	0	0	0	0	0	0	0	0	0	0	0
77	805	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	808	30	810	10	0	0	0	0	0	0	0	0	0	0	0	0
79	808	30	810	10	0	0	0	0	0	0	0	0	0	0	0	0
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	119	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	119	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	119	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	119	20	120	15	0	0	0	0	0	0	0	0	0	0	0	0
89	119	20	125	10	0	0	0	0	0	0	0	0	0	0	0	0
90	123	10	128	3	129	3	0	0	0	0	0	0	0	0	0	0
91	123	10	128	3	129	3	0	0	0	0	0	0	0	0	0	0
92	123	10	122	7	120	3	0	0	0	0	0	0	0	0	0	0
93	124	10	122	7	120	3	0	0	0	0	0	0	0	0	0	0
94	124	10	122	7	120	3	0	0	0	0	0	0	0	0	0	0
95	348	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	348	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	348	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	348	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	348	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	349	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	349	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	349	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	349	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	349	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	343	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	343	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	343	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	343	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	343	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
