nkmId	m_CharaID	race	nameLabel	commentaryLabel	dispId	dlcEventFlag	baseLV	baseStr	baseInt	baseVit	baseAgi	baseLuk	growthStr	growthInt	growthVit	growthAgi	growthLuk	EW_Physical_WeakType	EW_Physical_EndureValue	EW_Gun_WeakType	EW_Gun_EndureValue	EW_Fire_WeakType	EW_Fire_EndureValue	EW_Ice_WeakType	EW_Ice_EndureValue	EW_Thunder_WeakType	EW_Thunder_EndureValue	EW_Wind_WeakType	EW_Wind_EndureValue	EW_All_WeakType	EW_All_EndureValue	EW_Bst_WeakType	EW_Bst_EndureValue	LearnLv01	LearnLv02	LearnLv03	LearnLv04	LearnLv05	LearnLv06	Skill1_Id	Skill2_Id	Skill3_Id	Skill4_Id	Skill5_Id	Skill6_Id	m_InheritType	ManaChangeType1	ManaChangeWeight1	ManaChangeType2	ManaChangeWeight2	ManaChangeType3	ManaChangeWeight3	ManaChangeType4	ManaChangeWeight4	UniteOpenFlag	Price	DevilTone	DevilVoice	patchFlag
0	0	0	None	None	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0
1	9001	30	NAKAMA_001	NAKAMAINFO_001	0	None	16	6	9	7	8	7	0.3	0.3	0.3	0.3	0.3	4	100	4	100	5	150	0	100	4	100	4	100	4	100	3	50	0	17	18	0	0	0	1013	1322	1152	0	0	0	21	2	3	3	1	0	0	0	0	None	2000	11	10	0
2	9002	30	NAKAMA_002	NAKAMAINFO_002	1	None	9	4	6	4	5	7	0.3	0.3	0.3	0.3	0.3	4	100	4	100	5	150	0	100	4	100	2	0	4	100	4	100	0	10	11	0	0	0	1030	1137	1312	0	0	0	22	6	3	7	1	0	0	0	0	None	2000	11	10	0
3	9003	30	NAKAMA_003	NAKAMAINFO_003	2	None	21	8	7	11	8	7	0.4	0.2	0.4	0.2	0.3	4	100	4	100	5	150	0	100	2	0	4	100	4	100	4	100	0	22	23	0	0	0	1023	1324	1175	0	0	0	23	12	3	0	0	0	0	0	0	None	2000	11	10	0
4	9004	30	NAKAMA_004	NAKAMAINFO_004	0	None	26	14	7	11	11	8	0.5	0.2	0.3	0.2	0.3	4	100	4	100	5	150	0	100	2	0	4	100	4	100	4	100	0	27	28	0	0	0	1053	1183	1163	0	0	0	24	2	2	3	1	0	0	0	0	None	2000	11	10	0
5	9005	30	NAKAMA_005	NAKAMAINFO_005	0	None	31	12	14	9	13	11	0.3	0.4	0.25	0.35	0.2	5	150	5	150	2	0	0	100	4	100	4	100	4	100	4	100	0	32	33	0	0	0	1106	1340	1385	0	0	0	25	8	3	0	0	0	0	0	0	None	2000	11	10	0
6	9006	31	NAKAMA_006	NAKAMAINFO_006	1	None	33	17	8	12	9	13	0.4	0.2	0.3	0.2	0.4	4	100	4	100	3	50	4	100	4	100	5	150	4	100	4	100	0	34	35	0	0	0	1150	1362	1183	0	0	0	26	17	2	0	0	0	0	0	0	FLG_SYS_UNLOCK_FUSION_006	2200	2	27	0
7	9007	31	NAKAMA_007	NAKAMAINFO_007	2	None	38	10	18	11	15	14	0.25	0.4	0.25	0.35	0.25	4	100	4	100	4	100	3	50	5	150	4	100	4	100	4	100	0	39	40	0	0	0	1151	1140	1411	0	0	0	27	17	2	0	0	0	0	0	0	FLG_SYS_UNLOCK_FUSION_007	2200	12	27	0
8	9008	31	NAKAMA_008	NAKAMAINFO_008	0	None	41	9	19	12	17	18	0.2	0.45	0.25	0.35	0.25	4	100	4	100	5	150	4	100	4	100	3	50	4	100	4	100	0	42	43	0	0	0	1412	1141	1410	0	0	0	28	17	2	0	0	0	0	0	0	FLG_SYS_UNLOCK_FUSION_008	2200	14	27	0
9	9009	31	NAKAMA_009	NAKAMAINFO_009	1	None	46	10	26	13	18	14	0.2	0.5	0.25	0.35	0.2	4	100	4	100	4	100	5	150	3	50	4	100	4	100	4	100	0	47	48	0	0	0	1152	1379	1382	0	0	0	29	17	2	0	0	0	0	0	0	FLG_SYS_UNLOCK_FUSION_009	2200	9	27	0
