m_SkillEffectID	m_EffectType	m_Number00	m_Number01	m_Number02	m_Number03	m_Number04	m_Number05	m_Number06	m_Number07	m_Filter	m_InfoPlay	m_Text0	m_Text1	m_ConflictEffectType
0	0	0	0	0	0	0	0	0	0	0	None	SKILLEFFECTINFO_000	None	0
1000	1	50	0	0	0	0	0	0	0	0	None	None	None	0
1001	1	100	0	0	0	0	0	0	0	0	None	None	None	0
1002	2	25	50	0	0	0	0	0	0	0	None	None	None	0
1003	1	10	0	0	0	0	0	0	0	0	None	None	None	0
1004	2	100	999	0	0	0	0	0	0	0	None	None	None	0
1010	4	2	55	0	0	0	0	0	0	0	None	LINEINFO_LIF_001	None	0
1011	4	3	40	0	0	0	0	0	0	0	None	LINEINFO_LIF_002	None	0
1012	4	4	45	0	0	0	0	0	0	0	None	LINEINFO_LIF_003	None	0
1013	4	8	70	0	0	0	0	0	0	0	None	LINEINFO_LIF_007	None	0
1014	4	5	70	0	0	0	0	0	0	0	None	LINEINFO_LIF_004	None	0
1015	4	6	50	0	0	0	0	0	0	0	None	LINEINFO_LIF_005	None	0
1016	4	7	70	0	0	0	0	0	0	0	None	LINEINFO_LIF_006	None	0
1017	4	2	22	0	0	0	0	0	0	0	None	LINEINFO_LIF_001	None	0
1018	4	3	16	0	0	0	0	0	0	0	None	LINEINFO_LIF_002	None	0
1019	4	4	18	0	0	0	0	0	0	0	None	LINEINFO_LIF_003	None	0
1020	4	8	40	0	0	0	0	0	0	0	None	LINEINFO_LIF_007	None	0
1021	4	5	28	0	0	0	0	0	0	0	None	LINEINFO_LIF_004	None	0
1022	4	6	20	0	0	0	0	0	0	0	None	LINEINFO_LIF_005	None	0
1023	4	10	99	0	0	0	0	0	0	0	None	LINEINFO_LIF_009	None	0
1024	4	5	40	0	0	0	0	0	0	0	None	LINEINFO_LIF_004	None	0
1025	3	45	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_100	None	0
1030	6	101	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_011	None	0
1031	6	100	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_011	None	0
1032	6	102	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_011	None	0
1040	3	16	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_019	None	0
