m_InheritType	m_IsInheritFix	m_IsInheritPhysics	m_IsInheritGun	m_IsInheritFire	m_IsInheritIce	m_IsInheritThunder	m_IsInheritImpact	m_IsInheritBadstatus	m_IsInheritAll	m_IsInheritHeal	m_IsInheritBuffNerf	m_IsInheritChase
0	0	1	1	1	1	1	1	1	1	1	1	1
1	0	1	1	0	0	0	0	1	0	1	1	1
2	0	0	1	0	0	0	0	1	0	1	1	1
3	0	0	0	1	1	1	1	1	1	1	1	1
4	0	1	1	1	0	1	1	1	1	1	1	1
5	0	1	1	0	1	1	1	1	1	1	1	1
6	0	1	1	1	1	1	0	1	1	1	1	1
7	0	1	1	1	1	0	1	1	1	1	1	1
8	0	0	1	1	1	1	1	1	0	1	1	1
9	0	0	0	1	1	1	1	1	1	1	1	1
10	0	1	1	1	1	1	1	0	0	0	1	1
11	0	1	1	0	0	0	0	1	0	1	1	0
12	0	0	1	0	0	0	0	1	0	1	1	0
13	0	0	0	1	1	1	1	1	1	1	1	0
14	0	1	1	1	0	1	1	1	1	1	1	0
15	0	1	1	0	1	1	1	1	1	1	1	0
16	0	1	1	1	1	1	0	1	1	1	1	0
17	0	1	1	1	1	0	1	1	1	1	1	0
18	0	0	1	1	1	1	1	1	0	1	1	0
19	0	0	0	1	1	1	1	1	1	1	1	0
20	0	1	1	1	1	1	1	0	0	0	1	0
21	0	1	1	0	1	1	1	0	1	1	1	1
22	0	1	1	0	1	0	1	1	1	1	1	1
23	0	1	1	0	1	1	1	1	1	1	1	1
24	0	1	1	1	1	1	0	1	1	1	1	1
25	0	1	1	1	1	0	0	1	1	1	1	1
26	0	1	1	1	0	0	1	0	1	1	1	1
27	0	1	0	0	1	1	0	1	1	1	1	1
28	0	0	1	1	0	0	1	1	1	1	1	1
29	0	1	1	0	0	1	0	1	1	1	1	1
30	0	1	0	1	1	1	1	1	1	1	1	0
31	0	1	1	1	1	1	0	1	1	1	1	0
32	0	0	1	1	1	1	1	1	1	1	1	1
33	0	1	1	0	1	1	1	0	1	1	1	0
34	0	1	1	0	1	1	1	1	1	1	1	0
35	0	0	1	1	1	1	1	1	1	1	1	0
36	0	1	1	1	0	1	1	1	1	0	1	1
37	0	0	0	1	1	1	1	1	1	1	1	0
38	0	1	1	1	1	0	1	1	1	1	1	0
39	0	1	1	1	1	1	1	1	1	1	1	0
40	0	1	1	0	1	1	1	1	1	1	1	0
41	0	1	1	1	1	1	0	1	1	1	1	0
42	0	1	0	1	0	1	1	1	1	1	1	0
43	0	0	1	0	1	1	1	1	1	1	1	0
44	0	1	1	1	0	1	1	1	1	1	1	1
45	0	0	1	1	1	1	1	1	1	1	1	1
46	0	1	1	0	1	1	1	1	1	1	1	0
47	0	1	1	0	1	1	1	1	1	1	1	0
48	0	1	1	1	0	1	1	1	1	1	1	1
49	0	1	1	0	1	1	1	1	1	1	1	0
50	0	1	1	1	1	1	0	1	1	1	1	0
51	0	1	1	1	1	0	1	1	1	0	1	0
52	0	1	0	1	1	1	1	1	1	1	1	0
53	0	1	1	1	1	0	1	1	0	1	1	0
54	0	1	1	1	0	0	0	1	1	1	1	0
55	0	1	1	1	1	0	1	0	1	1	1	0
56	0	1	1	1	1	0	1	1	1	1	1	1
57	0	1	1	1	1	1	0	1	1	1	1	1
58	0	1	1	1	1	1	0	1	0	1	1	0
59	0	1	1	0	1	0	1	1	1	1	1	0
60	0	1	1	1	0	0	1	0	1	1	1	0
61	0	1	0	0	1	1	1	1	1	1	1	0
62	0	1	1	0	0	0	1	1	1	1	1	1
63	0	1	1	1	0	0	0	1	1	1	1	0
64	0	1	0	1	1	1	1	1	1	1	1	1
65	0	1	1	0	1	1	1	1	1	1	1	0
66	0	1	1	1	1	1	1	0	1	1	1	1
67	0	1	1	1	1	0	1	1	1	1	1	0
68	0	1	1	1	0	1	1	1	1	1	1	0
69	0	1	0	1	1	1	1	1	1	1	1	1
70	0	0	0	1	1	1	1	1	1	1	1	0
71	0	1	0	1	0	1	1	1	1	1	1	0
72	0	1	1	1	1	1	0	1	1	1	1	0
73	0	1	1	0	1	1	1	1	1	1	1	0
74	0	1	1	1	1	0	1	1	1	1	1	0
75	0	1	1	0	1	1	1	1	1	1	1	0
76	0	1	1	1	1	0	1	1	1	1	1	1
77	0	1	1	1	1	0	1	1	1	1	1	0
