m_SkillID	m_NameLabel	m_InfoLabel	m_Category	m_SkIcon	m_EncodeNeedValue	m_SkType	m_SkArea	m_SkAction	m_SkAttr	m_SkDammage	m_HitRatio	m_TargetType	m_TargetMin	m_TargetMax	m_TargetRule	m_LifeType	m_LifeValue	m_MapIsUse_Field	m_MapIsUse_Dungeon	m_MapIsUse_Ringo	m_MapIsUse_AccessMap	m_CostType	m_CostValue	m_HpRefParam	m_HpRefValue	m_MpRefParam	m_MpRefValue	m_SkillEffID00	m_SkillEffID01	m_SkillEffID02	m_SkillEffID03	m_SkillEffID04	m_EffIdx00	m_EffIdx01	m_EffIdx02	m_EffIdx03	m_EffIdx04	m_InheritCategory	m_SkillValue	m_DrawingCoefficient	m_TextLabel	m_ParamSkillID	m_ChangeFlag	m_SortID	m_IsAssist	m_Flag	m_DemoID	m_ScreenEffectR	m_ScreenEffectG	m_ScreenEffectB	m_ScreenEffectA
0	None	None	-1	-1	0	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	0
1000	SKILLNAME_COM_000	SKILLINFO_COM_000	1	3	80	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	25	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0.1	None	0	1	201	1	0	0	255	0	0	255
1001	SKILLNAME_COM_001	SKILLINFO_COM_001	1	3	150	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	12	1	70	0	0	0	0	0	0	0	0	0	0	0	0	4	22	0.22	None	0	1	202	1	0	0	255	0	0	255
1002	SKILLNAME_COM_002	SKILLINFO_COM_002	1	3	310	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	18	1	125	0	0	0	0	0	0	0	0	0	0	0	0	4	50	0.35	None	0	1	203	1	0	0	255	0	0	255
1003	SKILLNAME_COM_003	SKILLINFO_COM_003	1	3	200	1	1	2	1	1	100	3	0	0	1	0	0	0	0	0	0	1	15	1	10	0	0	0	0	0	0	0	0	0	0	0	0	4	20	0.2	None	0	1	204	1	0	1000	255	0	0	255
1004	SKILLNAME_COM_004	SKILLINFO_COM_004	1	3	100	1	1	2	1	1	100	3	0	0	1	0	0	0	0	0	0	1	30	1	42	0	0	0	0	0	0	0	0	0	0	0	0	4	40	0.3	None	0	1	205	1	0	1001	255	0	0	255
1005	SKILLNAME_COM_005	SKILLINFO_COM_005	1	3	80	1	1	2	1	1	100	3	0	0	1	0	0	0	0	0	0	1	45	1	75	0	0	0	0	0	0	0	0	0	0	0	0	4	100	0.4	None	0	1	0	1	0	1002	255	0	0	255
1006	SKILLNAME_COM_006	SKILLINFO_COM_006	1	3	80	1	1	2	1	1	100	5	2	4	1	0	0	0	0	0	0	1	14	1	70	0	0	1195	0	0	0	0	98	0	0	0	0	4	25	0.25	None	0	1	0	1	0	0	255	0	0	255
1007	SKILLNAME_COM_007	SKILLINFO_COM_007	1	3	100	1	1	2	1	1	100	5	2	4	1	0	0	0	0	0	0	1	22	1	125	0	0	1195	0	0	0	0	98	0	0	0	0	4	200	0.6	None	0	1	206	1	0	0	255	0	0	255
1008	SKILLNAME_COM_008	SKILLINFO_COM_008	1	3	100	1	1	2	1	1	100	5	4	4	1	0	0	0	0	0	0	1	36	1	125	0	0	1195	0	0	0	0	98	0	0	0	0	4	220	0.65	None	0	1	207	1	0	0	255	0	0	255
1009	SKILLNAME_COM_009	SKILLINFO_COM_009	1	3	80	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	20	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0.1	None	0	1	0	1	0	0	255	0	0	255
1010	SKILLNAME_COM_010	SKILLINFO_COM_010	1	4	80	1	1	2	2	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	25	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0.1	None	0	1	301	1	0	0	0	50	255	255
1011	SKILLNAME_COM_011	SKILLINFO_COM_011	1	4	150	1	1	2	2	1	100	1	0	0	1	0	0	0	0	0	0	1	12	1	70	0	0	0	0	0	0	0	0	0	0	0	0	5	22	0.22	None	0	1	302	1	0	0	0	50	255	255
1012	SKILLNAME_COM_012	SKILLINFO_COM_012	1	4	100	1	1	2	2	1	100	1	0	0	1	0	0	0	0	0	0	1	18	1	125	0	0	0	0	0	0	0	0	0	0	0	0	5	50	0.35	None	0	1	303	1	0	0	0	50	255	255
1013	SKILLNAME_COM_013	SKILLINFO_COM_013	1	4	200	1	1	2	2	1	100	3	0	0	1	0	0	0	0	0	0	1	15	1	10	0	0	0	0	0	0	0	0	0	0	0	0	5	20	0.2	None	0	1	304	1	0	1010	0	50	255	255
1014	SKILLNAME_COM_014	SKILLINFO_COM_014	1	4	100	1	1	2	2	1	100	3	0	0	1	0	0	0	0	0	0	1	30	1	42	0	0	0	0	0	0	0	0	0	0	0	0	5	40	0.3	None	0	1	305	1	0	1011	0	50	255	255
1015	SKILLNAME_COM_015	SKILLINFO_COM_015	1	4	80	1	1	2	2	1	100	3	0	0	1	0	0	0	0	0	0	1	45	1	75	0	0	0	0	0	0	0	0	0	0	0	0	5	100	0.4	None	0	1	0	1	0	1012	0	50	255	255
1016	SKILLNAME_COM_016	SKILLINFO_COM_016	1	4	80	1	1	2	2	1	100	5	2	4	1	0	0	0	0	0	0	1	14	1	70	0	0	1195	0	0	0	0	98	0	0	0	0	5	25	0.25	None	0	1	0	1	0	0	0	50	255	255
1017	SKILLNAME_COM_017	SKILLINFO_COM_017	1	4	100	1	1	2	2	1	100	5	2	4	1	0	0	0	0	0	0	1	22	1	125	0	0	1195	0	0	0	0	98	0	0	0	0	5	200	0.6	None	0	1	306	1	0	0	0	50	255	255
1018	SKILLNAME_COM_018	SKILLINFO_COM_018	1	3	80	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	20	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0.1	None	0	1	0	1	0	0	255	0	0	255
1019	SKILLNAME_COM_019	SKILLINFO_COM_019	1	3	80	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	20	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0.1	None	0	1	0	1	0	0	255	0	0	255
1020	SKILLNAME_COM_020	SKILLINFO_COM_020	1	5	80	1	1	2	3	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	25	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0.1	None	0	1	401	1	0	0	255	215	0	255
1021	SKILLNAME_COM_021	SKILLINFO_COM_021	1	5	150	1	1	2	3	1	100	1	0	0	1	0	0	0	0	0	0	1	12	1	70	0	0	0	0	0	0	0	0	0	0	0	0	6	22	0.22	None	0	1	402	1	0	0	255	215	0	255
1022	SKILLNAME_COM_022	SKILLINFO_COM_022	1	5	100	1	1	2	3	1	100	1	0	0	1	0	0	0	0	0	0	1	18	1	125	0	0	0	0	0	0	0	0	0	0	0	0	6	50	0.35	None	0	1	403	1	0	0	255	215	0	255
1023	SKILLNAME_COM_023	SKILLINFO_COM_023	1	5	200	1	1	2	3	1	100	3	0	0	1	0	0	0	0	0	0	1	15	1	10	0	0	0	0	0	0	0	0	0	0	0	0	6	20	0.2	None	0	1	404	1	0	1020	255	215	0	255
1024	SKILLNAME_COM_024	SKILLINFO_COM_024	1	5	100	1	1	2	3	1	100	3	0	0	1	0	0	0	0	0	0	1	30	1	42	0	0	0	0	0	0	0	0	0	0	0	0	6	40	0.3	None	0	1	405	1	0	1021	255	215	0	255
1025	SKILLNAME_COM_025	SKILLINFO_COM_025	1	5	80	1	1	2	3	1	100	3	0	0	1	0	0	0	0	0	0	1	45	1	75	0	0	0	0	0	0	0	0	0	0	0	0	6	100	0.4	None	0	1	0	1	0	1022	255	215	0	255
1026	SKILLNAME_COM_026	SKILLINFO_COM_026	1	5	80	1	1	2	3	1	100	5	2	4	1	0	0	0	0	0	0	1	14	1	70	0	0	1195	0	0	0	0	98	0	0	0	0	6	25	0.25	None	0	1	0	1	0	0	255	215	0	255
1027	SKILLNAME_COM_027	SKILLINFO_COM_027	1	5	100	1	1	2	3	1	100	5	2	4	1	0	0	0	0	0	0	1	22	1	125	0	0	1195	0	0	0	0	98	0	0	0	0	6	200	0.6	None	0	1	406	1	0	0	255	215	0	255
1028	SKILLNAME_COM_028	SKILLINFO_COM_028	1	3	80	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	20	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0.1	None	0	1	0	1	0	0	255	0	0	255
1029	SKILLNAME_COM_029	SKILLINFO_COM_029	1	3	80	1	1	2	1	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	20	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0.1	None	0	1	0	1	0	0	255	0	0	255
1030	SKILLNAME_COM_030	SKILLINFO_COM_030	1	6	80	1	1	2	4	1	100	1	0	0	1	0	0	0	0	0	0	1	6	1	25	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0.1	None	0	1	501	1	0	0	0	255	30	255
1031	SKILLNAME_COM_031	SKILLINFO_COM_031	1	6	150	1	1	2	4	1	100	1	0	0	1	0	0	0	0	0	0	1	12	1	70	0	0	0	0	0	0	0	0	0	0	0	0	7	22	0.22	None	0	1	502	1	0	0	0	255	30	255
1032	SKILLNAME_COM_032	SKILLINFO_COM_032	1	6	100	1	1	2	4	1	100	1	0	0	1	0	0	0	0	0	0	1	18	1	125	0	0	0	0	0	0	0	0	0	0	0	0	7	50	0.35	None	0	1	503	1	0	0	0	255	30	255
1033	SKILLNAME_COM_033	SKILLINFO_COM_033	1	6	200	1	1	2	4	1	100	3	0	0	1	0	0	0	0	0	0	1	15	1	10	0	0	0	0	0	0	0	0	0	0	0	0	7	20	0.2	None	0	1	504	1	0	1030	0	255	30	255
1034	SKILLNAME_COM_034	SKILLINFO_COM_034	1	6	100	1	1	2	4	1	100	3	0	0	1	0	0	0	0	0	0	1	30	1	42	0	0	0	0	0	0	0	0	0	0	0	0	7	40	0.3	None	0	1	505	1	0	1031	0	255	30	255
