charaId	category	value0	value1	value2	value3	value4	value5	value6
1002	0	1	2	3	4	5	5	5
1002	1	0	1	2	3	4	5	5
1002	2	1	2	3	4	5	5	5
1002	3	1	2	3	4	5	5	5
1002	4	1	2	3	4	5	5	5
1002	5	1	2	3	4	5	5	5
1002	6	1	2	3	4	5	5	5
1002	7	0	1	2	3	4	5	5
1001	0	0	1	2	3	4	5	5
1001	1	1	2	3	4	5	5	5
1001	2	1	2	3	4	5	5	5
1001	3	1	2	3	4	5	5	5
1001	4	1	2	3	4	5	5	5
1001	5	0	1	2	3	4	5	5
1001	6	1	2	3	4	5	5	5
1001	7	1	2	3	4	5	5	5
1005	0	1	2	3	4	5	5	5
1005	1	0	1	2	3	4	5	5
1005	2	0	1	2	3	4	5	5
1005	3	1	2	3	4	5	5	5
1005	4	1	2	3	4	5	5	5
1005	5	1	2	3	4	5	5	5
1005	6	1	2	3	4	5	5	5
1005	7	1	2	3	4	5	5	5
1004	0	1	2	3	4	5	5	5
1004	1	0	1	2	3	4	5	5
1004	2	1	2	3	4	5	5	5
1004	3	0	1	2	3	4	5	5
1004	4	1	2	3	4	5	5	5
1004	5	1	2	3	4	5	5	5
1004	6	1	2	3	4	5	5	5
1004	7	1	2	3	4	5	5	5
