sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	category	guard	hp	mp	Str	Int	Vit	Agi	Luk	buffType	skillId	equipFlag	isGuardChangeByLv
0	28	1	0	1	500	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0
1	28	1	0	1	500	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0
2	28	1	0	1	500	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0
3	28	1	0	1	500	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	0
4	28	4	0	6000	3000	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	15	0
5	28	4	0	7000	3500	0	0	0	0	0	0	0	0	0	13	0	0	3	-2	0	0	0	0	0	15	0
6	28	4	0	7000	3500	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	3	0	0	0	15	0
7	28	4	0	7000	3500	0	0	0	0	0	0	0	0	0	12	0	30	0	0	0	0	0	0	0	15	0
30	28	4	0	12000	6000	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	15	0
31	28	4	0	14000	7000	0	0	0	0	0	0	0	0	0	15	0	0	0	3	0	0	0	0	0	15	0
32	28	4	0	16000	8000	1	0	0	0	0	0	0	0	0	15	100	0	0	0	0	0	0	0	0	15	0
33	28	4	0	18000	9000	0	0	0	0	0	0	0	0	0	19	0	0	-2	0	0	0	2	0	1409	15	0
34	28	4	0	22000	11000	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	15	0
35	28	4	0	22000	11000	1	0	0	0	0	0	0	0	0	17	0	0	5	-2	0	0	0	0	0	15	0
40	28	4	0	34000	17000	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	1408	15	0
41	28	4	0	38000	19000	0	0	0	0	0	0	0	0	0	23	150	0	0	0	0	0	0	0	0	15	0
42	28	4	0	38000	19000	0	0	0	0	0	0	0	0	0	23	0	80	0	0	0	0	0	0	0	15	0
43	28	4	0	38000	19000	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	6014	15	0
44	28	4	0	46000	23000	1	0	0	0	0	0	0	0	0	25	0	0	0	0	-4	5	5	0	0	15	0
45	28	4	0	46000	23000	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	15	0
46	28	4	0	48000	24000	1	0	0	0	0	0	0	0	0	28	0	0	7	0	8	-5	0	0	0	15	0
50	28	4	0	70000	35000	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	15	0
51	28	4	0	80000	40000	0	0	0	0	0	0	0	0	0	31	0	0	-5	7	0	8	0	0	0	15	0
52	28	4	0	80000	40000	1	0	0	0	0	0	0	0	0	32	160	80	0	0	0	-6	0	0	0	15	0
53	28	4	0	80000	40000	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	-5	0	6016	15	0
54	28	4	0	110000	55000	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	15	0
55	28	4	0	120000	60000	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	-5	0	6017	15	0
56	28	4	0	120000	60000	1	0	0	0	0	0	0	0	0	37	0	0	5	-5	0	5	5	0	0	15	0
60	28	4	0	150000	75000	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	15	0
61	28	4	0	170000	85000	0	0	0	0	0	0	0	0	0	42	170	0	8	-6	0	0	0	0	0	15	0
62	28	4	0	170000	85000	1	0	0	0	0	0	0	0	0	41	0	0	0	0	-5	12	0	0	0	15	0
63	28	4	0	230000	115000	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	15	0
64	28	4	0	260000	130000	0	0	0	0	0	0	0	0	0	48	0	90	-6	8	0	0	0	0	0	15	0
65	28	4	0	260000	130000	1	0	0	0	0	0	0	0	0	47	220	0	0	0	0	-6	0	0	0	15	0
66	28	4	0	260000	130000	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	-7	0	6018	15	0
70	28	4	0	340000	170000	1	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	15	0
71	28	4	0	400000	200000	1	0	0	0	0	0	0	0	0	51	0	120	0	0	-7	0	0	0	0	15	0
72	28	4	0	400000	200000	1	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	6019	15	0
73	28	1	0	550000	275000	0	0	0	0	0	0	0	0	0	61	160	0	0	12	0	0	0	0	0	1	0
74	28	1	0	550000	275000	0	0	0	0	0	0	0	0	0	55	0	0	0	0	12	10	0	0	0	2	0
75	28	1	0	550000	275000	0	0	0	0	0	0	0	0	0	62	0	0	12	0	0	10	0	0	0	8	0
76	28	1	0	550000	275000	0	0	0	0	0	0	0	0	0	60	180	100	0	0	0	0	0	0	0	4	0
77	28	4	0	550000	275000	1	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	6020	15	0
80	28	4	0	750000	375000	1	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	15	0
81	28	4	0	750000	375000	1	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	15	0
82	28	4	0	750000	375000	1	0	0	0	0	0	0	0	0	66	0	0	9	9	9	9	9	0	0	15	0
83	28	4	0	750000	375000	1	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	15	0
84	28	4	0	750000	375000	1	0	0	0	0	0	0	0	0	65	0	0	10	0	10	0	10	0	0	6	0
78	28	4	0	750000	375000	1	0	0	0	0	0	0	0	0	70	0	125	0	10	0	10	0	0	0	9	0
86	28	1	0	900000	450000	1	0	0	0	0	0	0	0	0	80	0	0	15	0	0	0	0	0	6021	1	0
