sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	equipFlag	dressNum	battleBgmId	resultBgmId
0	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
1	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	10	BGM_0201_DLC_P4_Battle	BGM_0202_DLC_P4_Result
2	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	11	BGM_0203_DLC_P5_Battle1	BGM_0204_DLC_P5_Result1
3	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	12	BGM_0205_DLC_P5_Battle2	BGM_0206_DLC_P5_Result2
4	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	13	BGM_0207_DLC_SH_Battle	BGM_0208_DLC_SH_Result
5	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	14	BGM_0209_DLC_R_Battle	BGM_0210_DLC_R_Result
6	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	15	BGM_0211_DLC_SM4_Battle	BGM_0212_DLC_SM4_Result
7	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	16	None	None
8	30	1	0	1000	500	0	0	0	0	0	0	0	0	1	20	BGM_0213_DLC_SH_Battle2	BGM_0214_DLC_SH_Result2
9	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
10	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	0	None	None
11	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	10	None	None
12	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	11	None	None
13	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	12	None	None
14	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	13	None	None
15	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	14	None	None
16	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	15	None	None
17	30	1	0	1000	500	0	0	0	0	0	0	0	0	2	16	None	None
18	30	0	0	1000	500	0	0	0	0	0	0	0	0	2	0	None	None
19	30	0	0	1000	500	0	0	0	0	0	0	0	0	2	0	None	None
20	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	0	None	None
