sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	category	rank	skillId	uniqueId	equipFlag	buyManaMoney	sellManaMoney
0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	4	1
3	40	99	0	0	600	0	0	0	0	0	0	0	0	0	1	9101	101	15	2	1
4	40	99	0	0	1200	0	0	0	0	0	0	0	0	0	1	9102	101	15	4	1
5	40	99	0	0	2500	0	0	0	0	0	0	0	0	0	1	9103	101	15	6	2
6	40	99	0	0	4800	0	0	0	0	0	0	0	0	0	2	9104	101	15	10	3
7	40	99	0	0	7500	0	0	0	0	0	0	0	0	0	2	9105	101	15	16	5
8	40	99	0	0	15000	0	0	0	0	0	0	0	0	0	3	9106	101	15	24	7
9	40	99	0	0	30000	0	0	0	0	0	0	0	0	0	3	9107	101	15	34	10
10	40	99	0	0	60000	0	0	0	0	0	0	0	0	0	4	9108	101	15	44	14
11	40	99	0	0	120000	0	0	0	0	0	0	0	0	0	4	9109	101	15	54	18
12	40	99	0	0	240000	0	0	0	0	0	0	0	0	0	5	9110	101	15	64	20
13	40	99	0	0	500000	0	0	0	0	0	0	0	0	0	5	9111	101	15	74	25
14	40	99	0	0	1000000	0	0	0	0	0	0	0	0	0	5	9112	101	15	84	30
15	40	99	0	0	600	0	0	0	0	0	0	0	0	0	1	9113	102	15	2	1
16	40	99	0	0	900	0	0	0	0	0	0	0	0	0	1	9114	102	15	5	2
17	40	99	0	0	4800	0	0	0	0	0	0	0	0	0	2	9115	102	15	10	3
18	40	99	0	0	7500	0	0	0	0	0	0	0	0	0	2	9116	102	15	16	4
19	40	99	0	0	15000	0	0	0	0	0	0	0	0	0	3	9117	102	15	24	7
20	40	99	0	0	30000	0	0	0	0	0	0	0	0	0	3	9118	102	15	34	10
21	40	99	0	0	60000	0	0	0	0	0	0	0	0	0	4	9119	102	15	44	14
22	40	99	0	0	120000	0	0	0	0	0	0	0	0	0	4	9120	102	15	54	18
23	40	99	0	0	240000	0	0	0	0	0	0	0	0	0	5	9121	102	15	64	20
24	40	99	0	0	4800	0	0	0	0	0	0	0	0	0	2	9122	101	15	10	3
25	40	99	0	0	7500	0	0	0	0	0	0	0	0	0	2	9123	101	15	16	5
