sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	mapPlaceId1	mapAreaId1	mapSubAreaId1	mapPlaceId2	mapAreaId2	mapSubAreaId2	enemyId1	enemyId2	mapDirectMessageLabel	enemyDirectMessageLabel	otherDirectMessageLabel
0	23	99	0	0	100	0	0	0	0	0	0	0	0	1001	0	0	1101	0	0	0	0	None	None	None
1	23	99	0	0	200	0	0	0	0	0	0	0	0	1002	0	-1	-1	0	0	0	0	None	None	None
2	23	99	0	0	500	0	0	0	0	0	0	0	0	1003	0	-1	-1	0	0	0	0	None	None	None
3	23	99	0	0	1000	0	0	0	0	0	0	0	0	1004	0	-1	-1	0	0	0	0	None	None	None
4	23	99	0	0	2500	0	0	0	0	0	0	0	0	1101	20	0	1001	10	0	0	0	None	None	None
5	23	99	0	0	5000	0	0	0	0	0	0	0	0	1005	0	-1	-1	0	0	0	0	None	None	None
6	23	99	0	0	15000	0	0	0	0	0	0	0	0	1007	30	0	1007	40	0	0	0	None	None	None
7	23	99	0	0	100	0	0	0	0	0	0	0	0	1001	0	0	1101	0	0	0	0	None	None	None
8	23	99	0	0	200	0	0	0	0	0	0	0	0	1002	0	-1	-1	0	0	0	0	None	None	None
9	23	99	0	0	500	0	0	0	0	0	0	0	0	1003	0	-1	-1	0	0	0	0	None	None	None
10	23	99	0	0	1000	0	0	0	0	0	0	0	0	1004	0	-1	-1	0	0	0	0	None	None	None
11	23	99	0	0	2500	0	0	0	0	0	0	0	0	1101	20	0	1001	10	0	0	0	None	None	None
12	23	99	0	0	5000	0	0	0	0	0	0	0	0	1005	0	-1	-1	0	0	0	0	None	None	None
13	23	99	0	0	15000	0	0	0	0	0	0	0	0	1007	30	0	1007	40	0	0	0	None	None	None
14	23	99	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	MAT_HELP_TEXT_NONE	None	MAT_HELP_TEXT_SPECIAL
15	23	99	0	0	4000	0	0	0	0	0	0	0	0	1002	0	-1	1003	0	-1	0	0	None	None	None
16	23	99	0	0	12000	0	0	0	0	0	0	0	0	1003	0	-1	1004	0	-1	0	0	None	None	None
17	23	99	0	0	30000	0	0	0	0	0	0	0	0	1004	0	-1	1005	0	-1	0	0	None	None	None
18	23	99	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	MAT_HELP_TEXT_NONE	None	MAT_HELP_TEXT_SPECIAL
19	23	99	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	MAT_HELP_TEXT_NONE	None	MAT_HELP_TEXT_SPECIAL
20	23	99	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	MAT_HELP_TEXT_NONE	None	MAT_HELP_TEXT_SPECIAL
25	23	99	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	None	MAT_HELP_TEXT_RISKY_ALL	None
26	23	99	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	None	MAT_HELP_TEXT_RISKY_ZONE_45	None
199	23	0	0	0	100	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	None	MAT_HELP_TEXT_NONE	None
27	24	99	0	0	100	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3152	3045	None	None	None
28	24	99	0	0	100	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3065	0	None	None	None
29	24	99	0	0	100	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3100	0	None	None	None
30	24	99	0	0	100	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3038	0	None	None	None
31	24	99	0	0	100	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3084	0	None	None	None
32	24	99	0	0	100	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3138	0	None	None	None
34	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3071	0	None	None	None
35	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3066	0	None	None	None
36	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3092	0	None	None	None
37	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3069	0	None	None	None
38	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3058	0	None	None	None
39	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3054	0	None	None	None
40	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3104	0	None	None	None
41	24	99	0	0	200	0	0	0	0	0	0	0	0	-2	0	0	-1	0	0	3030	0	None	None	None
