sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	skillId	likeAdjust	dislikeAdjust	like1	like2	like3	like4	like5	presentChrId	presentFriendship	needDevelopItemId1	needDevelopItemId2	presentOnFlag	nanaMetFlag
27	26	99	0	1200	600	0	0	0	0	0	0	0	0	8100	1.4	0.6	1	2	2	2	0	1005	35	0	0	0	0
0	26	99	0	550	275	0	0	0	0	0	0	0	0	8101	1.2	1	0	0	1	1	0	0	0	0	0	0	0
4	26	99	0	110	55	0	0	0	0	0	0	0	0	8102	1	1	0	0	0	0	0	0	0	0	0	0	0
17	26	99	0	880	440	0	0	0	0	0	0	0	0	8103	1.4	0.6	0	1	2	0	1	1001	35	0	0	0	0
14	26	99	0	1100	550	0	0	0	0	0	0	0	0	8104	1.4	0.6	1	0	0	2	1	1004	35	0	0	0	0
1	26	99	0	600	300	0	1	0	0	0	0	0	0	8105	1.4	0.6	1	1	0	0	1	0	0	1304	1305	0	0
28	26	99	0	550	275	0	0	0	0	0	0	0	0	8106	1.4	0.6	2	1	2	2	2	1001	25	0	0	256	0
29	26	99	0	550	275	0	0	0	0	0	0	0	0	8107	1.4	0.6	2	2	1	2	2	1004	25	0	0	259	0
30	26	99	0	550	275	0	0	0	0	0	0	0	0	8108	1.4	0.6	2	2	2	1	2	1005	25	0	0	262	0
2	26	99	0	770	385	0	0	0	0	0	0	0	0	8109	1.4	0.6	1	1	0	0	1	1001	75	0	0	0	0
5	26	99	0	160	80	0	0	1	250	375	0	0	0	8110	1	1	0	0	0	0	0	0	0	0	0	0	0
6	26	99	0	160	80	0	0	1	250	375	0	0	0	8111	1	1	0	0	0	0	0	0	0	0	0	0	0
18	26	99	0	880	440	0	0	0	0	0	0	0	0	8112	1.5	0.5	2	0	0	1	1	1005	75	0	0	0	0
15	26	99	0	1100	550	0	0	0	0	0	0	0	0	8113	1.2	0.8	0	2	1	0	2	1004	75	0	0	0	0
