sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	skillId
0	9	0	0	500	250	0	0	1	15	30	0	0	0	4001
1	9	99	0	500	250	0	0	0	0	0	0	0	0	4001
2	9	20	0	2500	1250	0	0	0	0	0	0	0	0	4002
30	9	5	0	5000	2500	0	0	0	0	0	0	0	0	4003
20	9	20	0	1500	750	0	0	0	0	0	0	0	0	1137
22	9	20	0	1500	750	0	0	0	0	0	0	0	0	1139
15	9	2	0	6000	3000	0	0	0	0	0	0	0	0	4006
40	10	20	0	1500	750	0	0	0	0	0	0	0	0	4007
43	10	20	0	1500	750	0	0	0	0	0	0	0	0	4008
46	10	20	0	1500	750	0	0	0	0	0	0	0	0	4009
49	10	20	0	5000	2500	0	0	0	0	0	0	0	0	4010
51	10	20	0	5000	2500	0	0	0	0	0	0	0	0	4011
300	11	20	0	1200	600	0	0	0	0	0	0	0	0	4012
9	9	5	0	15000	7500	0	0	1	250	375	0	0	0	4013
36	9	2	0	25000	12500	0	0	1	250	375	0	0	0	4014
60	10	2	0	20000	10000	0	0	1	250	375	0	0	0	4015
62	10	2	0	20000	10000	0	0	1	250	375	0	0	0	4016
3	9	99	0	750	375	0	0	0	0	0	0	0	0	4017
5	9	20	0	5000	2500	0	0	0	0	0	0	0	0	1132
7	9	5	0	0	30000	0	0	0	0	0	0	0	0	4019
34	9	99	0	4000	2000	0	0	0	0	0	0	0	0	4020
35	9	5	0	0	50000	0	0	0	0	0	0	0	0	4021
16	9	20	0	4000	2000	0	0	0	0	0	0	0	0	1142
17	9	5	0	60000	60000	0	0	0	0	0	0	0	0	1143
11	9	5	0	50000	25000	0	0	0	0	0	0	0	0	1135
37	9	0	0	0	60000	0	0	0	0	0	0	0	0	4029
12	9	0	0	0	60000	0	0	0	0	0	0	0	0	4030
21	9	20	0	10000	5000	0	0	0	0	0	0	0	0	1138
23	9	20	0	10000	5000	0	0	0	0	0	0	0	0	1140
61	10	2	0	50000	25000	0	0	0	0	0	0	0	0	1164
63	10	2	0	50000	25000	0	0	0	0	0	0	0	0	1165
42	10	5	0	4500	2250	0	0	0	0	0	0	0	0	1150
45	10	5	0	4500	2250	0	0	0	0	0	0	0	0	1151
48	10	5	0	4500	2250	0	0	0	0	0	0	0	0	1152
50	10	5	0	9000	4500	0	0	0	0	0	0	0	0	1163
52	10	5	0	9000	4500	0	0	0	0	0	0	0	0	1156
100	3	5	0	3000	1500	0	0	0	0	0	0	0	0	1000
101	3	2	0	10000	5000	0	0	0	0	0	0	0	0	1003
102	4	5	0	3000	1500	0	0	0	0	0	0	0	0	1010
103	4	2	0	10000	5000	0	0	0	0	0	0	0	0	1013
105	5	5	0	3000	1500	0	0	0	0	0	0	0	0	1020
107	5	2	0	10000	5000	0	0	0	0	0	0	0	0	1023
108	6	5	0	3000	1500	0	0	0	0	0	0	0	0	1030
109	6	2	0	10000	5000	0	0	0	0	0	0	0	0	1033
110	8	2	0	15000	7500	0	0	0	0	0	0	0	0	1042
25	9	5	0	5000	2500	0	0	0	0	0	0	0	0	1141
26	9	5	0	40000	20000	0	0	1	250	375	0	0	0	4046
250	11	99	0	1000	0	0	1	0	0	0	0	0	0	4047
251	11	99	0	1000	0	0	1	0	0	0	0	0	0	4048
252	11	99	0	1000	0	0	1	0	0	0	0	0	0	4049
253	11	99	0	1000	0	0	1	0	0	0	0	0	0	4050
254	11	99	0	1000	0	0	1	0	0	0	0	0	0	4051
255	11	99	0	1000	0	0	1	0	0	0	0	0	0	4052
256	11	99	0	1000	0	0	1	0	0	0	0	0	0	4053
257	11	99	0	1000	0	0	1	0	0	0	0	0	0	4054
258	11	99	0	1000	0	0	1	0	0	0	0	0	0	4055
259	11	99	0	1000	0	0	1	0	0	0	0	0	0	4056
260	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
261	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
262	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
263	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
264	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
265	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
266	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
267	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
268	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
269	11	0	0	1000	0	0	1	0	0	0	0	0	0	0
299	9	9	0	25000	0	0	1	0	0	0	0	0	0	1135
