id	en
COLLECTIONBOOK_L0000	RESERVE
COLLECTIONBOOK_L0001	One of the major gods in Indian mythology. He is the preserver of the universe. It is believed that he will descend to earth ten times to maintain the balance of power. 
COLLECTIONBOOK_L0002	An ancient Iranian god of contracts, he was also worshipped as a sun god. At the end of time, he will descend from the heavens and raise the dead for final judgment.
COLLECTIONBOOK_L0003	The Japanese sun goddess who rules over the High Plain of Heaven. Her name means ''she who illuminates the heavens.'' She was born from Izanagi's left eye.
COLLECTIONBOOK_L0004	In Norse mythology, he is the god of wisdom and father of the gods. He rides Sleipnir, his eight-legged horse, while carrying his spear Gungnir and wearing his ring Draupnir.
COLLECTIONBOOK_L0005	Originally a child-eating demon and one of the eight attendants of Bishamonten. He was converted by Buddha and became a protector of the Yaksa. Southwest is the direction he protects.
COLLECTIONBOOK_L0006	An ancient god of Egypt whose eyes are the sun and moon. He was revered by some as the principal god, and he is often depicted as a hawk or a falcon.
COLLECTIONBOOK_L0007	In Hindu mythology, she is the goddess of beauty and good fortune. She is the wife of Vishnu and the mother of Kama, the god of love. It is believed that she was born from the froth of an ocean of milk.
COLLECTIONBOOK_L0008	A great warrior and prophetess of Celtic mythology, also known as the ''Shadowy One.'' She taught Cu Chulainn martial arts and gave him his famous spear, Gae Bolg. Her sister is Aife.
COLLECTIONBOOK_L0009	In Hindu mythology, she is the goddess of rivers and a patroness of speech, writing, learning, and of the arts and sciences. Brahma is her husband.
COLLECTIONBOOK_L0010	Shiva's first consort in Hindu mythology, she threw herself into a sacrificial fire in protest of her father's mistreatment of Shiva. Reincarnated as Parvati, she was reunited with Shiva.
COLLECTIONBOOK_L0011	A goddess of entertainment, her name means ''the terrifying female of heaven.'' She is famous for luring Amaterasu out of hiding with her seductive dancing. Her husband is Sarutahiko.
COLLECTIONBOOK_L0012	One of the triad of main deities in Hindu mythology. He is known as the destroyer, but is also related to regeneration. His wife is Parvati.
COLLECTIONBOOK_L0013	According to Chinese mythology, Beidou Xingjun, or ''Wise Man of the North Star,'' determines the moment one is born.
COLLECTIONBOOK_L0014	Qitian Dasheng was supposedly born from a rock. He wreaked havoc throughout the land and was punished by Buddha, but was eventually saved by a monk named Tang Sanzang.
COLLECTIONBOOK_L0015	The Greek god of wine and orgies. He had two births. When his mother died while pregnant with him, Zeus took the premature infant and let him mature to proper birth in his thigh.
COLLECTIONBOOK_L0016	According to Hindu mythology, she is a consort of Shiva. Also known as ''The Black One,'' she is the symbol of destruction. She is typically depicted as a fearsome figure, wearing a chain of human heads.
COLLECTIONBOOK_L0017	A giantess called the ''snowshoe goddess,'' she is the embodiment of winter. According to legend, all the gods will return to her at the end of Ragnarok.
COLLECTIONBOOK_L0018	This beautiful goddess of love is one of Shiva's wives in Hindu mythology. She won Shiva's love, despite the fact that he was an ascetic.
COLLECTIONBOOK_L0019	Kushinada-Hime is a goddess in Japanese mythology. When she was human, she was saved from the eight-headed serpent Yamata-no-Orochi by the storm god Susano-o, whom she wedded.
COLLECTIONBOOK_L0020	The goddess of life in Japanese mythology. She once mediated between Izanagi and Izanami during their confrontation in Yomi, the land of the dead.
COLLECTIONBOOK_L0021	The strongest of the Four Heavenly Kings, also known as Tamonten and in Buddhist mythology, Vaishravana. He protects the North and is the god of war.
COLLECTIONBOOK_L0022	In Norse mythology, he is the son of Odin and the god of thunder. He wears the belt Megingjard, which doubles his strength. Lightning flashes whenever he throws his hammer, Mjolnir.
COLLECTIONBOOK_L0023	Of Buddhist origin, Jikokuten is one of the Four Heavenly Kings and protects the East. He is also known as Dhritarashtra.
COLLECTIONBOOK_L0024	The god of thunder in Japanese mythology. He carries the divine sword Totsuka-no-Tsurugi and is said to be the founder of ancient sumo wrestling.
COLLECTIONBOOK_L0025	A terrestrial deity and descendant of Susano-o, he is an important god in Japanese Izumo mythology. He is a peaceful god who prefers not to fight.
COLLECTIONBOOK_L0026	Koumokuten, protector of the West, is one of the Four Heavenly Kings of Buddhist origin.
COLLECTIONBOOK_L0027	Zouchouten, protector of the South, is one of the Four Heavenly Kings in Buddhist mythology.
COLLECTIONBOOK_L0028	Revered as the god of hunting in Japanese mythology, he fought Take-Mikazuchi for possession of Japan and lost.
COLLECTIONBOOK_L0029	The offspring of Typhon and Echidna, this monster in Greek mythology is part lion, part goat, and part dragon.
COLLECTIONBOOK_L0030	One of the Ssu-Ling, celestial creatures in Chinese mythology. It represents the direction West, the season autumn and the element metal.
COLLECTIONBOOK_L0031	A Japanese monster born from a lynx. It absorbs spirits from men by transforming into a beautiful woman. It is said that other monsters collect spirits to become a Senri.
COLLECTIONBOOK_L0032	One of the Ssu-Ling, celestial creatures in Chinese mythology. It represents the direction South, the season summer and the element fire. It is commonly compared to the Phoenix of Western mythology.
COLLECTIONBOOK_L0033	A mythical creature said to protect homes from evil. It is especially well known in the Ryukyu Islands of Japan.
COLLECTIONBOOK_L0034	It is said that this mythical creature of Chinese mythology can see through lies and, with its horn, gores a liar.
COLLECTIONBOOK_L0035	A legendary white horse with a spiral horn on its forehead. It can only be tamed by a pure maiden. Its horn supposedly has miraculous healing capabilities.
COLLECTIONBOOK_L0036	A living embodiment of one of the four major elements: fire.
COLLECTIONBOOK_L0037	A living embodiment of one of the four major elements: water.
