id	en
DATSKILLHELP_L0001	Low Fire damage \nto one foe.
DATSKILLHELP_L0002	Medium Fire damage \nto one foe.
DATSKILLHELP_L0003	High Fire damage \nto one foe.
DATSKILLHELP_L0004	Low Fire damage \nto all foes.
DATSKILLHELP_L0005	Medium Fire damage \nto all foes.
DATSKILLHELP_L0006	High Fire damage \nto all foes.
DATSKILLHELP_L0007	Low Ice damage \nto one foe.
DATSKILLHELP_L0008	Medium Ice damage \nto one foe.
DATSKILLHELP_L0009	High Ice damage \nto one foe.
DATSKILLHELP_L0010	Low Ice damage \nto all foes.
DATSKILLHELP_L0011	Medium Ice damage \nto all foes.
DATSKILLHELP_L0012	High Ice damage \nto all foes.
DATSKILLHELP_L0013	Low Elec damage \nto one foe.
DATSKILLHELP_L0014	Medium Elec damage \nto one foe.
DATSKILLHELP_L0015	High Elec damage \nto one foe.
DATSKILLHELP_L0016	Low Elec damage \nto all foes.
DATSKILLHELP_L0017	Medium Elec damage \nto all foes.
DATSKILLHELP_L0018	High Elec damage \nto all foes.
DATSKILLHELP_L0019	Low Force damage \nto one foe.
DATSKILLHELP_L0020	Medium Force damage \nto one foe.
DATSKILLHELP_L0021	High Force damage \nto one foe.
DATSKILLHELP_L0022	Low Force damage \nto all foes.
DATSKILLHELP_L0023	Medium Force damage \nto all foes.
DATSKILLHELP_L0024	High Force damage \nto all foes.
DATSKILLHELP_L0025	Medium Almighty damage \nto all foes.
DATSKILLHELP_L0026	High Almighty damage \nto all foes.
DATSKILLHELP_L0027	Massive Almighty \ndamage to all \nfoes.
DATSKILLHELP_L0028	Light: Chance to \ninstakill one foe.
DATSKILLHELP_L0029	Light: High chance to \ninstakill one foe.
DATSKILLHELP_L0030	Light: Chance to \ninstakill all foes.
DATSKILLHELP_L0031	Light: High chance to \ninstakill all foes.
DATSKILLHELP_L0032	Dark: Chance to \ninstakill one foe.
DATSKILLHELP_L0033	Dark: High chance to \ninstakill one foe.
DATSKILLHELP_L0034	Dark: Chance to \ninstakill all foes.
DATSKILLHELP_L0035	Dark: High chance to \ninstakill all foes.
DATSKILLHELP_L0036	Slight HP recovery \nfor one ally.
