id	en	ja	zh	ko	de	es	fr	it
DEVIL_L0000	Dummy	ダミー	ＤＵＭＭＹ	DUMMY	Dummy	Muñeco	Dummy	Dummy
DEVIL_L0001	Vishnu	ヴィシュヌ	毗濕奴	비슈누	Vishnu	Vishnu	Vishnou	Vishnu
DEVIL_L0002	Mitra	ミトラ	密特拉	미트라	Mitra	Mitra	Mithra	Mitra
DEVIL_L0003	Amaterasu	アマテラス	天照大神	아마테라스	Amaterasu	Amaterasu	Amaterasu	Amaterasu
DEVIL_L0004	Odin	オーディン	奧汀	오딘	Odin	Odín	Odin	Odino
DEVIL_L0005	Atavaka	アタバク	大元帥明王	아타바크	Atavaka	Atavaka	Atavaka	Atavaka
DEVIL_L0006	Horus	ホルス	荷魯斯	호루스	Horus	Horus	Horus	Horus
DEVIL_L0007	Lakshmi	ラクシュミ	吉祥天	락슈미	Lakshmi	Lakshmi	Lakshmi	Lakshmi
DEVIL_L0008	Scathach	スカアハ	斯卡哈	스카아하	Scathach	Scáthach	Scáthach	Scathach
DEVIL_L0009	Sarasvati	サラスヴァティ	妙音天女	사라스바티	Sarasvati	Sarasvati	Sarasvati	Sarasvati
DEVIL_L0010	Sati	サティ	娑提	사티	Sati	Sati	Sati	Sati
DEVIL_L0011	Ame-no-Uzume	アメノウズメ	天鈿女命	아메노우즈메	Ame-no-Uzume	Ame-no-Uzume	Ame-no-Uzume	Ame-no-Uzume
DEVIL_L0012	Shiva	シヴァ	濕婆	시바	Shiva	Shiva	Shiva	Shiva
DEVIL_L0013	Beidou Xingjun	ホクトセイクン	北斗星君	북두성군	Beidou Xingjun	Beidou Xingjun	Beidou Xingjun	Beidou Xingjun
DEVIL_L0014	Qitian Dasheng	セイテンタイセイ	齊天大聖	제천대성	Qitian Dasheng	Qitian Dasheng	Qitian Dasheng	Qitian Dasheng
DEVIL_L0015	Dionysus	ディオニュソス	狄俄尼索斯	디오니소스	Dionysus	Dioniso	Dionysos	Dioniso
DEVIL_L0016	Kali	カーリー	迦梨	칼리	Kali	Kali	Kali	Kali
DEVIL_L0017	Skadi	スカディ	絲卡蒂	스카디	Skadi	Skadi	Skadi	Skadi
DEVIL_L0018	Parvati	パールヴァティ	帕爾瓦蒂	파르바티	Parvati	Parvati	Parvati	Parvati
DEVIL_L0019	Kushinada	クシナダヒメ	奇稻田姬	쿠시나다히메	Kushinada	Kushinada	Kushinada	Kushinada
DEVIL_L0020	Kikuri-Hime	キクリヒメ	菊理媛	키쿠리히메	Kikuri-Hime	Kikuri-Hime	Kikuri-Hime	Kikuri-Hime
DEVIL_L0021	Bishamonten	ビシャモンテン	毘沙門天	비사문천	Bishamonten	Bishamonten	Bishamonten	Bishamonten
DEVIL_L0022	Thor	トール	托爾	토르	Thor	Thor	Thor	Thor
DEVIL_L0023	Jikokuten	ジコクテン	持國天	지국천	Jikokuten	Jikokuten	Jikokuten	Jikokuten
DEVIL_L0024	Take-Mikazuchi	タケミカヅチ	建御雷	타케미카즈치	Take-Mikazuchi	Takemikazuchi	Take-Mikazuchi	Take-Mikazuchi
DEVIL_L0025	Okuninushi	オオクニヌシ	大國主	오오쿠니누시	Okuninushi	Okuninushi	Okuninushi	Okuninushi
