id	en	ja	zh	ko	de	es	fr	it
PLAYERRACE_L0000	Fiend	魔人	魔人	마인	Scheusal	Oscuro	Maudit	Diavolo
PLAYERRACE_L0001	Votary	神兵	神兵	신병	Anhänger	Devoto	Dévot	Cultore
PLAYERRACE_L0002	Adept	鬼衆	鬼眾	귀중	Adept	Adepto	Adepte	Iniziato
PLAYERRACE_L0003	Soldier	魔徒	魔徒	마도	Soldat	Soldado	Soldat	Soldato
PLAYERRACE_L0004	Zealot	聖魔	聖魔	성마	Eiferer	Fanático	Fanatique	Zelota
PLAYERRACE_L0005	Expert	業鬼	業鬼	업귀	Experte	Experto	Expert	Esperto
PLAYERRACE_L0006	Battler	魔闘士	魔鬥士	마투사	Kämpfer	Luchador	Combattant	Battagliero
PLAYERRACE_L0007	Saint	魔教皇	魔教皇	마교황	Heiliger	Santo	Saint	Probo
PLAYERRACE_L0008	Master	修羅漢	修羅漢	수라한	Meister	Maestro	Maître	Maestro
PLAYERRACE_L0009	Slayer	魔軍将	魔將軍	마군장	Metzler	Asesino	Pourfendeur	Distruttore
PLAYERRACE_L0010	Spirit	神霊	神靈	신령	Geist	Espíritu	Esprit	Spirito
PLAYERRACE_L0011	Phenom	修羅王	修羅王	수라왕	Phänomen	Fenómeno	Prodige	Prodigio
PLAYERRACE_L0012	Lord	魔帝	魔帝	마제	Fürst	Señor	Seigneur	Signore
PLAYERRACE_L0013	King	混沌王	混沌王	혼돈왕	König	Rey	Roi	Re
PLAYERRACE_L0014	King	混沌王	混沌王	혼돈왕	König	Rey	Roi	Re
PLAYERRACE_L0015	King	混沌王	混沌王	혼돈왕	König	Rey	Roi	Re
RACE_L0000	Race	種族名	種族名	종족명	Rasse	Raza	Race	Specie
RACE_L0001	Deity	魔神	魔神	마신	Gottheit	Deidad	Déité	Nume
RACE_L0002	Megami	女神	女神	여신	Megami	Megami	Megami	Megami
RACE_L0003	Fury	破壊神	破壞神	파괴신	Zorn	Furia	Furie	Furia
RACE_L0004	Lady	地母神	地母神	지모신	Lady	Dama	Dame	Dama
RACE_L0005	Kishin	鬼神	鬼神	귀신	Kishin	Kishin	Kishin	Kishin
RACE_L0006	Holy	聖獣	聖獸	성수	Heilig	Sacra	Légende	Santo
RACE_L0007	Element	精霊	精靈	정령	Element	Elemental	Élément	Elementale
RACE_L0008	Mitama	御魂	御魂	미타마	Mitama	Mitama	Mitama	Mitama
RACE_L0009	Yoma	妖魔	妖魔	요마	Yoma	Yoma	Yoma	Yoma
RACE_L0010	Fairy	妖精	妖精	요정	Fee	Hada	Fée	Fata
RACE_L0011	Divine	天使	天使	천사	Göttlich	Divino	Divinité	Angelo
RACE_L0012	Fallen	堕天使	墮天使	타천사	Gefallen	Caído	Déchu	Caduto
RACE_L0013	Snake	龍王	龍王	용왕	Schlange	Serpiente	Serpent	Ofide
RACE_L0014	Beast	魔獣	魔獸	마수	Bestie	Bestia	Bête	Bestia
RACE_L0015	Jirae	地霊	地靈	지령	Jirae	Jirae	Jirae	Jirae
RACE_L0016	Brute	妖鬼	妖鬼	요귀	Ungeheuer	Bruto	Barbare	Orco
RACE_L0017	Femme	鬼女	鬼女	귀녀	Femme	Fémina	Femme	Megera
RACE_L0018	Vile	邪神	邪神	악신	Schändlich	Vil	Néfaste	Infame
RACE_L0019	Tyrant	魔王	魔王	마왕	Tyrann	Tirano	Tyran	Tiranno
RACE_L0020	Night	夜魔	夜魔	야마	Nacht	Nocturno	Nocturne	Oscuro
RACE_L0021	Wilder	妖獣	妖獸	요수	Wilder	Salvaje	Sauvage	Selvaggio
RACE_L0022	Haunt	幽鬼	幽鬼	유귀	Spuk	Cazador	Revenant	Spettro
RACE_L0023	Foul	外道	邪道	외도	Verdorben	Fétido	Fétide	Feccia
RACE_L0024	Seraph	大天使	大天使	대천사	Seraph	Serafín	Angélique	Serafino
RACE_L0025	Wargod	軍神	軍神	군신	Kriegsgott	Guerrero	Guerrier	Combattente
RACE_L0026	Genma	幻魔	幻魔	환마	Genma	Genma	Genma	Genma
RACE_L0027	Dragon	龍神	龍神	용신	Drache	Dragón	Dragon	Drago
RACE_L0028	Avatar	神獣	神獸	신수	Avatar	Avatar	Avatar	Avatar
RACE_L0029	Avian	霊鳥	靈鳥	영조	Vogel	Aviar	Oiseau	Aligero
RACE_L0030	Raptor	凶鳥	凶鳥	흉조	Raptor	Rapaz	Raptor	Rapace
RACE_L0031	Reaper	死神	死神	사신	Reaper	Segador	Faucheur	Mietitore
RACE_L0032	Entity	威霊	威靈	위령	Entität	Entidad	Entité	Entità
RACE_L0033	Corpus	擬人	擬人	의인	Korpus	Cuerpo	Corpus	Corpus
RACE_L0034	Zoa	分霊	分靈	분령	Zoa	Zoa	Zoa	Zoa
RACE_L0035	Hallel	熾天使	熾天使	치천사	Hallel	Hallel	Hallel	Hallel
RACE_L0036	Vast Light	無尽光	無盡光	무진광	Riesiges Licht	Luz eterna	Grande lumière	Splendore
RACE_L0037	Emperor	新皇	新皇	신황	Herrscher	Emperador	Empereur	Imperatore
RACE_L0038	Fiend	魔人	魔人	마인	Scheusal	Oscuro	Maudit	Diavolo
RACE_L0039	Devil	大魔王	大魔王	대마왕	Teufel	Diablo	Diable	Demonio
RACEMC_L0040	???	？？？	？？？	???	???	¿?	???	???
