id	en	ja	zh	ko	de	es	fr	it
SKILL_L0000	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
SKILL_L0001	Agi	アギ	亞基	아기	Agi	Agi	Agi	Agi
SKILL_L0002	Agilao	アギラオ	亞基拉歐	아기라오	Agilao	Agilao	Agilao	Agilao
SKILL_L0003	Agidyne	アギダイン	亞基達因	아기다인	Agidyne	Agidyne	Agidyne	Agidyne
SKILL_L0004	Maragi	マハラギ	瑪哈拉基	마하라기	Maragi	Maragi	Maragi	Maragi
SKILL_L0005	Maragion	マハラギオン	瑪哈拉基翁	마하라기온	Maragion	Maragion	Maragion	Maragion
SKILL_L0006	Maragidyne	マハラギダイン	瑪哈拉基達因	마하라기다인	Maragidyne	Maragidyne	Maragidyne	Maragidyne
SKILL_L0007	Bufu	ブフ	布芙	부흐	Bufu	Bufu	Bufu	Bufu
SKILL_L0008	Bufula	ブフーラ	布芙拉	부흐라	Bufula	Bufula	Bufula	Bufula
SKILL_L0009	Bufudyne	ブフダイン	布芙達因	부흐다인	Bufudyne	Bufudyne	Bufudyne	Bufudyne
SKILL_L0010	Mabufu	マハブフ	瑪哈布芙	마하부흐	Mabufu	Mabufu	Mabufu	Mabufu
SKILL_L0011	Mabufula	マハブフーラ	瑪哈布芙拉	마하부흐라	Mabufula	Mabufula	Mabufula	Mabufula
SKILL_L0012	Mabufudyne	マハブフダイン	瑪哈布芙達因	마하부흐다인	Mabufudyne	Mabufudyne	Mabufudyne	Mabufudyne
SKILL_L0013	Zio	ジオ	吉歐	지오	Zio	Zio	Zio	Zio
SKILL_L0014	Zionga	ジオンガ	吉歐加	지온가	Zionga	Zionga	Zionga	Zionga
SKILL_L0015	Ziodyne	ジオダイン	吉歐達因	지오다인	Ziodyne	Ziodyne	Ziodyne	Ziodyne
SKILL_L0016	Mazio	マハジオ	瑪哈吉歐	마하지오	Mazio	Mazio	Mazio	Mazio
SKILL_L0017	Mazionga	マハジオンガ	瑪哈吉歐加	마하지온가	Mazionga	Mazionga	Mazionga	Mazionga
SKILL_L0018	Maziodyne	マハジオダイン	瑪哈吉歐達因	마하지오다인	Maziodyne	Maziodyne	Maziodyne	Maziodyne
SKILL_L0019	Zan	ザン	贊	잔	Zan	Zan	Zan	Zan
SKILL_L0020	Zanma	ザンマ	贊瑪	잔마	Zanma	Zanma	Zanma	Zanma
SKILL_L0021	Zandyne	ザンダイン	贊達因	잔다인	Zandyne	Zandyne	Zandyne	Zandyne
SKILL_L0022	Mazan	マハザン	瑪哈贊	마하잔	Mazan	Mazan	Mazan	Mazan
SKILL_L0023	Mazanma	マハザンマ	瑪哈贊瑪	마하잔마	Mazanma	Mazanma	Mazanma	Mazanma
SKILL_L0024	Mazandyne	マハザンダイン	瑪哈贊達因	마하잔다인	Mazandyne	Mazandyne	Mazandyne	Mazandyne
SKILL_L0025	Megido	メギド	米吉多	메기도	Megido	Megido	Megido	Megido
SKILL_L0026	Megidola	メギドラ	米吉多拉	메기도라	Megidola	Megidola	Megidola	Megidola
SKILL_L0027	Megidolaon	メギドラオン	米吉多拉翁	메기도라온	Megidolaon	Megidolaon	Megidolaon	Megidolaon
SKILL_L0028	Hama	ハマ	哈瑪	하마	Hama	Hama	Hama	Hama
SKILL_L0029	Hamaon	ハマオン	哈瑪翁	하마온	Hamaon	Hamaon	Hamaon	Hamaon
SKILL_L0030	Mahama	マハンマ	瑪翰瑪	마한마	Mahama	Mahama	Mahama	Mahama
SKILL_L0031	Mahamaon	マハンマオン	瑪翰瑪翁	마한마온	Mahamaon	Mahamaon	Mahamaon	Mahamaon
SKILL_L0032	Mudo	ムド	姆多	무드	Mudo	Mudo	Mudo	Mudo
SKILL_L0033	Mudoon	ムドオン	姆多翁	무드온	Mudoon	Mudoon	Mudoon	Mudoon
SKILL_L0034	Mamudo	マハムド	瑪哈姆多	마하무드	Mamudo	Mamudo	Mamudo	Mamudo
SKILL_L0035	Mamudoon	マハムドオン	瑪哈姆多翁	마하무드온	Mamudoon	Mamudoon	Mamudoon	Mamudoon
SKILL_L0036	Dia	ディア	迪亞	디아	Dia	Dia	Dia	Dia
SKILL_L0037	Diarama	ディアラマ	迪亞拉瑪	디아라마	Diarama	Diarama	Diarama	Diarama
SKILL_L0038	Diarahan	ディアラハン	迪亞拉翰	디아라한	Diarahan	Diarahan	Diarahan	Diarahan
SKILL_L0039	Media	メディア	梅迪亞	메디아	Media	Media	Media	Media
SKILL_L0040	Mediarama	メディラマ	梅迪拉瑪	메디라마	Mediarama	Mediarama	Mediarama	Mediarama
SKILL_L0041	Mediarahan	メディアラハン	梅迪亞拉翰	메디아라한	Mediarahan	Mediaraham	Mediarahan	Mediarahan
SKILL_L0042	Makatora	マカトラ	瑪卡特拉	마카트라	Makatora	Makatora	Makatora	Makatora
SKILL_L0043	Patra	パトラ	帕特拉	파트라	Patra	Patra	Patra	Patra
SKILL_L0044	Me Patra	メパトラ	梅帕特拉	메파트라	Me Patra	Me Patra	Me Patra	Me Patra
SKILL_L0045	Mutudi	クロズディ	克洛茲迪	클로즈디	Mutudi	Mutudi	Mutudi	Mutudi
SKILL_L0046	Posumudi	ポズムディ	波茲姆迪	포즘디	Posumudi	Posumudi	Posumudi	Posumudi
SKILL_L0047	Paraladi	パララディ	帕拉拉迪	패럴라디	Paraladi	Paraladi	Paraladi	Paraladi
SKILL_L0048	Petradi	ペトラディ	沛特拉迪	페트라디	Petradi	Petradi	Petradi	Petradi
SKILL_L0049	Recarm	リカーム	利卡姆	리캄	Recarm	Recarm	Recarm	Recarm
