en	desc
000	000
Agi	Weak <skill_elm 0> attack to <skill_tgt>.
002	002
Agilao	Medium <skill_elm 0> attack to <skill_tgt>.
004	004
Agidyne	Heavy <skill_elm 0> attack to <skill_tgt>.
006	006
Agibarion	Severe <skill_elm 0> attack to <skill_tgt>.
Trisagion	Heavy <skill_elm 0> attack to <skill_tgt>. Ignores affinity resistance and pierces through.
Maragi	Weak <skill_elm 0> attack to <skill_tgt>.
Maragion	Medium <skill_elm 0> attack to <skill_tgt>.
Maragidyne	Heavy <skill_elm 0> attack to <skill_tgt>.
Maragibarion	Severe <skill_elm 0> attack to <skill_tgt>.
Ragnarok	Medium <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
Fire Breath	Weak <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
015	015
Bufu	Weak <skill_elm 0> attack to <skill_tgt>.
017	017
Bufula	Medium <skill_elm 0> attack to <skill_tgt>.
019	019
Bufudyne	Heavy <skill_elm 0> attack to <skill_tgt>.
021	021
Bufubarion	Severe <skill_elm 0> attack to <skill_tgt>.
Ice Age	Heavy <skill_elm 0> attack to <skill_tgt>. Ignores affinity resistance and pierces through.
Mabufu	Weak <skill_elm 0> attack to <skill_tgt>.
Mabufula	Medium <skill_elm 0> attack to <skill_tgt>.
Mabufudyne	Heavy <skill_elm 0> attack to <skill_tgt>.
Mabufubarion	Severe <skill_elm 0> attack to <skill_tgt>.
Glacial Blast	Medium <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
Ice Breath	Weak <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
030	030
Zio	Weak <skill_elm 0> attack to <skill_tgt>.
032	032
Zionga	Medium <skill_elm 0> attack to <skill_tgt>.
034	034
Ziodyne	Heavy <skill_elm 0> attack to <skill_tgt>.
036	036
Ziobarion	Severe <skill_elm 0> attack to <skill_tgt>.
Narukami	Heavy <skill_elm 0> attack to <skill_tgt>. Ignores affinity resistance and pierces through.
Mazio	Weak <skill_elm 0> attack to <skill_tgt>.
Mazionga	Medium <skill_elm 0> attack to <skill_tgt>.
Maziodyne	Heavy <skill_elm 0> attack to <skill_tgt>.
Maziobarion	Severe <skill_elm 0> attack to <skill_tgt>.
Thunder Reign	Medium <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
Shockbound	Weak <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
045	045
Zan	Weak <skill_elm 0> attack to <skill_tgt>.
047	047
Zanma	Medium <skill_elm 0> attack to <skill_tgt>.
049	049
Zandyne	Heavy <skill_elm 0> attack to <skill_tgt>.
051	051
Zanbarion	Severe <skill_elm 0> attack to <skill_tgt>.
Killing Wind	Heavy <skill_elm 0> attack to <skill_tgt>. Ignores affinity resistance and pierces through.
Mazan	Weak <skill_elm 0> attack to <skill_tgt>.
Mazanma	Medium <skill_elm 0> attack to <skill_tgt>.
Mazandyne	Heavy <skill_elm 0> attack to <skill_tgt>.
Mazanbarion	Severe <skill_elm 0> attack to <skill_tgt>.
Floral Gust	Medium <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
Wind Breath	Weak <skill_minhit>~<skill_maxhit> <skill_elm 0> attacks to <skill_tgt>.
Omagatoki: Critical	All attacks, including magical attacks, will become Critical hits for <skill_tgt> for 1 turn.
Mudo	Weak <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mudoon	Heavy <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mudobarion	Severe <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mamudo	Weak <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mamudoon	Heavy <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mamudobarion	Severe <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Hama	Weak <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Hamaon	Heavy <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Hamabarion	Severe <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mahama	Weak <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mahamaon	Heavy <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Mahamabarion	Severe <skill_elm 0> attack to <skill_tgt>. Chance of instakill when striking weakness.
Megido	Medium <skill_elm 0> attack to <skill_tgt>.
