en	desc
000	DUMMY
001	001_SATAN
002	002
003	003
004	004_DAGDA
005	005_KRISNA
006	006_MIROKU
Khonsu	The Egyptian god of the moon. \n \nOften portrayed as a mummy with\ntwo long braids of hair, he is said \nto be a reincarnation of the moon\nitself and holds possession over\nwhat's known as the moon ship.\nHe also acts as a companion to \nthe Pharaoh's shadow. Hieroglyphics \nfound in Unas's pyramid depict him \nas a god who prepares meals for an\noppressive, god-devouring king.
Zeus	The main deity of Greek mythology.\nSaid to be omnipotent, he is both\ngod of the sky and ruler of\nthe twelve gods of Olympus.\n \nHe is a son of the titan Kronos and \nbrother to both Hades and Poseidon.\nUpon defeating his father, he claimed\nthe right to rule the entire universe.\nHe also fathered many children with \nnot only goddesses but a number of\nhuman women as well.
Odin	The All-Father in Norse Mythology.\nWarrior, sorcerer, and near insatiable\nseeker of knowledge, he rides\nhis eight-legged horse Sleipnir, armed\nwith both Gungnir, his mighty spear,\nand Draupnir, an enchanted ring. \n \nHe is known to have willingly\nsacrificed an eye to drink from\nthe Well of Wisdom and is also\nrecognized as the one who welcomes\nthe souls of departed warriors\nas they cross over into Valhalla.
010_ALDER	010_ALDER
Mitra	Commonly known as Mitra-Buddha\nor Mitra.\n \nAn ancient Persian god of contracts,\nhe was also revered as a sun god.\nHe is a protector of the world's\nharmony and truth, and passes\njudgment upon those who threaten it.\nIt is said that one of his powers to\nsafeguard harmony allows him to\ncure any illness.
Atavaka	One of the eight Yasha-o.\n \nHis domain is war and protection. \nOriginally known as a wicked \ndevourer of children, he later became\none of the greatest of the Wisdom\nKings after receiving the Buddha's\nenlightenment.
Horus	An ancient god of Egypt known for\nhaving the sun and moon as his\nwatchful eyes.\n \nHe was revered by some as the\nprincipal god, most likely due to\nhis association with the celestial\nbodies above. Myth often depicts\nhim as a hawk or a falcon.
Thoth	An almighty god of Egyptian lore with\nthe head of a baboon. He stands\nopposite Seth, the god of evil, and\nsides with Osiris and Isis, the gods of\ngood.
Khonsu Ra	The form of the Egyptian god of the\nMoon, Khonsu, upon gaining the\npower of the sun god, Ra.\n \nHidden behind a foreboding mask, he\npossesses the dual powers of the sun\nand moon, the day and night, and the\nliving and the dead.
Vishnu	One of the Trimurti and the\nhighest-ranking god in Hinduism.\n \nHe governs the universe and is also\nrecognized as its protector. It is said\nthat, when the surface world is in\ndanger, he will appear as an avatar.
Baal	The chief Semitic god. \n \nBearing a name that means \''Lord,\''\nor \''owner,\'' he was revered as a god\nof fertility in addition to being known\nas the god of Canaan and both \nbrother and consort to the goddess\nAnat. Many demons, such as Bael,\nBeelzebub, Belphegor, and Berith are\nbelieved to be derivations of Baal.\nThere were even instances of him\nbeing worshiped in the very same\ntemples as Yahweh (YHVH) in times\nlong since passed.
018	018
Demeter	A goddess from Greek mythology. Her\nname means \''Mother Earth\'' in\nancient Greek. \n \nShe is the sister of Zeus, goddess\nof fertility, and is said to be the one\nwho taught humanity the ways of\nagriculture. With the advancement\nof civilization, laws were put into\nplace, and she was given another\nname, \''Demeter Thesmophoros.\''
Anahita	A Zoroastrian goddess whose name\nmeans \''pure.\''\n \nWhile primarily known as a beautiful\ndeity who rules over rivers and water,\nshe is also the goddess of health,\nfertility, safe delivery, production\nof livestock, harvest, wealth and\nexpansion of land. She is often\nportrayed as an elegant virgin wearing\na crown decorated with numerous\nstars in addition to a golden necklace\nand a golden cape, and is typically\nshown holding a water jug. She is\nalso a brave god of war astride a\nfour-wheeled chariot, toppling\ndemons and tyrants alike. Both her\nallies and her enemies have been said\nto have offered their prayers to her.
Lakshmi	Goddess of beauty and good fortune\nin Hindu lore.\n \nVishnu's wife and Kama's mother,\nshe is regarded as the goddess\nof love and is said to embody\nthe ideal woman. She is also known\nto have charmed many gods\nwith her dance.
Norn	The goddesses of fate in Norse myth.\n \nThey live below the roots of Yggdrasil\nand weave the threads of fate by\nwhich even the gods are bound.
Idun	A goddess from Norse mythology.\nShe is the keeper of the golden\napples and wife to Bragi, the god of\npoetry. \n \nGods in Norse mythology are said\nto retain their youth via her apples,\nwhich are safely kept in a box made\nfrom ash wood.
Sarasvati	The consort of Brahma in Hindu lore.\n \nShe embodies the river, and her name\nmeans \''one who flows.\'' She is also\nthe goddess of music and art and is\nsaid to be skilled in every artistic or\ncreative pursuit known to man.
Ishtar	A Mesopotamian goddess of love and\nwar. Dubbed the \''Queen of Heaven,\''\nthe planet Venus was often seen as\nthe embodiment of the goddess\nherself. \n \nIn the Epic of Gilgamesh, she\nmakes many heroes her lovers,\nbut the story also foretells that she\nwill eventually kill them or turn them\ninto animals.
Scathach	The war goddess of Celtic lore as well\nas the queen of the Land of Shadows.\n \nShe is a skilled magician and a\nmaster warrior who trains the many\nyoung men who come to her in the art\nof war. The famed Cu Chulainn was\none of her students, and it is said that\nhe received the legendary Gae Bolg\nfrom her upon mastering her\nteachings.
Parvati	This beautiful goddess of love is one\nof Shiva's wives in Hindu mythology.\n \nShe won Shiva's love despite the fact\nthat he was an ascetic.
Ame-no-Uzume	The goddess of entertainment in\nJapanese lore. \n \nShe governs many sacred dances \nand is most famous for\nthe provocative dance she used to\nlure out Amaterasu, who had\nbarricaded herself inside a cave. She\nlater became Sarutahiko's wife.
Fortuna	The Roman goddess of luck, she\nspins the Wheel of Fortune and is\nbelieved to have originally been a\nfertility goddess. Her Greek\ncounterpart is Tyche.
Maria	The maternal figure of Christianity.\n \nGabriel informed her that she was to\nbe the mother of Jesus. Some sects\nrevere her as the Virgin Mary, but\nother denominations do not focus on\nher.
Artemis	The Greek goddess of hunting and\nchastity. She was often identified with\nthe moon goddess Selene and was\ntherefore also worshiped as a moon\ngoddess herself. \n \nLike her twin brother, Apollo, \nher association with archery granted \nher the title of \''far-shooter\'' in\naddition to being recognized as \na bringer of plague and death.\nThis is depicted in myth, in which\nshe is deceived by Apollo and shoots\nher beloved Orion.
032	032
033	033
Hanuman	A hero of Hindu descent. He can\ntransform into anything, fly, and\npossesses incredible strength. \n \nHe performed many heroic deeds in\nthe Ramayana and is most always\ndepicted as a monkey.
