ja	desc
000	000
アギ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
002	002
アギラオ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
004	004
アギダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
006	006
アギバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
トリスアギオン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
マハラギ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
マハラギオン	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
マハラギダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
マハラギバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
ラグナロク	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
ファイアブレス	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
015	015
ブフ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
017	017
ブフーラ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
019	019
ブフダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
021	021
ブフバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
アイスエイジ	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
マハブフ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
マハブフーラ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
マハブフダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
マハブフバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
絶対零度	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
アイスブレス	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
030	030
ジオ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
032	032
ジオンガ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
034	034
ジオダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
036	036
ジオバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
ナルカミ	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
マハジオ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
マハジオンガ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
マハジオダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
マハジオバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
真理の雷	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
ショックバウンド	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
045	045
ザン	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
047	047
ザンマ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
049	049
ザンダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
051	051
ザンバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
殺風激	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
マハザン	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
マハザンマ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
マハザンダイン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
マハザンバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
妖花烈風	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
ウィンドブレス	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
禍時：会心	ターン中、<skill_tgt>に魔法も含む全ての攻撃がクリティカルになる効果を付与する
ムド	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
