en	desc
000	DUMMY
Satan	A Judeo-Christian angel of darkness\nwith a name that means \''adversary.\''\n \nAlso known as the evil serpent that\ntempted Adam and Eve in the Garden\nof Eden. In the Book of Job, he is\ndepicted as a servant of God who\ntests Job, a man of faith, and is said\nto be the accuser angel sent from\nthe heavens to judge mankind.
Lucifer	The Lord of Chaos who leads\nthe fallen angels and, according\nto Christian tradition, is equated\nwith Satan.\n \nHis name holds the meaning of\n\''one who brings light\'' indicating\nthat he was once the most beautiful\nof the archangels. However, it is said\nthat he rebelled against the almighty\nCreator and chose to become a fallen\nangel.
003	003
Dagda	A god of Celtic myth and the supreme\ndeity of the Tuatha Dé Danann.\nHis name means \''the good god.\''\n \nA glutton for porridge, he's even-\ntempered and excels in martial arts.\nHis treasures include a club with the\npower to destroy and resurrect,\na golden harp that can control the\nseasons, and a cauldron of endless\nfood.
005	005_KRISNA
006	006_MIROKU
Khonsu	The Egyptian god of the moon.\n \nOften portrayed as a mummy with\ntwo long braids of hair, he is said\nto be a reincarnation of the moon\nitself and holds possession over\nwhat's known as the moon ship.\nHe also acts as a companion to\nthe Pharaoh's shadow. Hieroglyphics \nfound in Unas's pyramid depict him\nas a god who prepares meals for an\noppressive, god-devouring king.
Zeus	The main deity of Greek mythology.\nSaid to be omnipotent, he is both\ngod of the sky and ruler of the\ntwelve gods of Olympus.\n \nHe is a son of the titan Kronos and\nbrother to both Hades and Poseidon.\nUpon defeating his father, he claimed\nthe right to rule the entire universe.\nHe also fathered many children with\nnot only goddesses, but a number of\nhuman women as well.
Odin	The All-Father in Norse Mythology.\nWarrior, sorcerer, and near insatiable\nseeker of knowledge, he rides\nhis eight-legged horse Sleipnir, armed\nwith both Gungnir, his mighty spear,\nand Draupnir, an enchanted ring.\n \nHe is known to have willingly\nsacrificed an eye to drink from\nthe Well of Wisdom and is also\nrecognized as the one who welcomes\nthe souls of departed warriors\nas they cross over into Valhalla.
010_ALDER	010_ALDER
Mitra	Commonly known as Mitra-Buddha\nor Mitra.\n \nAn ancient Persian god of contracts,\nhe was also revered as a sun god. He\nis a protector of the world's harmony\nand truth and passes judgment upon\nthose who threaten it. It is said that\none of his powers to safeguard\nharmony allows him to cure any\nillness.
Atavaka	One of the eight Yasha-o.\n \nHis domain is war and protection.\nOriginally known as a wicked\ndevourer of children, he later became\none of the greatest of the Wisdom\nKings after receiving the Buddha's\nenlightenment.
Horus	An ancient god of Egypt known for\nhaving the sun and moon as his\nwatchful eyes.\n \nHe was revered by some as the\nprinciple god, most likely due to\nhis association with the celestial\nbodies above. Myth often depicts\nhim as a hawk or a falcon.
Thoth	An almighty god of Egyptian lore with\nthe head of a baboon. He stands\nopposite Seth, the god of evil, and\nsides with Osiris and Isis, the gods of\ngood.
Khonsu Ra	The form of the Egyptian god of\nthe Moon, Khonsu, upon gaining\nthe power of the sun god, Ra.\n \nHidden behind a foreboding mask,\nhe possesses the dual powers of the\nsun and moon, the day and night, and\nthe living and the dead.
Vishnu	One of the Trimurti and the\nhighest-ranking god in Hinduism.\n \nHe governs the universe and is also\nrecognized as its protector. It is said\nthat when the surface world is in\ndanger, he will appear as an avatar.
