en	desc
USE_00	USE_00
Life Stone	Slight HP recovery to <item_tgt>.
Chakra Drop	Slight fixed MP recovery to <item_tgt>.
Chakra Pot	Large fixed MP recovery to <item_tgt>.
Bead	Full HP recovery to <item_tgt>.
Bead Chain	Full HP recovery to <item_tgt>.
Soma	Full HP and MP recovery to <item_tgt>.
Revival Bead	Revives <item_tgt> with half HP.
Balm of Life	Revives <item_tgt> with full HP.
Amrita Soda	Cures status ailments on <item_tgt>.
Amrita Shower	Cures status ailments on <item_tgt>.
Medicine	Slight fixed HP recovery to <item_tgt>.
Ox Bezoar	Moderate fixed HP recovery to <item_tgt>.
Ambrosia	Large fixed HP recovery to <item_tgt>.
Muscle Drink	Recovers beyond MAX HP to <item_tgt> but has a chance to inflict Charm/Confusion/Mirage.
Life Stone Chain	Slight HP recovery to <item_tgt>.
Soma Drop	Moderate HP and MP recovery to <item_tgt>.
Fire Shard	Weak Fire attack to <item_tgt>.
Ice Shard	Weak Ice attack to <item_tgt>.
Elec Shard	Weak Electric attack to <item_tgt>.
Force Shard	Weak Force attack to <item_tgt>.
Light Shard	Weak Light attack to <item_tgt>. Chance of instakill when striking weakness.
Dark Shard	Weak Dark attack to <item_tgt>. Chance of instakill when striking weakness.
Fire Gem	Heavy Fire attack to <item_tgt>.
Ice Gem	Heavy Ice attack to <item_tgt>.
Elec Gem	Heavy Electric attack to <item_tgt>.
Force Gem	Heavy Force attack to <item_tgt>.
Light Gem	Heavy Light attack to <item_tgt>. Chance of instakill when striking weakness.
Dark Gem	Heavy Dark attack to <item_tgt>. Chance of instakill when striking weakness.
USE_29	USE_29
USE_30	USE_30
USE_31	USE_31
USE_32	USE_32
USE_33	USE_33
USE_34	USE_34
USE_35	USE_35
USE_36	USE_36
Poison Gem	Chance of inflicting Poison to <item_tgt>.
Sleep Gem	Chance of inflicting Sleep to <item_tgt>.
Confusion Gem	Chance of inflicting Confusion to <item_tgt>.
Mirage Gem	Chance of inflicting Mirage to <item_tgt>.
Seal Gem	Chance of inflicting Seal to <item_tgt>.
Charm Gem	Chance of inflicting Charm to <item_tgt>.
Charge Gem	Greatly increases the damage of the next Strength-based attack for <item_tgt>.
Concentrate Gem	Greatly increases the damage of the next Magic-based attack for <item_tgt>.
Critical Gem	Guarantees the next Strength-based attack for <item_tgt> will be 100% accurate and a Critical hit.
Spirit Drain Gem	Weak Almighty MP drain attack to <item_tgt>.
Life Drain Gem	Weak Almighty HP/MP drain attack to <item_tgt>.
USE_48	USE_48
USE_49	USE_49
Purge Charm	Negates stat buff effects on <item_tgt>.
Dispel Charm	Negates stat debuff effects on <item_tgt>.
Attack Mirror	Reflects a Physical attack once for <item_tgt> for 1 turn.
Magic Mirror	Reflects a Magic attack once for <item_tgt> for 1 turn.
USE_54	USE_54
Spyglass	Displays info for <item_tgt>.
USE_56	USE_56
USE_57	USE_57
USE_58	USE_58
Gold Card	A golden card with a brilliant shine. Can be offered during demon negotiation.
Whittled Goat	When the Nahobino's HP reaches 0, the item is sacrificed to revive him at full HP.
Smoke Ball	Guarantees escape from battle upon use.
Phys Dampener	Nullifies a Physical attack against <item_tgt> once for 1 turn.
Fire Dampener	Nullifies a Fire attack against <item_tgt> once for 1 turn.
Ice Dampener	Nullifies an Ice attack against <item_tgt> once for 1 turn.
Elec Dampener	Nullifies an Electric attack against <item_tgt> once for 1 turn.
Force Dampener	Nullifies a Force attack against <item_tgt> once for 1 turn.
Light Dampener	Nullifies a Light attack against <item_tgt> once for 1 turn.
Dark Dampener	Nullifies a Dark attack against <item_tgt> once for 1 turn.
USE_69	USE_69
Return Pillar	Return to the last visited leyline fount. Item is not consumed upon use.
USE_71	USE_71
Attract Pipe	Prevents enemies from fleeing in the field and increases chance of consecutive encounters until the next new moon.
Miracle Ice	Slight HP recovery to <item_tgt> during battle. Item is not consumed upon use.
Chakra Elixir	Very slight MP recovery to <item_tgt> during battle. Item is not consumed upon use.
Curative Cattail	Cures ailments on <item_tgt>. Item is not consumed upon use.
Soul-Return	Revives <item_tgt> during battle. Item is not consumed upon use.
Blessed Fan	Minimal Light attack to <item_tgt>. Chance of instakill when striking weakness. Item is not consumed upon use.
Eye of Balor	Minimal Dark attack to <item_tgt>. Chance of instakill when striking weakness. Item is not consumed upon use.
