en	included
UNUSED	0
Seraph	1
Metatron	1
Sraosha	1
Azrael	1
Israfel	1
Victor	1
Aniel	1
Kazfiel	1
Amaterasu	1
Laksmi	1
Norn	1
Tlazolteotl	1
Pallas Athena	1
Scathach	1
Parvati	1
Fortuna	1
Hathor	1
Ishtar	1
DEMON_019	0
Garuda	1
Yatagarasu	1
Feng Huang	1
Thunderbird	1
Phoenix	1
Suparna	1
Hamsa	1
Armaiti	2
Sandalphon	2
Yggdrasil	1
Haoma	1
Kukunochi	1
Mayahuel	1
Daphne	1
DEMON_034	0
DEMON_035	0
Cherub	1
Throne	1
Dominion	1
Virtue	1
Power	1
Principality	1
Archangel	1
Angel	1
DEMON_044	0
DEMON_045	0
Da Peng	1
Rukh	1
Tangata Manu	1
Caladrius	1
Gu Huo Niao	1
Harpy	1
Toufei	1
DEMON_053	0
DEMON_054	0
Ganesha	1
Xiuhtecuhtli	1
Valkyrie	1
Shiwanna	1
Dis	1
Karasu Tengu	1
Vodyanik	1
Koppa Tengu	1
DEMON_063	0
Kikuri-Hime	2
Peri	1
Sarasvati	1
Senri	1
Ame no Uzume	1
Apsaras	1
Mada	2
Demiurge	1
Seth	1
Samael	1
Pales	1
Taotie	1
Pachacamac	1
Mishaguji	1
Baphomet	1
Alciel	1
DEMON_080	0
Hresvelgr	1
Huoniao	1
Anzu	1
Gurr	1
Zhen	1
Camazotz	1
Moh Shuvuu	1
Itsumade	1
Onmoraki	1
DEMON_090	0
DEMON_091	0
Erlkonig	1
Alraune	1
Zaccoum	1
Skogsra	1
Mandrake	1
Shan Xiao	1
DEMON_098	0
DEMON_099	0
Vishnu	1
Hachiman	1
Odin	1
Omoteotl	1
Prometheus	1
Inti	1
Thoth	1
DEMON_107	0
DEMON_108	0
Barong	1
Anubis	1
Chimera	1
Kaiming Shou	1
Makami	1
Kamapua'a	1
Shiisaa	1
DEMON_116	0
DEMON_117	0
Sphinx	1
Sleipnir	1
Baihu	1
Airavata	1
Qing Niuguai	1
Pabilsag	1
Apis	1
Heqet	1
DEMON_126	0
Nadja	2
Heimdall	1
Hanuman	1
Cu Chulainn	1
Kurama Tengu	1
Tlaloc	1
Frost Ace	1
Tam Lin	1
Kresnik	1
Demonee-ho	1
Titania	1
Oberon	1
Vivian	1
Spriggan	1
Silky	1
Pyro Jack	1
High Pixie	1
Jack Frost	1
Goblin	1
Pixie	1
Lorelei	1
DEMON_148	0
Cerberus	1
Ammut	1
Gryphon	1
Orthrus	1
Hsing-Hsing	1
Nekomata	1
Inugami	1
Katakirauwa	1
Kaso	1
Master Therion	2
Tsuchigumo	2
Gogmagog	1
Tlaltecuhtli	1
Titan	1
Kwancha	1
Sudama	1
Dwarf	1
Hua Po	1
Knocker	1
DEMON_168	0
Vritra	2
Ananta	1
Orochi	1
Gui Xian	1
Yurlungur	1
Vouivre	1
Nozuchi	1
Naga	1
DEMON_177	0
Ixtab	2
Mot	1
Nergal	1
Guedhe	1
Persephone	1
Hel	1
Thanatos	2
DEMON_185	0
Fenrir	1
Cabracan	1
Catoblepas	1
Manticore	1
Pellaidh	1
Nue	1
Raiju	1
Jueyuan	1
DEMON_194	0
DEMON_195	0
Hecatoncheir	1
Girimehkala	1
Grendel	1
Black Frost	1
Rakshasa	1
Wendigo	1
Ippon-Datara	1
Gremlin	1
DEMON_204	0
DEMON_205	0
Arachne	1
Mothman	1
Myrmecolion	1
Okiku-Mushi	1
Ubu	1
DEMON_211	0
DEMON_212	0
Shiva	1
Susano-O	1
Kartikeya	1
Wu Kong	1
Tonatiuh	1
Ares	1
Zaou-Gongen	2
DEMON_220	0
Xi Wangmu	1
Skadi	1
Black Maria	1
Diana	1
Hariti	1
Sedna	1
Dzelarhons	1
Pele	1
Isis	2
Cybele	2
Huang Long	1
Quetzalcoatl	1
Zhu Yin	1
Long	1
Gucumatz	1
Patrimpas	1
Makara	1
DEMON_238	0
DEMON_239	0
Thor	1
Bishamonten	1
Jikokuten	1
Koumokuten	1
Zouchouten	1
Takeminakata	1
DEMON_246	0
DEMON_247	0
Gemori	1
Decarabia	1
Ose	1
Dantalian	1
Orias	1
Halphas	1
Bifrons	1
Melchom	1
Nebiros	2
DEMON_257	0
Ongyo-Ki	1
Berserker	1
Fuu-Ki	1
Sui-Ki	1
Kin-Ki	1
Momunofu	1
Yamawaro	1
Azumi	1
Oni	1
DEMON_267	0
DEMON_268	0
Rangda	1
Dakini	1
Atropos	1
Lachesis	1
Clotho	1
Yuki Jyorou	1
Leanan Sidhe	1
Acheri	1
Volvo	2
Kali	2
Lilith	1
Wild Hunt	1
Succubus	1
Kaiwan	1
Incubus	1
Fomorian	1
Lilim	1
Sandman	1
Hypnos	2
DEMON_288	0
Mara	1
Surt	1
Tzitzimitl	1
Abaddon	1
King Frost	1
Loki	1
Balor	1
Beelzebub	2
Vasuki	2
Fafnir	1
Nidhoggr	1
Mushussu	1
Kingu	1
Basilisk	1
Bai Suzhen	1
Zhu Tun She	1
Lucifuge	2
Belial	2
Legion	1
Pisaca	1
Macabre	1
Inferno	1
Dybbuk	1
Poltergeist	1
DEMON_313	0
Mad Gasser	2
Doppelganger	1
Slime	1
Night Stalker	2
Jack the Ripper	2
Vetala	1
Kudlak	1
Strigoii	1
Ghoul	1
Churel	1
Mou-Ryo	1
Preta	1
Bagaboo	1
Bogaboo	1
Saki Mitama	1
Kusi Mitama	1
Nigi Mitama	1
Ara Mitama	1
Bugaboo	1
Demonica-L	1
Salamander	1
Undine	1
Sylph	1
Gnome	1
Flaemis	1
Aquans	1
Aeros	1
Erthys	1
Demonica-N	1
Demonica-C	1
Mother Harlot	1
Trumpeter	1
Pale Rider	1
Black Rider	1
Red Rider	1
White Rider	1
Alice	1
Matador	1
David	1
DEMON_353	0
DEMON_354	0
Kangiten	1
Kama	1
Kinmamon	1
Futotama	1
Kanbari	1
DEMON_360	0
DEMON_361	0
Hare of Inaba	1
Kuda	1
Chupacabra	1
Mamedanuki	1
DEMON_366	0
DEMON_367	0
Masakado	1
Tezcatlipoca	1
Attis	1
Aramisaki	1
Dionysus	1
Ogun	1
Anat	2
Alilat	1
DEMON_376	0
DEMON_377	0
DEMON_378	0
DEMON_379	0
DEMON_380	0
DEMON_381	0
DEMON_382	0
DEMON_383	0
DEMON_384	0
DEMON_385	0
DEMON_386	0
DEMON_387	0
Morax	1
Mithras	1
Horkos	1
Asura	1
Ouroboros	1
Moloch	1
Mitra	1
Orcus	1
Asherah	1
Tiamat	1
Maya	1
Mastema	1
DEMON_400	0
DEMON_401	0
DEMON_402	0
DEMON_403	0
DEMON_404	0
DEMON_405	0
DEMON_406	0
DEMON_407	0
DEMON_408	0
DEMON_409	0
DEMON_410	0
DEMON_411	0
Meta Gore	3
DEMON_413	0
